attribute;code;sort_order;label-de_DE;label-en_US;label-es_ES;label-fr_FR
attr_1;attr_opt_attr_10;24;"Aut officiis.";"Nihil dolores.";"Non omnis mollitia.";"Qui sed."
attr_1;attr_opt_attr_11;200;"Vero enim vitae.";"Aut ea occaecati.";"Maiores corporis.";"Excepturi molestiae quia."
attr_1;attr_opt_attr_12;111;"Ipsam voluptas impedit.";"Libero et exercitationem.";"Laborum dolorum quis.";"Sit necessitatibus atque."
attr_1;attr_opt_attr_13;99;"Voluptate repellendus.";"Autem et.";"Exercitationem est consequatur.";"Doloribus molestiae."
attr_1;attr_opt_attr_14;10;"Et officia.";"Sit ut.";"Voluptas aliquid.";"Est nesciunt ut."
attr_1;attr_opt_attr_15;72;"Totam eaque inventore.";"Voluptatem occaecati rerum.";"Amet laboriosam.";"Ullam eos animi."
attr_1;attr_opt_attr_16;35;"Vero quis accusantium.";"Quia omnis quisquam.";"Doloremque recusandae.";"Ratione sunt eum."
attr_1;attr_opt_attr_17;192;"Ad placeat molestiae.";"Vel nulla totam.";"Eaque voluptate repellat.";"Tempora ea."
attr_1;attr_opt_attr_18;44;"Ad saepe non.";"Distinctio et tempora.";"Quae et earum.";"Odit accusantium."
attr_1;attr_opt_attr_19;300;"Consectetur sapiente eum.";"Modi repellat sunt.";"Quas est.";"Officiis unde."
attr_1;attr_opt_attr_110;264;"Quam explicabo.";"Quia voluptates.";"Reprehenderit necessitatibus.";"Voluptatibus reiciendis eligendi."
attr_1;attr_opt_attr_111;268;"Atque error voluptatum.";"Voluptate est.";"Quasi tenetur aut.";"Possimus minus facilis."
attr_1;attr_opt_attr_112;48;"Voluptates quisquam.";"Autem asperiores ut.";"Sunt laborum est.";"Provident doloribus cumque."
attr_1;attr_opt_attr_113;76;"Repellendus excepturi.";"Quos exercitationem.";"Sunt saepe mollitia.";"Soluta natus."
attr_1;attr_opt_attr_114;170;"Consectetur aut.";"Sit consectetur cumque.";"Enim eligendi.";"Tempora est."
attr_1;attr_opt_attr_115;126;"Facere pariatur vel.";"Rerum ducimus est.";"Maxime est sunt.";"Ut quaerat."
attr_1;attr_opt_attr_116;184;"Deleniti odit qui.";"Atque ut.";"Vel tempore saepe.";"Tempora quam."
attr_1;attr_opt_attr_117;122;"In qui.";"Est voluptatem magnam.";"Maiores et voluptatibus.";"Voluptatem et."
