code;type;group;label-en_US;localizable;scopable;metric_family;default_metric_unit;allowed_extensions
sku;pim_catalog_identifier;attr_gr_6;;;;;;
attr_0;pim_catalog_price_collection;attr_gr_5;"Dignissimos ratione quia.";0;0;;;
attr_1;pim_catalog_metric;attr_gr_7;"Nemo eius in.";0;0;Length;METER;
attr_2;pim_catalog_text;attr_gr_3;"Vitae facilis.";0;0;;;
attr_3;pim_catalog_multiselect;attr_gr_5;"Nulla dicta.";0;0;;;
attr_4;pim_catalog_number;attr_gr_7;"Et omnis adipisci.";0;0;;;
attr_5;pim_catalog_image;attr_gr_3;"Nesciunt ut.";0;0;;;jpg,pdf
attr_6;pim_catalog_image;attr_gr_5;"Consectetur omnis et.";1;0;;;png,pdf
attr_7;pim_catalog_simpleselect;attr_gr_2;"Ut tempore aspernatur.";0;0;;;
attr_8;pim_catalog_boolean;attr_gr_0;"Veniam dignissimos.";0;0;;;
attr_9;pim_catalog_date;attr_gr_5;"Qui temporibus.";0;0;;;
attr_10;pim_catalog_file;attr_gr_3;"Et facilis.";0;0;;;png,jpg
attr_11;pim_catalog_image;attr_gr_7;"Necessitatibus occaecati voluptas.";0;0;;;jpg,pdf
attr_12;pim_catalog_simpleselect;attr_gr_0;"Praesentium quo.";0;0;;;
attr_13;pim_catalog_number;attr_gr_5;"Numquam in.";0;0;;;
attr_14;pim_catalog_simpleselect;attr_gr_0;"Est illum sapiente.";1;0;;;
attr_15;pim_catalog_metric;attr_gr_0;"Tenetur consequatur ullam.";0;0;Length;METER;
attr_16;pim_catalog_date;attr_gr_4;"Sunt aut atque.";1;0;;;
attr_17;pim_catalog_number;attr_gr_2;"Tempora et quam.";0;0;;;
attr_18;pim_catalog_metric;attr_gr_0;"Repellendus repellendus voluptatem.";0;0;Length;METER;
attr_19;pim_catalog_metric;attr_gr_6;"Et sequi.";0;0;Length;METER;
attr_20;pim_catalog_file;attr_gr_7;"Et sed asperiores.";0;0;;;pdf,png
attr_21;pim_catalog_number;attr_gr_5;"Libero suscipit.";0;0;;;
attr_22;pim_catalog_image;attr_gr_2;"Numquam illo quos.";0;0;;;pdf,png
attr_23;pim_catalog_date;attr_gr_4;"Quo deserunt.";0;0;;;
attr_24;pim_catalog_boolean;attr_gr_0;"Magni delectus.";0;0;;;
attr_25;pim_catalog_multiselect;attr_gr_1;"Eius et molestias.";0;0;;;
attr_26;pim_catalog_textarea;attr_gr_4;"Possimus blanditiis libero.";0;0;;;
attr_27;pim_catalog_boolean;attr_gr_2;"Sunt et natus.";0;0;;;
attr_28;pim_catalog_file;attr_gr_5;"Repellat iusto rerum.";0;0;;;jpg,png
attr_29;pim_catalog_price_collection;attr_gr_6;"Laborum ipsam suscipit.";0;0;;;
attr_30;pim_catalog_boolean;attr_gr_1;"Deleniti in architecto.";0;0;;;
attr_31;pim_catalog_boolean;attr_gr_2;"Blanditiis vel.";0;0;;;
attr_32;pim_catalog_image;attr_gr_6;"Ducimus sunt tempore.";0;0;;;pdf,png
attr_33;pim_catalog_price_collection;attr_gr_7;"Nesciunt voluptates.";0;0;;;
attr_34;pim_catalog_metric;attr_gr_3;"Placeat et.";0;0;Length;METER;
attr_35;pim_catalog_image;attr_gr_7;"Temporibus sed.";0;0;;;png,pdf
attr_36;pim_catalog_boolean;attr_gr_2;"Quisquam voluptas.";0;0;;;
attr_37;pim_catalog_simpleselect;attr_gr_3;"Inventore molestiae eum.";0;0;;;
attr_38;pim_catalog_price_collection;attr_gr_0;"Veritatis reprehenderit voluptas.";0;0;;;
attr_39;pim_catalog_boolean;attr_gr_1;"Ullam quo.";0;0;;;
attr_40;pim_catalog_boolean;attr_gr_3;"Eligendi cum aut.";0;0;;;
attr_41;pim_catalog_date;attr_gr_5;"Excepturi eos beatae.";0;0;;;
attr_42;pim_catalog_date;attr_gr_0;"Dolorem assumenda.";0;0;;;
attr_43;pim_catalog_metric;attr_gr_5;"Et vel.";1;1;Length;METER;
attr_44;pim_catalog_metric;attr_gr_7;"Explicabo provident id.";0;0;Length;METER;
attr_45;pim_catalog_metric;attr_gr_4;"Et nesciunt ipsum.";0;0;Length;METER;
attr_46;pim_catalog_number;attr_gr_5;"Ut ut.";0;0;;;
attr_47;pim_catalog_multiselect;attr_gr_1;"Omnis occaecati a.";1;0;;;
attr_48;pim_catalog_price_collection;attr_gr_6;"Eum distinctio.";0;0;;;
attr_49;pim_catalog_textarea;attr_gr_0;"Cupiditate expedita quas.";0;0;;;
attr_50;pim_catalog_price_collection;attr_gr_2;"Qui laudantium fugiat.";0;0;;;
attr_51;pim_catalog_metric;attr_gr_7;"Sunt nihil dolor.";0;0;Length;METER;
attr_52;pim_catalog_file;attr_gr_4;"Voluptatibus eum quaerat.";0;0;;;pdf,png
