attribute;code;sort_order;label-fr_FR;label-en_US
attr_0;attr_opt_attr_00;8;"Modi officia perferendis.";"Est qui autem."
attr_0;attr_opt_attr_01;5;"Dolorem nulla.";"Ea ea."
attr_0;attr_opt_attr_02;6;"Nobis natus quo.";"Voluptatum eaque voluptatem."
attr_0;attr_opt_attr_03;4;"Mollitia hic velit.";"Rem voluptate."
attr_0;attr_opt_attr_04;8;"Totam sunt.";"Et et."
attr_0;attr_opt_attr_05;9;"Saepe et.";"Quam non officiis."
attr_0;attr_opt_attr_06;3;"Consequatur inventore ut.";"Quia nihil ut."
attr_0;attr_opt_attr_07;4;"Eum ut.";"Ratione rerum."
attr_0;attr_opt_attr_08;1;"Eum quae sint.";"Id vel modi."
attr_0;attr_opt_attr_09;5;"Aut dolores ipsa.";"Commodi nam."
attr_6;attr_opt_attr_60;2;"Minima et.";"Ea suscipit."
attr_6;attr_opt_attr_61;2;"Quasi impedit.";"Fugiat quam distinctio."
attr_6;attr_opt_attr_62;4;"Ex labore distinctio.";"Et natus."
attr_6;attr_opt_attr_63;8;"Fuga optio.";"Dignissimos cumque."
attr_6;attr_opt_attr_64;4;"Est reiciendis quisquam.";"Autem numquam."
attr_6;attr_opt_attr_65;2;"Sit iure.";"Omnis mollitia."
attr_6;attr_opt_attr_66;7;"Eius explicabo.";"Amet laudantium est."
attr_6;attr_opt_attr_67;6;"Cupiditate sed.";"Cumque quam."
attr_6;attr_opt_attr_68;7;"Saepe sed suscipit.";"Rem iste."
attr_6;attr_opt_attr_69;7;"Veritatis velit recusandae.";"Officiis soluta est."
attr_15;attr_opt_attr_150;8;"Ut saepe a.";"Adipisci voluptatem."
attr_15;attr_opt_attr_151;10;"Tempore dolorem facilis.";"Eum rerum et."
attr_15;attr_opt_attr_152;1;"Amet atque.";"Minus et."
attr_15;attr_opt_attr_153;7;"Et dolorem.";"Recusandae et quis."
attr_15;attr_opt_attr_154;6;"Quo recusandae omnis.";"Deserunt et."
attr_15;attr_opt_attr_155;6;"Voluptatem debitis nisi.";"Molestiae ut."
attr_15;attr_opt_attr_156;3;"Voluptas voluptas aut.";"Necessitatibus sed rem."
attr_15;attr_opt_attr_157;2;"Eligendi in.";"Et beatae."
attr_15;attr_opt_attr_158;9;"Laboriosam quasi autem.";"Sint voluptas suscipit."
attr_15;attr_opt_attr_159;7;"Beatae optio.";"Id quasi omnis."
attr_21;attr_opt_attr_210;2;"Quis a.";"Iure aliquid dicta."
attr_21;attr_opt_attr_211;3;"Rem sequi.";"Sed deleniti voluptatem."
attr_21;attr_opt_attr_212;8;"Dignissimos ut.";"Dolor qui."
attr_21;attr_opt_attr_213;1;"Qui non dolores.";"Dicta quisquam aut."
attr_21;attr_opt_attr_214;8;"Perspiciatis suscipit ullam.";"Et et."
attr_21;attr_opt_attr_215;3;"Deleniti quam consequatur.";"Suscipit in ab."
attr_21;attr_opt_attr_216;8;"Amet modi sapiente.";"Veniam rerum nihil."
attr_21;attr_opt_attr_217;8;"Aspernatur ab aut.";"Non soluta voluptas."
attr_21;attr_opt_attr_218;5;"Aut enim voluptatum.";"Corrupti voluptatibus facere."
attr_21;attr_opt_attr_219;7;"Dolorem consectetur repudiandae.";"Voluptatem dolorem."
attr_29;attr_opt_attr_290;5;"Repellendus est.";"Aperiam ipsum dolorem."
attr_29;attr_opt_attr_291;5;"Exercitationem ut minima.";"Aperiam rem."
