code;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_0;"Rerum ut.";name;sku,name,attr_83,attr_54,attr_22,attr_12,attr_38,attr_8,attr_93,attr_52,attr_5,attr_84,attr_95,attr_68,attr_71,attr_49,attr_28,attr_72,attr_65,attr_43,attr_1,attr_57,attr_29,attr_91,attr_90,attr_53,attr_96,attr_18,attr_76,attr_41,attr_74,attr_39,attr_82,attr_99,attr_80,attr_9,attr_78,attr_79,attr_66,attr_25,attr_33,attr_23,attr_45,attr_35,attr_42,attr_60,attr_20,attr_59,attr_73,attr_70,attr_32;sku,attr_80,attr_40,attr_3,attr_97;sku,attr_31,attr_58,attr_3,attr_17
fam_1;"Dolores distinctio sunt.";name;sku,name,attr_4,attr_9,attr_57,attr_88,attr_96,attr_35,attr_33,attr_19,attr_49,attr_91,attr_20,attr_82,attr_69,attr_53,attr_59,attr_84,attr_72,attr_75,attr_40,attr_93,attr_65,attr_23,attr_22,attr_79,attr_99,attr_60,attr_38,attr_27,attr_48,attr_7,attr_46,attr_68,attr_86,attr_70,attr_30,attr_52,attr_41,attr_56,attr_54,attr_1,attr_92,attr_55,attr_43,attr_42,attr_97,attr_16,attr_34,attr_73,attr_21;sku,attr_16,attr_10,attr_67,attr_88;sku,attr_88,attr_25,attr_42,attr_51
fam_2;"Et impedit.";name;sku,name,attr_47,attr_21,attr_34,attr_58,attr_36,attr_5,attr_61,attr_41,attr_75,attr_11,attr_46,attr_0,attr_35,attr_86,attr_24,attr_27,attr_12,attr_49,attr_81,attr_55,attr_80,attr_78,attr_69,attr_60,attr_64,attr_88,attr_54,attr_22,attr_3,attr_90,attr_68,attr_94,attr_16,attr_26,attr_99,attr_4,attr_20,attr_71,attr_30,attr_66,attr_18,attr_28,attr_59,attr_73,attr_6,attr_45,attr_91,attr_40,attr_51;sku,attr_29,attr_57,attr_60,attr_82;sku,attr_85,attr_6,attr_34,attr_62
fam_3;"Voluptatum porro.";name;sku,name,attr_25,attr_46,attr_62,attr_58,attr_43,attr_83,attr_56,attr_60,attr_53,attr_5,attr_11,attr_32,attr_61,attr_52,attr_1,attr_87,attr_0,attr_64,attr_19,attr_98,attr_27,attr_37,attr_57,attr_44,attr_55,attr_67,attr_40,attr_8,attr_75,attr_90,attr_30,attr_94,attr_69,attr_9,attr_66,attr_96,attr_79,attr_74,attr_13,attr_7,attr_29,attr_92,attr_48,attr_95,attr_31,attr_63,attr_76,attr_45,attr_34;sku,attr_70,attr_82,attr_56,attr_95;sku,attr_59,attr_76,attr_54,attr_7
fam_4;"Itaque aut.";name;sku,name,attr_66,attr_56,attr_69,attr_94,attr_14,attr_98,attr_10,attr_44,attr_97,attr_79,attr_99,attr_75,attr_54,attr_52,attr_81,attr_42,attr_85,attr_34,attr_93,attr_26,attr_2,attr_5,attr_92,attr_61,attr_77,attr_49,attr_90,attr_89,attr_88,attr_13,attr_15,attr_40,attr_37,attr_80,attr_58,attr_19,attr_67,attr_83,attr_25,attr_1,attr_91,attr_7,attr_4,attr_70,attr_38,attr_31,attr_74,attr_47,attr_51;sku,attr_25,attr_99,attr_30,attr_39;sku,attr_20,attr_63,attr_96,attr_48
fam_5;"Adipisci vel similique.";name;sku,name,attr_20,attr_27,attr_91,attr_57,attr_10,attr_76,attr_65,attr_11,attr_34,attr_67,attr_44,attr_63,attr_21,attr_13,attr_16,attr_22,attr_12,attr_9,attr_92,attr_28,attr_15,attr_39,attr_99,attr_18,attr_90,attr_73,attr_48,attr_60,attr_89,attr_4,attr_78,attr_1,attr_86,attr_81,attr_59,attr_74,attr_47,attr_42,attr_41,attr_19,attr_52,attr_30,attr_51,attr_29,attr_0,attr_54,attr_56,attr_25,attr_82;sku,attr_25,attr_98,attr_74,attr_79;sku,attr_15,attr_22,attr_50,attr_81
fam_6;"Eveniet perspiciatis ab.";name;sku,name,attr_18,attr_87,attr_17,attr_51,attr_47,attr_73,attr_49,attr_30,attr_33,attr_34,attr_79,attr_54,attr_90,attr_29,attr_27,attr_15,attr_83,attr_67,attr_11,attr_74,attr_59,attr_65,attr_98,attr_3,attr_2,attr_91,attr_92,attr_7,attr_95,attr_10,attr_53,attr_80,attr_86,attr_44,attr_48,attr_58,attr_19,attr_43,attr_9,attr_69,attr_96,attr_38,attr_42,attr_13,attr_24,attr_70,attr_85,attr_25,attr_22;sku,attr_39,attr_34,attr_46,attr_69;sku,attr_32,attr_45,attr_81,attr_91
fam_7;"Error accusamus.";name;sku,name,attr_47,attr_53,attr_95,attr_39,attr_77,attr_85,attr_11,attr_6,attr_12,attr_36,attr_45,attr_54,attr_21,attr_22,attr_18,attr_63,attr_31,attr_52,attr_78,attr_8,attr_82,attr_98,attr_79,attr_43,attr_86,attr_62,attr_70,attr_44,attr_37,attr_19,attr_61,attr_2,attr_14,attr_97,attr_90,attr_50,attr_1,attr_96,attr_68,attr_41,attr_29,attr_93,attr_73,attr_84,attr_65,attr_94,attr_10,attr_76,attr_71;sku,attr_72,attr_24,attr_18,attr_1;sku,attr_56,attr_28,attr_61,attr_41
fam_8;"Velit aliquid.";name;sku,name,attr_27,attr_87,attr_60,attr_85,attr_31,attr_1,attr_48,attr_51,attr_43,attr_11,attr_69,attr_53,attr_38,attr_92,attr_7,attr_97,attr_2,attr_68,attr_24,attr_75,attr_82,attr_37,attr_9,attr_42,attr_14,attr_33,attr_30,attr_10,attr_21,attr_47,attr_6,attr_56,attr_3,attr_95,attr_20,attr_49,attr_71,attr_17,attr_34,attr_13,attr_77,attr_45,attr_8,attr_19,attr_62,attr_63,attr_44,attr_99,attr_28;sku,attr_97,attr_73,attr_74,attr_92;sku,attr_13,attr_68,attr_55,attr_82
fam_9;"Delectus quis.";name;sku,name,attr_47,attr_14,attr_58,attr_93,attr_80,attr_78,attr_79,attr_26,attr_62,attr_22,attr_16,attr_96,attr_49,attr_7,attr_73,attr_94,attr_75,attr_12,attr_5,attr_36,attr_67,attr_44,attr_89,attr_35,attr_98,attr_9,attr_70,attr_46,attr_43,attr_23,attr_53,attr_85,attr_97,attr_64,attr_88,attr_51,attr_24,attr_74,attr_28,attr_59,attr_19,attr_65,attr_69,attr_30,attr_71,attr_60,attr_13,attr_40,attr_25;sku,attr_72,attr_50,attr_80,attr_99;sku,attr_54,attr_9,attr_38,attr_67
fam_10;"Et sequi ea.";name;sku,name,attr_67,attr_30,attr_32,attr_15,attr_23,attr_58,attr_91,attr_29,attr_77,attr_59,attr_66,attr_39,attr_10,attr_53,attr_27,attr_16,attr_86,attr_60,attr_1,attr_56,attr_19,attr_6,attr_72,attr_9,attr_47,attr_11,attr_71,attr_28,attr_44,attr_48,attr_88,attr_31,attr_95,attr_22,attr_93,attr_3,attr_83,attr_82,attr_5,attr_18,attr_45,attr_42,attr_78,attr_17,attr_34,attr_37,attr_51,attr_13,attr_70;sku,attr_62,attr_45,attr_58,attr_13;sku,attr_89,attr_62,attr_18,attr_59
fam_11;"Nihil saepe.";name;sku,name,attr_76,attr_36,attr_55,attr_99,attr_61,attr_67,attr_46,attr_59,attr_7,attr_80,attr_51,attr_20,attr_11,attr_93,attr_60,attr_3,attr_14,attr_73,attr_65,attr_12,attr_2,attr_66,attr_97,attr_18,attr_31,attr_52,attr_62,attr_92,attr_83,attr_6,attr_72,attr_88,attr_54,attr_5,attr_35,attr_86,attr_34,attr_70,attr_64,attr_38,attr_19,attr_23,attr_94,attr_32,attr_87,attr_4,attr_81,attr_95,attr_56;sku,attr_95,attr_97,attr_86,attr_42;sku,attr_87,attr_21,attr_49,attr_71
fam_12;"Quasi autem.";name;sku,name,attr_13,attr_30,attr_11,attr_71,attr_24,attr_64,attr_92,attr_76,attr_70,attr_22,attr_42,attr_67,attr_84,attr_6,attr_21,attr_12,attr_55,attr_98,attr_16,attr_29,attr_49,attr_61,attr_44,attr_63,attr_54,attr_51,attr_28,attr_17,attr_45,attr_62,attr_99,attr_91,attr_47,attr_23,attr_97,attr_41,attr_59,attr_79,attr_48,attr_85,attr_86,attr_50,attr_38,attr_3,attr_73,attr_93,attr_34,attr_82,attr_53;sku,attr_11,attr_84,attr_35,attr_33;sku,attr_28,attr_8,attr_17,attr_7
fam_13;"Facilis qui.";name;sku,name,attr_44,attr_12,attr_55,attr_45,attr_98,attr_8,attr_4,attr_43,attr_5,attr_23,attr_52,attr_72,attr_85,attr_75,attr_94,attr_20,attr_89,attr_33,attr_64,attr_36,attr_87,attr_59,attr_21,attr_51,attr_29,attr_84,attr_16,attr_10,attr_86,attr_99,attr_37,attr_47,attr_46,attr_13,attr_3,attr_76,attr_57,attr_0,attr_70,attr_53,attr_26,attr_28,attr_35,attr_2,attr_15,attr_42,attr_48,attr_14,attr_88;sku,attr_21,attr_7,attr_14,attr_72;sku,attr_52,attr_36,attr_28,attr_81
fam_14;"Repudiandae quia dolorem.";name;sku,name,attr_61,attr_11,attr_5,attr_51,attr_56,attr_1,attr_95,attr_15,attr_85,attr_23,attr_0,attr_90,attr_83,attr_75,attr_72,attr_69,attr_20,attr_18,attr_2,attr_12,attr_65,attr_41,attr_98,attr_84,attr_49,attr_38,attr_54,attr_34,attr_82,attr_96,attr_3,attr_73,attr_25,attr_46,attr_67,attr_24,attr_59,attr_33,attr_40,attr_64,attr_70,attr_60,attr_17,attr_79,attr_92,attr_10,attr_97,attr_88,attr_47;sku,attr_59,attr_7,attr_63,attr_98;sku,attr_65,attr_94,attr_60,attr_96
fam_15;"Accusantium praesentium dolore.";name;sku,name,attr_56,attr_81,attr_36,attr_7,attr_32,attr_39,attr_68,attr_60,attr_84,attr_4,attr_6,attr_1,attr_51,attr_75,attr_61,attr_45,attr_64,attr_11,attr_23,attr_3,attr_28,attr_22,attr_42,attr_43,attr_92,attr_35,attr_33,attr_38,attr_65,attr_8,attr_82,attr_19,attr_79,attr_78,attr_70,attr_12,attr_40,attr_94,attr_47,attr_48,attr_87,attr_76,attr_15,attr_0,attr_67,attr_37,attr_14,attr_99,attr_59;sku,attr_50,attr_63,attr_94,attr_90;sku,attr_75,attr_92,attr_56,attr_85
fam_16;"Rerum blanditiis est.";name;sku,name,attr_63,attr_79,attr_4,attr_36,attr_34,attr_76,attr_5,attr_92,attr_20,attr_58,attr_95,attr_13,attr_55,attr_40,attr_30,attr_94,attr_93,attr_23,attr_71,attr_56,attr_87,attr_12,attr_96,attr_88,attr_31,attr_35,attr_19,attr_25,attr_72,attr_57,attr_49,attr_43,attr_48,attr_77,attr_42,attr_24,attr_39,attr_59,attr_16,attr_0,attr_10,attr_38,attr_69,attr_97,attr_90,attr_68,attr_17,attr_64,attr_44;sku,attr_69,attr_58,attr_63,attr_95;sku,attr_91,attr_30,attr_69,attr_71
