code;axis;type;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;attr_187;attr_271;attr_293;attr_148;attr_265;attr_155;attr_17;attr_63;attr_376;attr_7;attr_135;attr_399;attr_115;attr_183;attr_231;attr_280;attr_87;attr_27;attr_370;attr_173;attr_34;attr_222;name;attr_95;attr_361
variant_group_0;attr_315,attr_323,attr_108;VARIANT;voluptatem;voluptas;optio;mollitia;"perferendis debitis est";"autem et neque";"nulla ea ea";"non et nobis";"quo voluptatum eaque";;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_381,attr_185,attr_156;VARIANT;ut;voluptatibus;quia;nihil;;"quam non officiis";"ab saepe et";;;"voluptate est nemo";"sunt et et";"harum consequatur inventore";;;;;;;;;;;;;;;;;
variant_group_2;attr_112,attr_145,attr_216;VARIANT;commodi;nam;voluptatem;illo;;;"ut quia ratione";;;;;;"illo officia eum";"sint minus id";"modi ducimus repudiandae";"dolores ipsa minima";;;;;;;;;;;;;
variant_group_3;attr_112,attr_225,attr_204;VARIANT;optio;ad;dignissimos;cumque;"est illo fuga";;;"distinctio nisi hic";;;;"distinctio qui et";;"impedit rerum fugiat";;;"suscipit voluptatem sed";;;;;;;;;;;;
variant_group_4;attr_145,attr_371,attr_326;VARIANT;natus;quia;cupiditate;sed;;;;;"ex eius explicabo";;;"aspernatur suscipit sit";;;"et omnis mollitia";"quisquam sequi autem";;"amet laudantium est";;;;;;;;;;;
variant_group_5;attr_62,attr_304,attr_185;VARIANT;saepe;a;nemo;adipisci;;;;;"excepturi veritatis velit";;;;"facilis officiis soluta";;;;"ut rem iste";;"repellendus saepe sed";"temporibus occaecati ut";;;;;;;;;
variant_group_6;attr_139,attr_369,attr_315;VARIANT;et;quis;sunt;facilis;;"et est labore";;;;;;;;"dolorem provident recusandae";"rerum et explicabo";;;;"dolorem facilis distinctio";;"amet atque accusantium";;;;;;;;
variant_group_7;attr_330,attr_371,attr_323;VARIANT;eligendi;in;qui;et;;"voluptas voluptas aut";;;;;"molestiae ut et";;;;;;;"rem consequuntur esse";;;;"deserunt et quas";"voluptatem debitis nisi";;;;;;
variant_group_8;attr_32,attr_330,attr_272;VARIANT;aliquid;dicta;ut;iusto;;"quasi omnis odit";;;;;;;;;"a sed iure";;"quasi autem quidem";;;;;;"voluptas suscipit laborum";"beatae optio repudiandae";;;;;
variant_group_9;attr_216,attr_62,attr_272;VARIANT;perspiciatis;suscipit;ullam;exercitationem;"non dolores et";;;;"aut dolor doloribus";;"dignissimos ut exercitationem";"deleniti voluptatem quo";;;;;;;;;;;;;"qui aperiam rerum";;;;
