code;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_0;"Maxime modi officia.";name;sku,name,attr_1,attr_87,attr_68,attr_72,attr_79,attr_43,attr_16,attr_82,attr_84,attr_40,attr_52,attr_86,attr_56,attr_71,attr_47,attr_3,attr_15,attr_32,attr_69,attr_59,attr_94,attr_41,attr_37,attr_30,attr_46,attr_9,attr_62,attr_80,attr_5,attr_89,attr_92,attr_73,attr_42,attr_20,attr_63,attr_0,attr_34,attr_98,attr_17,attr_26,attr_45,attr_83,attr_54,attr_14,attr_58,attr_38,attr_4,attr_51,attr_22;sku,attr_94,attr_38,attr_51,attr_46;sku,name,attr_71,attr_15,attr_63
fam_1;"Illo minima.";name;sku,name,attr_49,attr_44,attr_35,attr_33,attr_15,attr_11,attr_6,attr_71,attr_94,attr_83,attr_42,attr_65,attr_34,attr_23,attr_39,attr_90,attr_56,attr_72,attr_5,attr_62,attr_69,attr_27,attr_92,attr_77,attr_97,attr_37,attr_21,attr_10,attr_38,attr_59,attr_68,attr_9,attr_52,attr_18,attr_46,attr_12,attr_14,attr_41,attr_67,attr_78,attr_89,attr_47,attr_55,attr_51,attr_19,attr_93,attr_64,attr_87,attr_53;sku,attr_51,attr_64,attr_65,attr_71;sku,attr_34,attr_51,attr_52,attr_68
fam_2;"Facilis distinctio eum.";name;sku,name,attr_94,attr_62,attr_9,attr_24,attr_18,attr_48,attr_2,attr_73,attr_65,attr_64,attr_23,attr_6,attr_16,attr_53,attr_93,attr_92,attr_28,attr_57,attr_83,attr_76,attr_13,attr_59,attr_50,attr_91,attr_14,attr_87,attr_34,attr_11,attr_54,attr_75,attr_84,attr_97,attr_88,attr_89,attr_47,attr_12,attr_41,attr_69,attr_7,attr_63,attr_79,attr_33,attr_61,attr_77,attr_10,attr_35,attr_37,attr_95,attr_38;sku,attr_57,attr_62,attr_23,attr_13;sku,attr_50,attr_2,attr_75,attr_64
fam_3;"Voluptatem quo.";name;sku,name,attr_8,attr_44,attr_54,attr_29,attr_17,attr_14,attr_3,attr_94,attr_58,attr_21,attr_49,attr_92,attr_71,attr_10,attr_78,attr_98,attr_33,attr_30,attr_90,attr_65,attr_23,attr_50,attr_47,attr_41,attr_36,attr_60,attr_57,attr_4,attr_18,attr_22,attr_96,attr_59,attr_28,attr_64,attr_70,attr_61,attr_9,attr_5,attr_97,attr_85,attr_68,attr_32,attr_66,attr_11,attr_27,attr_48,attr_75,attr_82,attr_19;sku,attr_11,attr_94,attr_14,attr_5;sku,attr_50,attr_29,attr_9,attr_96
fam_4;"Aperiam ipsum dolorem.";name;sku,name,attr_44,attr_72,attr_29,attr_53,attr_27,attr_10,attr_3,attr_47,attr_2,attr_7,attr_34,attr_88,attr_78,attr_26,attr_51,attr_73,attr_90,attr_50,attr_25,attr_80,attr_82,attr_4,attr_92,attr_55,attr_16,attr_68,attr_81,attr_14,attr_32,attr_12,attr_45,attr_66,attr_71,attr_35,attr_77,attr_22,attr_21,attr_84,attr_76,attr_11,attr_54,attr_74,attr_5,attr_63,attr_31,attr_48,attr_46,attr_40,attr_98;sku,attr_46,attr_51,attr_21,attr_50;sku,attr_46,attr_31,attr_92,attr_51
fam_5;"Eius et soluta.";name;sku,name,attr_16,attr_98,attr_19,attr_15,attr_7,attr_40,attr_52,attr_97,attr_78,attr_92,attr_37,attr_14,attr_47,attr_3,attr_35,attr_23,attr_82,attr_29,attr_13,attr_63,attr_93,attr_25,attr_20,attr_77,attr_50,attr_62,attr_60,attr_44,attr_18,attr_48,attr_83,attr_8,attr_5,attr_67,attr_17,attr_94,attr_99,attr_9,attr_0,attr_91,attr_70,attr_59,attr_95,attr_56,attr_38,attr_30,attr_11,attr_34,attr_49;sku,attr_70,attr_38,attr_52,attr_23;sku,attr_47,attr_17,attr_98,attr_63
fam_6;"Enim enim iusto.";name;sku,name,attr_45,attr_1,attr_39,attr_61,attr_93,attr_56,attr_68,attr_3,attr_51,attr_80,attr_70,attr_50,attr_10,attr_97,attr_92,attr_40,attr_81,attr_67,attr_9,attr_29,attr_11,attr_44,attr_25,attr_54,attr_30,attr_78,attr_82,attr_46,attr_91,attr_77,attr_2,attr_15,attr_64,attr_18,attr_76,attr_7,attr_87,attr_4,attr_79,attr_13,attr_28,attr_22,attr_74,attr_8,attr_99,attr_95,attr_38,attr_31,attr_21;sku,attr_93,attr_56,attr_25,attr_67;sku,attr_76,attr_95,attr_78,attr_9
fam_7;"Doloribus eos.";name;sku,name,attr_38,attr_82,attr_2,attr_67,attr_42,attr_85,attr_33,attr_70,attr_89,attr_62,attr_45,attr_27,attr_90,attr_64,attr_17,attr_22,attr_56,attr_40,attr_39,attr_79,attr_3,attr_71,attr_68,attr_84,attr_43,attr_18,attr_87,attr_16,attr_30,attr_54,attr_55,attr_28,attr_91,attr_15,attr_98,attr_63,attr_97,attr_66,attr_31,attr_83,attr_26,attr_20,attr_69,attr_51,attr_1,attr_50,attr_94,attr_10,attr_6;sku,attr_20,attr_50,attr_79,attr_39;sku,attr_63,attr_38,attr_28,attr_87
fam_8;"Hic sit.";name;sku,name,attr_54,attr_59,attr_16,attr_63,attr_35,attr_23,attr_55,attr_80,attr_10,attr_0,attr_71,attr_7,attr_48,attr_46,attr_90,attr_62,attr_89,attr_1,attr_9,attr_38,attr_15,attr_83,attr_70,attr_30,attr_52,attr_25,attr_39,attr_79,attr_49,attr_73,attr_6,attr_78,attr_92,attr_85,attr_57,attr_27,attr_43,attr_72,attr_29,attr_50,attr_99,attr_42,attr_53,attr_26,attr_64,attr_19,attr_68,attr_3,attr_65;sku,attr_29,attr_3,attr_99,attr_25;sku,attr_0,attr_52,attr_38,attr_9
fam_9;"Placeat molestias natus.";name;sku,name,attr_97,attr_30,attr_5,attr_98,attr_91,attr_29,attr_39,attr_21,attr_52,attr_12,attr_74,attr_70,attr_62,attr_77,attr_22,attr_18,attr_72,attr_61,attr_73,attr_31,attr_23,attr_93,attr_99,attr_43,attr_41,attr_32,attr_53,attr_28,attr_46,attr_76,attr_48,attr_4,attr_24,attr_45,attr_87,attr_2,attr_37,attr_13,attr_42,attr_11,attr_95,attr_71,attr_26,attr_55,attr_88,attr_0,attr_59,attr_68,attr_63;sku,attr_0,attr_11,attr_95,attr_72;sku,attr_98,attr_95,attr_46,attr_68
