sku;family;groups;categories;attr_70;attr_38;attr_52;attr_23;attr_47;attr_17;attr_98-EUR;attr_98-USD;attr_63;attr_67;attr_67-unit;attr_29;attr_34;attr_54;attr_99;attr_79;attr_8;attr_89;attr_49;attr_20;attr_21;attr_53-en_US;attr_0-en_US-ecommerce;attr_0-en_US-print;attr_97;name;attr_33;attr_28-EUR;attr_28-USD;attr_41;attr_14-ecommerce;attr_14-print;attr_40;attr_13;attr_88;attr_39-en_US;attr_69;attr_58;attr_32;attr_62;attr_62-unit;attr_3-ecommerce;attr_3-print;attr_9-ecommerce;attr_9-print;attr_15;attr_59-ecommerce;attr_59-print;attr_19-EUR;attr_19-USD;attr_18;attr_71-EUR;attr_71-USD;attr_1;attr_86;attr_4;attr_66-EUR;attr_66-USD;attr_36;attr_11-EUR;attr_11-USD;attr_83-EUR;attr_83-USD;attr_43-en_US;attr_76;attr_27;attr_12;attr_78;attr_75-en_US;attr_56;attr_51;attr_46-ecommerce;attr_46-print;attr_96;attr_85;attr_82;attr_90;attr_57-en_US;attr_57-en_US-unit;attr_24;attr_77;attr_60;attr_42;attr_42-unit;attr_25;attr_35;attr_35-unit;attr_50;attr_44;attr_92-ecommerce;attr_92-print;attr_7;attr_30;attr_93;attr_5;attr_91;attr_2;attr_6;attr_68;attr_68-unit;attr_81-en_US-ecommerce;attr_81-en_US-print;attr_22;attr_22-unit;attr_87;attr_31;attr_73;attr_55;attr_48;attr_37;attr_61;attr_61-unit;attr_74;attr_45-en_US;attr_95;attr_95-unit;attr_94-en_US;attr_65;attr_10-EUR;attr_10-USD;attr_80;attr_16;attr_72;attr_26;attr_64;attr_84
id-0;fam_5;;master_0_0_3,master_0_4;0;2013-06-19;attr_opt_attr_522;attr_opt_attr_239;1979-01-14;"Dicta est voluptatem enim sint exercitationem illum.";78;312;attr_opt_attr_636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1;fam_25;;master_3_6_1,master_1_1_1;1;1997-06-02;;attr_opt_attr_239;;"Error libero voluptas ut odio voluptatibus rerum.";451;478;;575;METER;1;attr_opt_attr_342;968;0;1;;;attr_opt_attr_494;1984-05-29;attr_opt_attr_214;;attr_opt_attr_08;attr_opt_attr_05;;"Consequatur facilis tempore quia iusto est tenetur ex sapiente.";;665;425;;708;143;;1;2014-10-31;2001-02-20;"Similique eaque reprehenderit qui quo voluptatibus voluptas dicta.";"Hello world!";;723;METER;2003-02-01;1970-09-11;0;1;attr_opt_attr_150;attr_opt_attr_596;attr_opt_attr_595;355;679;;222;954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-2;fam_49;;master_6_4,master_2_1_3;;;attr_opt_attr_524;;;;;;;;;;;;;;;;attr_opt_attr_493;1989-05-19;attr_opt_attr_212;;attr_opt_attr_00;attr_opt_attr_08;;"Ut modi in a excepturi saepe id.";;880;857;;216;269;;1;;1972-01-10;;"Hello world!";;;;;;1;0;attr_opt_attr_159;;;;;;;;;214;"Ab id dignissimos omnis recusandae.";272;718;"Sit natus et est earum ut velit.";442;178;689;676;2013-06-14;262;725;"Magni aut molestias atque illum eveniet placeat soluta.";0;"Consequatur iure ad est assumenda et quibusdam.";attr_opt_attr_565;2016-06-08;1981-06-22;1986-08-24;attr_opt_attr_960;"Pariatur atque tempore adipisci inventore et neque.";;;199;METER;293;;"Veniam eveniet quam aperiam praesentium sunt voluptatem.";30;METER;attr_opt_attr_259;874;METER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-3;fam_5;;master_1_1_2,master_3_6_3;1;;attr_opt_attr_526;;;"Aperiam harum ullam aliquid quos numquam et voluptatum.";383;688;attr_opt_attr_638;;;1;attr_opt_attr_342;;1;;;;attr_opt_attr_499;;;;attr_opt_attr_00;attr_opt_attr_07;;"Reiciendis illo voluptas minus omnis dolorem.";;;;;222;935;;1;;;;;;502;METER;2011-01-04;1988-03-24;;;attr_opt_attr_158;attr_opt_attr_599;attr_opt_attr_599;;;;;;;;;;;;197;785;828;797;;;;;0;;attr_opt_attr_560;;;;;;;;;;;;"Dolore quod neque dolor magnam et eius.";;;attr_opt_attr_257;444;METER;0;397;"Reiciendis dolores dolores sed voluptas distinctio esse.";"Veniam deserunt eos non repellendus excepturi voluptatem.";"Veniam et et consequatur blanditiis pariatur aut.";;"Enim quasi aut et temporibus quia.";628;attr_opt_attr_910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-4;fam_34;;master_3_1_4,master_4_3_0;;;;;;;;;;;;;;;;;;;;;;;;;;"Velit sunt voluptas assumenda qui.";;;;;;;;;;;;;;;;1974-08-29;1992-05-31;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1974-11-05;2011-05-02;;;;;;;;;;852;METER;;;;;;;;;;;;;315;attr_opt_attr_68;989;METER;;;;;;;;;;;;;;;;;;;;;;;;;;
id-5;fam_5;;master_4_0_5,master_1_0_4;0;2008-05-29;attr_opt_attr_520;attr_opt_attr_239;2009-06-05;"Totam enim error nulla est non voluptatem.";375;771;attr_opt_attr_639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-6;fam_5;;master_2_0_3,master_0_2_4;0;1982-10-26;attr_opt_attr_523;attr_opt_attr_237;2000-01-02;"Quae debitis voluptas cum sapiente ea.";76;384;attr_opt_attr_638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-7;fam_20;;master_6_4_4,master_0_3_1;;;;attr_opt_attr_238;;;;;;662;METER;;attr_opt_attr_340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442;823;;;;;;;;;;1;;;;;;;;;;;;;;;81;METER;;;;0;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
id-8;fam_46;;master_5_4_6,master_3_1_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1987-11-30;;;;1;;;;1993-04-23;1990-05-30;;;;;;;;;"Sit nobis porro iusto.";;;;;;;;;;"Ut maiores nam velit quis et quia modi impedit.";;;346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-9;fam_9;;master_1_1,master_0_5_0;;;attr_opt_attr_520;attr_opt_attr_236;;;348;545;attr_opt_attr_637;;;1;;;;;;;;;attr_opt_attr_211;;attr_opt_attr_04;attr_opt_attr_03;;"Molestiae autem voluptas consequatur voluptatem.";;798;5;;;;;1;1992-02-07;1994-08-26;;;;510;METER;;;;;;attr_opt_attr_596;attr_opt_attr_596;;;;170;296;;;"Eaque totam consequatur libero dolores id.";;;;;;;;1974-05-03;273;;;;;;;2002-01-29;1982-05-22;;;;;;;709;;;52;METER;;;;;;;;;;"Et accusamus sunt optio voluptate deserunt alias ad.";;attr_opt_attr_916;771;;;;;;557;METER;831;"Est quisquam et beatae ipsum et itaque enim.";;;;1986-08-31;701;METER;0;0;663;METER;;;;;;;;;;
