code;axis;type;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;attr_217;attr_800;attr_227;attr_262;attr_795;attr_243;attr_246;attr_783;attr_600;attr_771;attr_963;attr_340;attr_0;attr_853;attr_454;attr_272;attr_490;attr_239;attr_870;attr_374;attr_603;name;attr_143;attr_123;attr_331;attr_864;attr_323;attr_904;attr_598;attr_810;attr_792;attr_420;attr_3;attr_735;attr_763;attr_677;attr_517;attr_705;attr_587;attr_994;attr_685;attr_139;attr_613;attr_897;attr_253;attr_342;attr_617;attr_734;attr_40;attr_30;attr_662;attr_583;attr_358;attr_304;attr_736;attr_758;attr_739;attr_187;attr_541;attr_434;attr_89;attr_606;attr_847;attr_129;attr_233;attr_489;attr_786;attr_741;attr_299;attr_673;attr_892;attr_332;attr_632;attr_21;attr_737;attr_919;attr_182;attr_655;attr_59;attr_317;attr_848;attr_854;attr_67;attr_396;attr_911;attr_493
variant_group_0;attr_127,attr_81,attr_8;VARIANT;asperiores;quas;iste;ipsum;"sed perferendis dicta";"recusandae saepe rerum";"est dicta est";"enim sint exercitationem";"beatae enim blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_213,attr_718,attr_368;VARIANT;qui;id;in;perferendis;"repellendus omnis ut";;;;;"et ea laborum";"sed voluptatem accusantium";"est repudiandae quia";"dolor consequuntur possimus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_2;attr_133,attr_356,attr_691;VARIANT;praesentium;eligendi;quasi;aliquid;"qui harum in";;;;;;;;;"ex dolorem qui";"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_3;attr_236,attr_944,attr_285;VARIANT;aut;temporibus;saepe;esse;;;;"saepe nisi a";;;;"iste at aut";;;;;;"voluptatibus asperiores repellendus";"voluptatum quidem quia";"ut possimus ipsa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_4;attr_392,attr_81,attr_379;VARIANT;cum;quis;odio;iusto;;;;;;;;;"at beatae rerum";;;;;;;;"fugit et dolorum";"numquam aut nemo";"animi molestiae aut";"et numquam veritatis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_5;attr_573,attr_377,attr_26;VARIANT;porro;esse;est;maxime;;;;;;;;;;;;;;;;;;;;;"molestiae quae totam";"nostrum culpa et";"natus aut quaerat";"ea autem eos";"exercitationem mollitia qui";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_6;attr_944,attr_8,attr_624;VARIANT;dolores;vitae;rerum;velit;;;;;;;;;;;;;;;;;;;;;;;;;;"voluptatem qui adipisci";"accusamus dolor inventore";"facere nihil asperiores";"et asperiores corrupti";"ad cumque sequi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_7;attr_236,attr_766,attr_86;VARIANT;voluptate;ut;qui;minima;;;;;;;;;;;;;;;;"nihil consequuntur est";;;;"vel facilis iusto";;;;;;;;;;;"omnis omnis rerum";"enim autem cupiditate";"quia voluptatem perspiciatis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_8;attr_748,attr_42,attr_473;VARIANT;soluta;ut;aut;placeat;;;;;;;;;;;;;;;;;;;;;;"quasi expedita est";;;;;;;"qui ea autem";;;;;"et et est";"ducimus eos deleniti";"dolor error enim";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_9;attr_845,attr_971,attr_766;VARIANT;voluptatum;reprehenderit;est;cumque;;;;;;;;;;;;;;;;;;;"ex beatae rem";"aspernatur quibusdam sequi";;;"quidem quo aut";;;;;;;;"ut quo libero";;;;;;"eos tenetur sunt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
