code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_3;1;"identifier commodi velit";"identifier consequuntur voluptas";"identifier labore sed";"identifier laboriosam et";;;;;
name;pim_catalog_text;attr_gr_2;0;"text aut suscipit";"text eos exercitationem";"text beatae qui";"text praesentium et";;;;;
attr_0;pim_catalog_text;attr_gr_16;0;"text perferendis culpa";"text earum repellendus";"text et deserunt";"text omnis et";0;0;;;
attr_1;pim_catalog_date;attr_gr_3;0;"date atque autem";"date quidem illo";"date qui sed";"date harum quam";0;0;;;
attr_2;pim_catalog_multiselect;attr_gr_6;0;"multiselect laboriosam illo";"multiselect autem facilis";"multiselect sapiente doloribus";"multiselect molestiae nulla";0;0;;;
attr_3;pim_catalog_text;attr_gr_6;0;"text dolores ratione";"text voluptatem dolorem";"text corrupti velit";"text reiciendis blanditiis";0;0;;;
attr_4;pim_catalog_number;attr_gr_19;0;"number aut animi";"number quia harum";"number ullam perferendis";"number sed nobis";0;0;;;
attr_5;pim_catalog_date;attr_gr_15;0;"date tempore repellat";"date explicabo veritatis";"date similique numquam";"date soluta iure";0;0;;;
attr_6;pim_catalog_file;attr_gr_19;0;"file facere vitae";"file molestiae sit";"file qui sed";"file ea explicabo";0;0;pdf,jpg;;
attr_7;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect ipsum consequuntur";"simpleselect soluta ut";"simpleselect voluptatum sint";"simpleselect quo autem";0;0;;;
attr_8;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect necessitatibus non";"simpleselect velit commodi";"simpleselect quia rerum";"simpleselect voluptatem harum";0;0;;;
attr_9;pim_catalog_file;attr_gr_0;0;"file quibusdam nostrum";"file at omnis";"file dolorem ex";"file itaque ut";0;0;png,jpg;;
attr_10;pim_catalog_price_collection;attr_gr_14;0;"price_collection sed dolore";"price_collection aliquam eaque";"price_collection accusantium cumque";"price_collection consequatur provident";0;0;;;
attr_11;pim_catalog_file;attr_gr_3;0;"file qui sed";"file eos dolorem";"file dolorem consequuntur";"file nemo aut";0;0;jpg,pdf;;
attr_12;pim_catalog_simpleselect;attr_gr_11;0;"simpleselect atque rem";"simpleselect id fuga";"simpleselect eaque soluta";"simpleselect unde enim";0;0;;;
attr_13;pim_catalog_date;attr_gr_9;0;"date veritatis saepe";"date vel sit";"date ut alias";"date esse ipsam";0;0;;;
attr_14;pim_catalog_date;attr_gr_2;0;"date non quis";"date tenetur quae";"date doloribus eaque";"date non repudiandae";0;0;;;
attr_15;pim_catalog_multiselect;attr_gr_5;0;"multiselect voluptas totam";"multiselect quidem vero";"multiselect sit ipsum";"multiselect quasi cupiditate";0;0;;;
attr_16;pim_catalog_metric;attr_gr_11;0;"metric voluptatum sint";"metric et quis";"metric nam voluptates";"metric aut alias";0;0;;Length;METER
attr_17;pim_catalog_file;attr_gr_1;0;"file vitae tempora";"file veritatis ullam";"file fuga dolores";"file accusantium nisi";0;0;jpg,pdf;;
attr_18;pim_catalog_textarea;attr_gr_9;0;"textarea sapiente corrupti";"textarea ut eum";"textarea laboriosam et";"textarea minus quod";0;0;;;
attr_19;pim_catalog_file;attr_gr_14;0;"file similique assumenda";"file unde rerum";"file aut corporis";"file laudantium necessitatibus";0;0;jpg,pdf;;
attr_20;pim_catalog_text;attr_gr_7;0;"text molestiae autem";"text sed provident";"text et sit";"text est veritatis";0;0;;;
attr_21;pim_catalog_file;attr_gr_11;0;"file numquam aliquam";"file amet ipsa";"file et nihil";"file sunt quia";0;0;jpg,png;;
attr_22;pim_catalog_file;attr_gr_19;0;"file deserunt in";"file tempora delectus";"file et dolore";"file aut quam";0;0;pdf,jpg;;
attr_23;pim_catalog_file;attr_gr_16;0;"file voluptatum tempora";"file excepturi nihil";"file est provident";"file ipsum voluptatibus";0;0;pdf,png;;
attr_24;pim_catalog_date;attr_gr_7;0;"date sequi provident";"date autem expedita";"date sit iste";"date laborum qui";0;0;;;
attr_25;pim_catalog_simpleselect;attr_gr_13;1;"simpleselect non aut";"simpleselect rerum in";"simpleselect suscipit esse";"simpleselect explicabo dolorem";0;0;;;
attr_26;pim_catalog_price_collection;attr_gr_12;0;"price_collection eos ducimus";"price_collection laboriosam explicabo";"price_collection et vel";"price_collection voluptatem et";0;0;;;
attr_27;pim_catalog_image;attr_gr_19;0;"image officiis qui";"image laboriosam velit";"image ducimus voluptas";"image facilis tempora";0;0;pdf,png;;
attr_28;pim_catalog_boolean;attr_gr_0;0;"boolean delectus nam";"boolean nobis odit";"boolean facilis dolorem";"boolean aliquam voluptas";0;0;;;
attr_29;pim_catalog_text;attr_gr_11;0;"text iusto nam";"text perspiciatis ex";"text autem ipsam";"text laborum et";0;0;;;
attr_30;pim_catalog_boolean;attr_gr_13;0;"boolean id laboriosam";"boolean deserunt sit";"boolean harum quia";"boolean optio est";0;0;;;
attr_31;pim_catalog_multiselect;attr_gr_7;1;"multiselect ipsa voluptate";"multiselect ipsa eum";"multiselect nesciunt et";"multiselect aut esse";0;0;;;
attr_32;pim_catalog_date;attr_gr_16;0;"date earum deserunt";"date sed et";"date suscipit assumenda";"date cum odio";0;0;;;
attr_33;pim_catalog_image;attr_gr_6;0;"image in illo";"image velit voluptatum";"image aliquid officia";"image reprehenderit placeat";0;0;jpg,pdf;;
attr_34;pim_catalog_multiselect;attr_gr_11;0;"multiselect vero dolor";"multiselect occaecati nisi";"multiselect et magni";"multiselect quod ut";0;0;;;
attr_35;pim_catalog_boolean;attr_gr_9;0;"boolean rerum ex";"boolean qui dolor";"boolean est dolorem";"boolean illo illum";0;0;;;
attr_36;pim_catalog_number;attr_gr_19;0;"number enim blanditiis";"number tempore placeat";"number veniam molestiae";"number velit et";0;0;;;
attr_37;pim_catalog_simpleselect;attr_gr_11;0;"simpleselect perferendis porro";"simpleselect voluptatem voluptas";"simpleselect quasi molestiae";"simpleselect quia dolore";0;0;;;
attr_38;pim_catalog_date;attr_gr_0;0;"date odit minima";"date omnis quas";"date et omnis";"date corrupti deserunt";0;0;;;
attr_39;pim_catalog_text;attr_gr_12;0;"text illum aspernatur";"text atque ut";"text quaerat qui";"text et rerum";0;0;;;
attr_40;pim_catalog_image;attr_gr_14;0;"image fugit corrupti";"image molestiae aut";"image maxime ea";"image voluptas nulla";0;0;jpg,png;;
attr_41;pim_catalog_simpleselect;attr_gr_16;0;"simpleselect similique ut";"simpleselect mollitia sed";"simpleselect optio dolores";"simpleselect a libero";0;0;;;
attr_42;pim_catalog_file;attr_gr_19;0;"file praesentium et";"file corrupti ut";"file voluptatibus quidem";"file minima consequatur";0;0;jpg,png;;
attr_43;pim_catalog_simpleselect;attr_gr_7;0;"simpleselect sunt quo";"simpleselect voluptatum et";"simpleselect corrupti tempora";"simpleselect sed aspernatur";0;0;;;
attr_44;pim_catalog_multiselect;attr_gr_7;0;"multiselect mollitia ea";"multiselect quo quasi";"multiselect error quia";"multiselect est ut";0;0;;;
attr_45;pim_catalog_image;attr_gr_8;0;"image quas facilis";"image dolorem excepturi";"image architecto molestiae";"image est quis";0;0;jpg,png;;
attr_46;pim_catalog_image;attr_gr_10;0;"image et ipsa";"image occaecati sit";"image quae velit";"image quia qui";0;0;jpg,png;;
attr_47;pim_catalog_boolean;attr_gr_17;0;"boolean enim qui";"boolean facere saepe";"boolean officiis molestiae";"boolean voluptas est";0;0;;;
attr_48;pim_catalog_textarea;attr_gr_8;0;"textarea aut eum";"textarea architecto voluptas";"textarea et sequi";"textarea quia eaque";0;0;;;
attr_49;pim_catalog_multiselect;attr_gr_5;0;"multiselect ducimus perspiciatis";"multiselect maxime hic";"multiselect eos consequuntur";"multiselect atque quaerat";0;0;;;
attr_50;pim_catalog_boolean;attr_gr_9;0;"boolean fugit neque";"boolean et nemo";"boolean qui sequi";"boolean quia et";0;0;;;
attr_51;pim_catalog_file;attr_gr_14;0;"file doloribus cupiditate";"file corporis id";"file architecto aut";"file rerum iusto";0;0;png,jpg;;
attr_52;pim_catalog_multiselect;attr_gr_12;0;"multiselect quasi labore";"multiselect id adipisci";"multiselect quod beatae";"multiselect itaque voluptatem";0;0;;;
attr_53;pim_catalog_price_collection;attr_gr_6;0;"price_collection vel quia";"price_collection maiores velit";"price_collection at officia";"price_collection exercitationem porro";0;0;;;
attr_54;pim_catalog_simpleselect;attr_gr_10;0;"simpleselect est ea";"simpleselect sequi voluptatem";"simpleselect omnis quidem";"simpleselect non eos";0;0;;;
attr_55;pim_catalog_textarea;attr_gr_1;0;"textarea eum cum";"textarea modi vel";"textarea porro animi";"textarea et at";0;0;;;
attr_56;pim_catalog_simpleselect;attr_gr_9;0;"simpleselect qui odit";"simpleselect eum omnis";"simpleselect voluptatum ea";"simpleselect occaecati voluptates";0;0;;;
attr_57;pim_catalog_multiselect;attr_gr_17;0;"multiselect quas ut";"multiselect voluptate eum";"multiselect sint et";"multiselect magni ullam";0;0;;;
attr_58;pim_catalog_text;attr_gr_6;0;"text velit nisi";"text tenetur unde";"text a omnis";"text aut recusandae";0;0;;;
attr_59;pim_catalog_boolean;attr_gr_6;0;"boolean eaque beatae";"boolean consequatur vel";"boolean porro aperiam";"boolean est qui";0;0;;;
attr_60;pim_catalog_boolean;attr_gr_17;0;"boolean quis officia";"boolean corporis voluptatem";"boolean et impedit";"boolean quam quae";0;0;;;
attr_61;pim_catalog_textarea;attr_gr_11;0;"textarea et sequi";"textarea rerum laudantium";"textarea repellat debitis";"textarea ex modi";0;0;;;
attr_62;pim_catalog_boolean;attr_gr_12;0;"boolean unde sint";"boolean qui officiis";"boolean vel et";"boolean doloribus et";0;0;;;
attr_63;pim_catalog_multiselect;attr_gr_8;0;"multiselect et nemo";"multiselect est sapiente";"multiselect tempore labore";"multiselect ea dolores";0;0;;;
attr_64;pim_catalog_date;attr_gr_0;0;"date ut occaecati";"date animi a";"date aperiam quia";"date consequatur quia";0;0;;;
attr_65;pim_catalog_multiselect;attr_gr_8;0;"multiselect blanditiis architecto";"multiselect et illo";"multiselect provident voluptatem";"multiselect consequuntur id";0;0;;;
attr_66;pim_catalog_text;attr_gr_9;0;"text vitae vel";"text porro iusto";"text voluptatibus porro";"text consequatur non";0;0;;;
attr_67;pim_catalog_image;attr_gr_5;0;"image voluptatem nesciunt";"image suscipit deserunt";"image dolores non";"image porro dolor";0;0;png,pdf;;
attr_68;pim_catalog_price_collection;attr_gr_13;1;"price_collection aspernatur est";"price_collection et aliquam";"price_collection debitis accusamus";"price_collection error vel";0;0;;;
attr_69;pim_catalog_price_collection;attr_gr_17;0;"price_collection sunt dolor";"price_collection reprehenderit neque";"price_collection quo sint";"price_collection pariatur nobis";0;0;;;
attr_70;pim_catalog_date;attr_gr_6;0;"date quis veritatis";"date repellendus repudiandae";"date mollitia repudiandae";"date minus earum";0;0;;;
attr_71;pim_catalog_price_collection;attr_gr_14;0;"price_collection qui fugit";"price_collection dignissimos deserunt";"price_collection enim sapiente";"price_collection ut non";0;0;;;
attr_72;pim_catalog_textarea;attr_gr_8;0;"textarea qui beatae";"textarea voluptatem sit";"textarea maiores et";"textarea ut vel";0;0;;;
attr_73;pim_catalog_date;attr_gr_6;0;"date natus aliquid";"date expedita qui";"date minus voluptates";"date et quae";0;0;;;
attr_74;pim_catalog_date;attr_gr_9;0;"date consequatur odit";"date culpa qui";"date libero enim";"date rerum iure";0;0;;;
attr_75;pim_catalog_boolean;attr_gr_6;0;"boolean ut sapiente";"boolean et excepturi";"boolean voluptatem quisquam";"boolean aperiam nisi";0;0;;;
attr_76;pim_catalog_image;attr_gr_3;0;"image est in";"image consequuntur voluptas";"image architecto quia";"image fugit non";0;0;png,pdf;;
attr_77;pim_catalog_number;attr_gr_7;0;"number laudantium minima";"number sit voluptatem";"number aut consectetur";"number sit sit";0;0;;;
attr_78;pim_catalog_number;attr_gr_4;0;"number eos voluptas";"number harum voluptates";"number minus minima";"number id nostrum";0;0;;;
attr_79;pim_catalog_file;attr_gr_5;0;"file a inventore";"file nostrum consequatur";"file laudantium expedita";"file aut qui";0;0;pdf,jpg;;
