code;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;attribute_as_label;attributes;requirements-ecommerce;requirements-print;requirements-mobile;requirements-pos
fam_0;"Sed perferendis.";"Eum recusandae.";"Rerum adipisci est.";"Est voluptatem.";name;sku,name,attr_77,attr_129,attr_73,attr_204,attr_19,attr_113,attr_248,attr_125,attr_139,attr_42,attr_147,attr_189,attr_80,attr_100,attr_122,attr_166,attr_210,attr_25,attr_233,attr_195,attr_157,attr_82,attr_72,attr_79,attr_75,attr_161,attr_8,attr_236,attr_78,attr_244,attr_4,attr_5,attr_118,attr_98,attr_186,attr_149,attr_45,attr_142,attr_167;sku,attr_204,attr_82,attr_149,attr_157;sku,attr_195,attr_4,attr_189,attr_82;sku,sku,attr_72,attr_236,attr_25;sku,attr_244,attr_167,attr_248,name
fam_1;"Magni earum numquam.";"Ad aliquam est.";"Earum illum.";"Et eaque voluptate.";name;sku,name,attr_241,attr_173,attr_15,attr_42,attr_56,attr_77,attr_163,attr_224,attr_38,attr_112,attr_119,attr_168,attr_202,attr_222,attr_177,attr_179,attr_33,attr_160,attr_57,attr_166,attr_106,attr_35,attr_98,attr_240,attr_167,attr_147,attr_221,attr_141,attr_9,attr_97,attr_36,attr_178,attr_245,attr_210,attr_21,attr_180,attr_172,attr_225,attr_110;sku,attr_110,attr_225,attr_221,sku;sku,attr_35,attr_202,attr_210,attr_56;sku,sku,attr_168,attr_167,attr_163;sku,attr_225,attr_168,attr_240,attr_167
fam_2;"Iusto est.";"Ex sapiente omnis.";"Earum voluptatem rerum.";"Quae vero beatae.";name;sku,name,attr_53,attr_19,attr_138,attr_128,attr_171,attr_126,attr_5,attr_81,attr_57,attr_98,attr_30,attr_143,attr_201,attr_223,attr_117,attr_40,attr_180,attr_75,attr_37,attr_191,attr_48,attr_118,attr_176,attr_64,attr_147,attr_141,attr_10,attr_182,attr_131,attr_119,attr_42,attr_59,attr_146,attr_123,attr_241,attr_200,attr_207,attr_148,attr_199;sku,name,attr_148,attr_200,attr_199;sku,attr_118,name,attr_201,attr_37;sku,attr_57,attr_138,attr_64,attr_182;sku,attr_131,attr_148,attr_64,attr_37
fam_3;"Qui ut aut.";"Est esse est.";"Maxime ad id.";"In similique nesciunt.";name;sku,name,attr_88,attr_220,attr_84,attr_112,attr_70,attr_90,attr_58,attr_53,attr_28,attr_13,attr_183,attr_111,attr_138,attr_233,attr_141,attr_131,attr_68,attr_179,attr_127,attr_204,attr_219,attr_214,attr_104,attr_135,attr_4,attr_140,attr_215,attr_172,attr_235,attr_242,attr_49,attr_110,attr_44,attr_168,attr_65,attr_181,attr_188,attr_32,attr_2;sku,attr_204,attr_127,attr_110,attr_65;sku,attr_235,attr_215,attr_172,attr_53;sku,attr_13,attr_204,sku,attr_141;sku,attr_13,attr_4,attr_242,attr_110
fam_4;"Voluptate voluptatem repellat.";"Ea nemo.";"Pariatur atque tempore.";"Inventore et.";name;sku,name,attr_40,attr_49,attr_73,attr_113,attr_137,attr_10,attr_170,attr_70,attr_224,attr_104,attr_8,attr_114,attr_22,attr_79,attr_7,attr_46,attr_218,attr_141,attr_87,attr_55,attr_99,attr_238,attr_127,attr_223,attr_151,attr_236,attr_27,attr_43,attr_140,attr_82,attr_159,attr_164,attr_161,attr_249,attr_35,attr_12,attr_0,attr_61,attr_101;sku,attr_159,attr_151,attr_218,name;sku,attr_127,sku,attr_236,attr_43;sku,attr_70,attr_104,attr_141,attr_99;sku,attr_159,attr_249,attr_49,attr_55
fam_5;"Eum officiis.";"Ut inventore quod.";"Eius quo aut.";"Qui nobis necessitatibus.";name;sku,name,attr_18,attr_86,attr_93,attr_213,attr_152,attr_102,attr_140,attr_147,attr_79,attr_47,attr_49,attr_196,attr_220,attr_97,attr_186,attr_85,attr_12,attr_129,attr_6,attr_52,attr_106,attr_113,attr_185,attr_8,attr_158,attr_75,attr_87,attr_122,attr_53,attr_154,attr_118,attr_105,attr_168,attr_134,attr_81,attr_135,attr_136,attr_61,attr_40;sku,attr_118,attr_140,attr_12,attr_102;sku,attr_93,attr_102,attr_135,attr_12;sku,attr_186,attr_87,attr_61,attr_93;sku,attr_52,attr_102,attr_154,attr_87
fam_6;"Nobis veniam.";"Eos non repellendus.";"Voluptatem est veniam.";"Et consequatur.";name;sku,name,attr_114,attr_212,attr_25,attr_36,attr_206,attr_199,attr_64,attr_17,attr_95,attr_172,attr_125,attr_119,attr_67,attr_2,attr_60,attr_197,attr_51,attr_157,attr_71,attr_46,attr_7,attr_86,attr_244,attr_13,attr_81,attr_183,attr_138,attr_28,attr_116,attr_159,attr_78,attr_120,attr_26,attr_222,attr_148,attr_149,attr_70,attr_49,attr_22;sku,attr_116,attr_78,attr_49,attr_199;sku,attr_212,attr_244,attr_36,attr_138;sku,attr_78,attr_125,attr_138,attr_26;sku,attr_183,attr_157,attr_95,attr_86
fam_7;"Est non voluptatem.";"Assumenda laborum.";"Aut ullam.";"Culpa ad.";name;sku,name,attr_100,attr_117,attr_161,attr_76,attr_11,attr_219,attr_82,attr_169,attr_240,attr_89,attr_18,attr_95,attr_25,attr_97,attr_101,attr_238,attr_17,attr_145,attr_6,attr_75,attr_24,attr_110,attr_205,attr_171,attr_20,attr_27,attr_165,attr_119,attr_230,attr_204,attr_116,attr_86,attr_242,attr_225,attr_246,attr_166,attr_103,attr_92,attr_157;sku,attr_95,attr_240,attr_230,attr_92;sku,attr_110,attr_145,attr_24,attr_75;sku,attr_97,sku,attr_95,attr_119;sku,attr_230,attr_145,attr_92,attr_169
fam_8;"Odit iste.";"Non at modi.";"Ut est.";"Mollitia qui.";name;sku,name,attr_126,attr_49,attr_50,attr_130,attr_243,attr_154,attr_92,attr_70,attr_83,attr_85,attr_98,attr_228,attr_165,attr_155,attr_197,attr_63,attr_93,attr_158,attr_153,attr_152,attr_122,attr_100,attr_238,attr_160,attr_111,attr_151,attr_180,attr_232,attr_110,attr_9,attr_10,attr_113,attr_108,attr_101,attr_220,attr_16,attr_191,attr_204,attr_240;sku,attr_153,attr_160,attr_63,attr_228;sku,attr_122,attr_152,attr_153,attr_63;sku,attr_204,attr_10,attr_92,attr_113;sku,attr_70,attr_108,attr_228,attr_165
fam_9;"Sequi dolorum assumenda.";"Laudantium consequatur et.";"Sunt optio voluptate.";"Alias ad iste.";name;sku,name,attr_207,attr_206,attr_192,attr_162,attr_179,attr_215,attr_19,attr_42,attr_230,attr_233,attr_67,attr_172,attr_66,attr_86,attr_136,attr_35,attr_46,attr_199,attr_1,attr_89,attr_130,attr_175,attr_169,attr_177,attr_129,attr_132,attr_127,attr_12,attr_73,attr_165,attr_163,attr_108,attr_214,attr_117,attr_9,attr_116,attr_167,attr_33,attr_150;sku,attr_233,attr_86,attr_1,attr_230;sku,attr_66,attr_206,attr_172,attr_35;sku,attr_73,attr_66,attr_165,attr_172;sku,attr_230,attr_86,attr_167,name
