code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_2;1;"identifier rerum rem";"identifier consequuntur nemo";"identifier suscipit a";"identifier totam molestiae";"identifier laborum impedit";;;;;
name;pim_catalog_text;attr_gr_1;0;"text repellat dolore";"text rerum non";"text dignissimos qui";"text veritatis ipsum";"text deleniti aperiam";;;;;
attr_0;pim_catalog_text;attr_gr_12;0;"text qui porro";"text doloribus soluta";"text sit deleniti";"text a ipsa";"text nesciunt qui";0;0;;;
attr_1;pim_catalog_file;attr_gr_2;0;"file saepe qui";"file non voluptas";"file eum animi";"file fugiat quaerat";"file repellat sed";0;0;png,jpg;;
attr_2;pim_catalog_simpleselect;attr_gr_12;0;"simpleselect voluptatibus sit";"simpleselect unde nemo";"simpleselect maxime est";"simpleselect similique dolorum";"simpleselect sit rem";0;0;;;
attr_3;pim_catalog_text;attr_gr_4;0;"text iure tempore";"text a autem";"text omnis magni";"text animi sed";"text sequi asperiores";0;0;;;
attr_4;pim_catalog_number;attr_gr_14;0;"number vero possimus";"number omnis ut";"number voluptates qui";"number natus ex";"number aspernatur laborum";0;0;;;
attr_5;pim_catalog_date;attr_gr_11;0;"date natus sed";"date dolores veniam";"date et illo";"date aut et";"date reprehenderit ullam";0;0;;;
attr_6;pim_catalog_file;attr_gr_14;0;"file alias in";"file ipsam ipsum";"file error corrupti";"file ad aliquam";"file est dolore";0;0;pdf,jpg;;
attr_7;pim_catalog_simpleselect;attr_gr_4;1;"simpleselect aperiam consequatur";"simpleselect impedit delectus";"simpleselect sit quia";"simpleselect ducimus nobis";"simpleselect eum atque";0;0;;;
attr_8;pim_catalog_simpleselect;attr_gr_4;0;"simpleselect ducimus unde";"simpleselect consequatur occaecati";"simpleselect est sequi";"simpleselect illum nisi";"simpleselect aut repudiandae";0;0;;;
attr_9;pim_catalog_file;attr_gr_0;1;"file ut reiciendis";"file aut voluptas";"file officia et";"file nulla natus";"file exercitationem rem";0;0;png,jpg;;
attr_10;pim_catalog_price_collection;attr_gr_11;0;"price_collection et enim";"price_collection alias ab";"price_collection dicta ad";"price_collection qui sed";"price_collection ducimus totam";0;0;;;
attr_11;pim_catalog_image;attr_gr_2;0;"image rerum porro";"image quisquam enim";"image consequatur ut";"image rerum nobis";"image porro aut";0;0;jpg,pdf;;
attr_12;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect voluptatum voluptatem";"simpleselect laborum distinctio";"simpleselect aliquid qui";"simpleselect perferendis et";"simpleselect ea magni";0;0;;;
attr_13;pim_catalog_date;attr_gr_6;0;"date sit ut";"date nulla facilis";"date corrupti consequatur";"date dolorum perspiciatis";"date excepturi ducimus";0;0;;;
attr_14;pim_catalog_file;attr_gr_1;0;"file minima tenetur";"file perferendis autem";"file exercitationem voluptatem";"file qui blanditiis";"file eligendi atque";0;0;png,pdf;;
attr_15;pim_catalog_boolean;attr_gr_14;0;"boolean provident velit";"boolean dolorem distinctio";"boolean illum ut";"boolean quasi ab";"boolean commodi aut";0;0;;;
attr_16;pim_catalog_number;attr_gr_14;0;"number et harum";"number sequi ut";"number est at";"number distinctio et";"number quo quia";0;0;;;
attr_17;pim_catalog_multiselect;attr_gr_4;0;"multiselect laboriosam sunt";"multiselect sit corrupti";"multiselect sequi nulla";"multiselect quas non";"multiselect doloribus nihil";0;0;;;
attr_18;pim_catalog_number;attr_gr_7;0;"number itaque laudantium";"number saepe fugiat";"number qui voluptatem";"number quia voluptates";"number explicabo voluptatem";0;0;;;
attr_19;pim_catalog_image;attr_gr_10;0;"image sint libero";"image tempore modi";"image nihil nam";"image iusto modi";"image veritatis sint";0;0;jpg,pdf;;
attr_20;pim_catalog_textarea;attr_gr_5;0;"textarea impedit et";"textarea temporibus natus";"textarea repellat fuga";"textarea sit rerum";"textarea perferendis animi";0;0;;;
attr_21;pim_catalog_date;attr_gr_0;0;"date reprehenderit assumenda";"date corrupti atque";"date quasi sed";"date cum ut";"date fugit laborum";0;0;;;
attr_22;pim_catalog_text;attr_gr_10;0;"text veritatis dolorem";"text aperiam nostrum";"text consequatur temporibus";"text a perferendis";"text eos neque";0;0;;;
attr_23;pim_catalog_image;attr_gr_8;0;"image minus quod";"image quia voluptatem";"image in quas";"image amet aut";"image earum dolor";0;0;jpg,pdf;;
attr_24;pim_catalog_image;attr_gr_0;0;"image ipsa ut";"image rerum temporibus";"image aut quod";"image officiis autem";"image ea aut";0;0;png,jpg;;
attr_25;pim_catalog_image;attr_gr_3;0;"image sint id";"image itaque delectus";"image excepturi itaque";"image reiciendis laudantium";"image eum distinctio";0;0;jpg,pdf;;
attr_26;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect rem esse";"simpleselect aut vel";"simpleselect nam doloremque";"simpleselect eaque eos";"simpleselect sit non";0;0;;;
attr_27;pim_catalog_metric;attr_gr_14;0;"metric et ab";"metric occaecati et";"metric iure praesentium";"metric tempora ut";"metric hic deleniti";0;0;;Length;METER
attr_28;pim_catalog_date;attr_gr_0;0;"date porro quas";"date modi voluptatem";"date vel omnis";"date dignissimos rem";"date velit alias";0;0;;;
attr_29;pim_catalog_text;attr_gr_8;1;"text voluptatem blanditiis";"text nostrum delectus";"text quia laborum";"text non et";"text qui aut";0;0;;;
attr_30;pim_catalog_boolean;attr_gr_10;0;"boolean quia quidem";"boolean eius laboriosam";"boolean optio placeat";"boolean natus unde";"boolean debitis velit";1;0;;;
attr_31;pim_catalog_multiselect;attr_gr_5;0;"multiselect culpa eveniet";"multiselect voluptas nisi";"multiselect perferendis asperiores";"multiselect iure itaque";"multiselect non aspernatur";0;0;;;
attr_32;pim_catalog_date;attr_gr_12;0;"date ad et";"date delectus vitae";"date corporis autem";"date ea praesentium";"date quisquam at";0;0;;;
attr_33;pim_catalog_image;attr_gr_4;0;"image aut voluptatum";"image dolores culpa";"image deserunt dolor";"image recusandae dolor";"image illo nisi";0;0;jpg,pdf;;
attr_34;pim_catalog_multiselect;attr_gr_8;0;"multiselect in et";"multiselect nisi soluta";"multiselect tempora autem";"multiselect quos consequatur";"multiselect rem itaque";1;0;;;
attr_35;pim_catalog_boolean;attr_gr_7;1;"boolean est autem";"boolean est earum";"boolean doloremque et";"boolean nostrum velit";"boolean qui id";0;0;;;
attr_36;pim_catalog_boolean;attr_gr_14;0;"boolean quia ut";"boolean eius autem";"boolean maxime est";"boolean qui enim";"boolean aut alias";0;0;;;
attr_37;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect aut reprehenderit";"simpleselect soluta officia";"simpleselect illum voluptates";"simpleselect et dolorum";"simpleselect deserunt et";1;0;;;
attr_38;pim_catalog_file;attr_gr_0;0;"file cumque vel";"file ut facere";"file est corporis";"file expedita alias";"file porro dolorem";0;0;png,jpg;;
attr_39;pim_catalog_metric;attr_gr_11;1;"metric enim unde";"metric expedita est";"metric nesciunt facilis";"metric ullam sunt";"metric et eum";0;0;;Length;METER
attr_40;pim_catalog_file;attr_gr_2;0;"file aut sed";"file fugit illo";"file fugit unde";"file nihil accusantium";"file quis eos";0;0;jpg,pdf;;
attr_41;pim_catalog_metric;attr_gr_4;0;"metric in delectus";"metric beatae soluta";"metric sed incidunt";"metric laudantium eos";"metric in consequuntur";0;0;;Length;METER
attr_42;pim_catalog_date;attr_gr_2;0;"date enim ipsum";"date voluptatibus nihil";"date dolores omnis";"date in ab";"date eius qui";0;0;;;
attr_43;pim_catalog_price_collection;attr_gr_6;0;"price_collection est dicta";"price_collection necessitatibus voluptatibus";"price_collection aut repudiandae";"price_collection quia quam";"price_collection velit ut";0;0;;;
