code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_3;1;"identifier quidem atque";"identifier autem quidem";"identifier illo qui";"identifier sed harum";;;;;
name;pim_catalog_text;attr_gr_2;0;"text quam inventore";"text laboriosam illo";"text autem facilis";"text sapiente doloribus";;;;;
attr_0;pim_catalog_text;attr_gr_16;0;"text nulla officia";"text dolores ratione";"text voluptatem dolorem";"text corrupti velit";0;0;;;
attr_1;pim_catalog_file;attr_gr_3;0;"file blanditiis voluptates";"file aut animi";"file quia harum";"file ullam perferendis";0;0;png,jpg;;
attr_2;pim_catalog_simpleselect;attr_gr_16;0;"simpleselect nobis corporis";"simpleselect tempore repellat";"simpleselect explicabo veritatis";"simpleselect similique numquam";0;0;;;
attr_3;pim_catalog_text;attr_gr_6;0;"text iure adipisci";"text facere vitae";"text molestiae sit";"text qui sed";0;0;;;
attr_4;pim_catalog_number;attr_gr_19;0;"number explicabo omnis";"number ipsum consequuntur";"number soluta ut";"number voluptatum sint";0;0;;;
attr_5;pim_catalog_date;attr_gr_15;0;"date autem itaque";"date necessitatibus non";"date velit commodi";"date quia rerum";0;0;;;
attr_6;pim_catalog_file;attr_gr_19;0;"file harum labore";"file quibusdam nostrum";"file at omnis";"file dolorem ex";0;0;pdf,jpg;;
attr_7;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect ut recusandae";"simpleselect sed dolore";"simpleselect aliquam eaque";"simpleselect accusantium cumque";0;0;;;
attr_8;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect provident omnis";"simpleselect qui sed";"simpleselect eos dolorem";"simpleselect dolorem consequuntur";0;0;;;
attr_9;pim_catalog_simpleselect;attr_gr_19;0;"simpleselect aut tenetur";"simpleselect atque rem";"simpleselect id fuga";"simpleselect eaque soluta";0;0;;;
attr_10;pim_catalog_price_collection;attr_gr_14;0;"price_collection enim aut";"price_collection veritatis saepe";"price_collection vel sit";"price_collection ut alias";0;0;;;
attr_11;pim_catalog_image;attr_gr_3;0;"image ipsam in";"image non quis";"image tenetur quae";"image doloribus eaque";0;0;jpg,pdf;;
attr_12;pim_catalog_simpleselect;attr_gr_11;0;"simpleselect repudiandae quaerat";"simpleselect voluptas totam";"simpleselect quidem vero";"simpleselect sit ipsum";0;0;;;
attr_13;pim_catalog_date;attr_gr_9;0;"date cupiditate autem";"date voluptatum sint";"date et quis";"date nam voluptates";0;0;;;
attr_14;pim_catalog_file;attr_gr_2;1;"file alias sit";"file vitae tempora";"file veritatis ullam";"file fuga dolores";0;0;png,pdf;;
attr_15;pim_catalog_boolean;attr_gr_18;0;"boolean nisi et";"boolean sapiente corrupti";"boolean ut eum";"boolean laboriosam et";0;0;;;
attr_16;pim_catalog_number;attr_gr_19;0;"number quod voluptas";"number similique assumenda";"number unde rerum";"number aut corporis";0;0;;;
attr_17;pim_catalog_multiselect;attr_gr_6;0;"multiselect necessitatibus mollitia";"multiselect molestiae autem";"multiselect sed provident";"multiselect et sit";0;0;;;
attr_18;pim_catalog_number;attr_gr_9;0;"number veritatis et";"number numquam aliquam";"number amet ipsa";"number et nihil";0;0;;;
attr_19;pim_catalog_image;attr_gr_14;1;"image quia unde";"image deserunt in";"image tempora delectus";"image et dolore";0;0;jpg,pdf;;
attr_20;pim_catalog_textarea;attr_gr_7;0;"textarea quam cupiditate";"textarea voluptatum tempora";"textarea excepturi nihil";"textarea est provident";0;0;;;
attr_21;pim_catalog_date;attr_gr_0;0;"date voluptatibus corporis";"date sequi provident";"date autem expedita";"date sit iste";0;0;;;
attr_22;pim_catalog_text;attr_gr_14;0;"text qui provident";"text non aut";"text rerum in";"text suscipit esse";0;0;;;
attr_23;pim_catalog_image;attr_gr_11;0;"image dolorem accusantium";"image eos ducimus";"image laboriosam explicabo";"image et vel";0;0;jpg,pdf;;
attr_24;pim_catalog_image;attr_gr_0;0;"image et voluptas";"image officiis qui";"image laboriosam velit";"image ducimus voluptas";0;0;png,jpg;;
attr_25;pim_catalog_image;attr_gr_4;0;"image tempora culpa";"image delectus nam";"image nobis odit";"image facilis dolorem";0;0;jpg,pdf;;
attr_26;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect voluptas quod";"simpleselect iusto nam";"simpleselect perspiciatis ex";"simpleselect autem ipsam";0;0;;;
attr_27;pim_catalog_metric;attr_gr_19;0;"metric et distinctio";"metric id laboriosam";"metric deserunt sit";"metric harum quia";0;0;;Length;METER
