job_profile;execute_job_profile;edit_job_profile
product_import;"IT support,Manager";"IT support,Manager"
product_export;"IT support,Manager";"IT support,Manager"
ecommerce_published_product_export;"IT support,Manager";"IT support,Manager"
rule_import;"IT support,Manager";"IT support,Manager"
rule_export;"IT support,Manager";"IT support,Manager"
asset_channel_configuration_import;"IT support,Manager";"IT support,Manager"
asset_channel_configuration_export;"IT support,Manager";"IT support,Manager"
asset_category_import;"IT support,Manager";"IT support,Manager"
asset_category_export;"IT support,Manager";"IT support,Manager"
approve_product_draft;"IT support,Manager";"IT support,Manager"
refuse_product_draft;"IT support,Manager";"IT support,Manager"
product_proposal_import;"IT support,Manager";"IT support,Manager"
add_product_value_with_permission;"IT support,Manager";"IT support,Manager"
add_product_value_with_permission_and_rules;"IT support,Manager";"IT support,Manager"
update_product_value_with_permission;"IT support,Manager";"IT support,Manager"
update_product_value_with_permission_and_rules;"IT support,Manager";"IT support,Manager"
remove_product_value_with_permission;"IT support,Manager";"IT support,Manager"
remove_product_value_with_permission_and_rules;"IT support,Manager";"IT support,Manager"
publish_product;"IT support,Manager";"IT support,Manager"
unpublish_product;"IT support,Manager";"IT support,Manager"
edit_common_attributes_with_permission;"IT support,Manager";"IT support,Manager"
edit_common_attributes_with_permission_and_rules;"IT support,Manager";"IT support,Manager"
add_to_variant_group_with_rules;"IT support,Manager";"IT support,Manager"
asset_import;"IT support,Manager";"IT support,Manager"
asset_export;"IT support,Manager";"IT support,Manager"
asset_variation_export;"IT support,Manager";"IT support,Manager"
apply_assets_mass_upload;"IT support,Manager";"IT support,Manager"
csv_product_import_with_rules;"IT support,Manager";"IT support,Manager"
xlsx_product_import_with_rules;"IT support,Manager";"IT support,Manager"
rule_impacted_product_count;"IT support,Manager";"IT support,Manager"
xlsx_asset_import;"IT support,Manager";"IT support,Manager"
xlsx_asset_category_import;"IT support,Manager";"IT support,Manager"
xlsx_asset_export;"IT support,Manager";"IT support,Manager"
xlsx_asset_category_export;"IT support,Manager";"IT support,Manager"
xlsx_asset_variation_export;"IT support,Manager";"IT support,Manager"
update_product_value;"IT support,Manager";"IT support,Manager"
add_product_value;"IT support,Manager";"IT support,Manager"
remove_product_value;"IT support,Manager";"IT support,Manager"
edit_common_attributes;"IT support,Manager";"IT support,Manager"
set_attribute_requirements;"IT support,Manager";"IT support,Manager"
add_to_variant_group;"IT support,Manager";"IT support,Manager"
csv_product_quick_export;"IT support,Manager";"IT support,Manager"
csv_category_import;"IT support,Manager";"IT support,Manager"
csv_category_export;"IT support,Manager";"IT support,Manager"
csv_association_type_import;"IT support,Manager";"IT support,Manager"
csv_association_type_export;"IT support,Manager";"IT support,Manager"
csv_group_import;"IT support,Manager";"IT support,Manager"
csv_group_export;"IT support,Manager";"IT support,Manager"
csv_attribute_import;"IT support,Manager";"IT support,Manager"
csv_attribute_export;"IT support,Manager";"IT support,Manager"
csv_option_import;"IT support,Manager";"IT support,Manager"
csv_option_export;"IT support,Manager";"IT support,Manager"
xlsx_product_quick_export;"IT support,Manager";"IT support,Manager"
xlsx_category_import;"IT support,Manager";"IT support,Manager"
xlsx_category_export;"IT support,Manager";"IT support,Manager"
xlsx_association_type_import;"IT support,Manager";"IT support,Manager"
xlsx_association_type_export;"IT support,Manager";"IT support,Manager"
xlsx_group_import;"IT support,Manager";"IT support,Manager"
xlsx_group_export;"IT support,Manager";"IT support,Manager"
xlsx_attribute_import;"IT support,Manager";"IT support,Manager"
xlsx_attribute_export;"IT support,Manager";"IT support,Manager"
xlsx_option_import;"IT support,Manager";"IT support,Manager"
xlsx_option_export;"IT support,Manager";"IT support,Manager"
