code;axis;type;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;attr_22;attr_222;attr_163;attr_58;attr_0;attr_29;attr_142;attr_183;attr_177;attr_3;attr_238;attr_61;name;attr_228;attr_89;attr_234;attr_66;attr_99
variant_group_0;attr_26,attr_9;VARIANT;quas;iste;ipsum;deserunt;"sed perferendis dicta";"recusandae saepe rerum";"dicta est voluptatem";"sint exercitationem illum";"enim blanditiis asperiores";;;;;;;;;;;;;
variant_group_1;attr_37,attr_140;VARIANT;in;perferendis;autem;sapiente;;;;;;"et ea laborum";"voluptatem accusantium sit";"omnis ut temporibus";"repudiandae quia sed";"possimus qui id";;;;;;;;
variant_group_2;attr_26,attr_65;VARIANT;praesentium;eligendi;quasi;aliquid;"qui harum in";;;;;;;"ex dolorem qui";;;"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;
variant_group_3;attr_52,attr_209;VARIANT;temporibus;saepe;esse;culpa;;;;"saepe nisi a";;"possimus ipsa aut";;"iste at aut";;;;;;"voluptatibus asperiores repellendus";"voluptatum quidem quia";;;
variant_group_4;attr_87,attr_9;VARIANT;cum;quis;odio;iusto;"numquam aut nemo";;;;;;"at beatae rerum";;;;;;;;"fugit et dolorum";"animi molestiae aut";"et numquam veritatis";
variant_group_5;attr_97,attr_81;VARIANT;esse;est;maxime;ex;;;;"mollitia qui porro";;;"molestiae quae totam";;;"natus aut quaerat";;"autem eos sit";"nostrum culpa et";;;;;
variant_group_6;attr_209,attr_2;VARIANT;dolores;vitae;rerum;velit;;"ad cumque sequi";;;;;"et asperiores corrupti";;;;"facere nihil asperiores";"accusamus dolor inventore";;;;"voluptatem qui adipisci";;
variant_group_7;attr_54,attr_166;VARIANT;qui;minima;consequatur;consequatur;;"omnis omnis rerum";"iusto voluptate ut";"nihil consequuntur est";;;;;;;;;"quia voluptatem perspiciatis";;;;"enim autem cupiditate";
variant_group_8;attr_144,attr_7;VARIANT;soluta;ut;aut;placeat;;;"dolor error enim";;;;"qui ea autem";"ducimus eos deleniti";"et et est";;;;"quasi expedita est";;;;;
variant_group_9;attr_200,attr_246;VARIANT;voluptatum;reprehenderit;est;cumque;;"ut quo libero";;;;;;;;"quidem quo aut";;;;;;"ex beatae rem";"aspernatur quibusdam sequi";"eos tenetur sunt"
