attribute;code;sort_order;label-fr_FR;label-en_US;label-ru_RU;label-it_IT
attr_179;attr_opt_attr_1790;10;Dolorem aut sequi.;Porro non aut.;Blanditiis impedit.;Rerum sit enim.
attr_179;attr_opt_attr_1791;10;Assumenda neque.;Est non.;Dolorem repellendus aspernatur.;Consequatur doloremque sit.
attr_179;attr_opt_attr_1792;4;Delectus temporibus.;Delectus minima dolores.;Voluptatem ipsam.;Vel unde sapiente.
attr_179;attr_opt_attr_1793;3;Quos dolores numquam.;Voluptatum voluptatibus veniam.;Dolores pariatur est.;Voluptatem aut.
attr_179;attr_opt_attr_1794;8;Placeat quia ut.;Sed fugiat dolores.;Nobis occaecati perspiciatis.;Autem doloribus ut.
attr_179;attr_opt_attr_1795;9;Aut at.;Expedita earum quisquam.;Aut aliquid.;Deserunt alias nisi.
attr_179;attr_opt_attr_1796;2;Inventore quod.;Porro expedita accusamus.;Esse eaque.;Accusamus exercitationem.
attr_179;attr_opt_attr_1797;4;Voluptatum recusandae.;Ratione eaque.;Sit id rerum.;Qui harum.
attr_179;attr_opt_attr_1798;8;Consequuntur et facilis.;Quae pariatur quia.;Impedit qui tenetur.;Fugiat et suscipit.
attr_179;attr_opt_attr_1799;10;Ipsam sed.;Autem nihil veritatis.;Enim eum eos.;Non a.
attr_195;attr_opt_attr_1950;2;Sit et corrupti.;Deleniti ut autem.;Nulla dolorem porro.;Accusamus delectus.
attr_195;attr_opt_attr_1951;9;Asperiores et.;Eligendi quaerat.;Quaerat reiciendis.;Laboriosam autem consectetur.
attr_195;attr_opt_attr_1952;2;Eaque ab facere.;Laboriosam quod.;Doloribus eos et.;Dolore repudiandae.
attr_195;attr_opt_attr_1953;9;Quo esse maiores.;Mollitia commodi.;Accusantium facere.;Sit et sit.
attr_195;attr_opt_attr_1954;6;Nihil suscipit.;Et modi illo.;Sed numquam.;Quia qui dolore.
attr_195;attr_opt_attr_1955;8;Asperiores voluptas.;Dolore id.;Ut similique itaque.;Dicta sint.
attr_195;attr_opt_attr_1956;3;Dolore cupiditate non.;Nihil maxime atque.;Eveniet modi.;Expedita iusto molestiae.
attr_195;attr_opt_attr_1957;8;Quas dolorem.;Nostrum et.;Incidunt quaerat.;Nihil mollitia.
attr_195;attr_opt_attr_1958;1;Aut quas consectetur.;Ducimus ut.;Autem unde iusto.;Eum tempora earum.
attr_195;attr_opt_attr_1959;5;Inventore occaecati iure.;Facilis inventore.;Qui id dolorem.;Laboriosam voluptas facere.
attr_204;attr_opt_attr_2040;5;Voluptatibus voluptatem necessitatibus.;Et autem consequuntur.;Est nisi velit.;Distinctio voluptatem.
attr_204;attr_opt_attr_2041;10;Et omnis voluptatum.;Recusandae qui.;Maxime voluptatem.;Ut ad.
attr_204;attr_opt_attr_2042;10;Qui consequatur.;Animi voluptas.;In consequatur omnis.;Voluptatum doloribus.
attr_204;attr_opt_attr_2043;8;Et consequuntur.;Pariatur quia.;Voluptas adipisci nam.;Ut laboriosam commodi.
attr_204;attr_opt_attr_2044;8;Quas deleniti rerum.;Animi suscipit aspernatur.;Deleniti repudiandae.;Facilis quibusdam.
attr_204;attr_opt_attr_2045;2;Autem eius adipisci.;Iusto hic.;Quia enim.;Ut iusto sint.
attr_204;attr_opt_attr_2046;7;Ut blanditiis.;Est tempora.;Vitae consequatur.;Sunt minima ut.
attr_204;attr_opt_attr_2047;4;Quos nostrum.;Ut aliquam.;Quibusdam molestiae.;Id ex.
attr_204;attr_opt_attr_2048;1;Adipisci aut ad.;Autem dolore.;Sit culpa.;Est nihil.
attr_204;attr_opt_attr_2049;9;Consequuntur officia.;Ipsa dolor.;Omnis at doloribus.;Et consequuntur tempora.
attr_213;attr_opt_attr_2130;8;Assumenda non.;Voluptate perspiciatis id.;Impedit eveniet maxime.;Nam ut officia.
attr_213;attr_opt_attr_2131;6;Quia repellendus.;Nostrum et incidunt.;Neque non repellendus.;Rem maiores.
attr_213;attr_opt_attr_2132;9;Cum voluptatem.;Voluptatibus voluptatum facere.;Officiis sint beatae.;Magni voluptatem.
attr_213;attr_opt_attr_2133;4;Delectus aut commodi.;Rerum eum excepturi.;Eos accusamus.;Sequi aut laudantium.
attr_213;attr_opt_attr_2134;1;Et aliquid pariatur.;Molestiae deleniti.;Exercitationem sint facilis.;Et aut facere.
attr_213;attr_opt_attr_2135;3;Odio quasi.;Ratione ut necessitatibus.;Dolore incidunt nesciunt.;Et dolorem qui.
attr_213;attr_opt_attr_2136;10;Dolor distinctio at.;Alias sed in.;Alias et.;Perferendis voluptas qui.
attr_213;attr_opt_attr_2137;7;Eveniet qui.;Non et.;Tenetur et.;Ut deleniti.
attr_213;attr_opt_attr_2138;3;Quae officiis.;Numquam consequatur.;Dolor et.;Quod est.
attr_213;attr_opt_attr_2139;7;Laudantium et.;Dolores delectus illo.;Officiis amet.;Quod iure praesentium.
attr_214;attr_opt_attr_2140;1;Occaecati et.;Sed ratione sunt.;Ipsum doloremque.;Et molestias cum.
attr_214;attr_opt_attr_2141;9;Sunt molestiae.;At eos cum.;Accusantium et architecto.;Quod corporis.
