code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit;decimals_allowed;negative_allowed
attr_0;pim_catalog_text;attr_gr_12;0;text recusandae optio;text commodi asperiores;text cumque sed;text mollitia natus;0;0;;;;;
attr_1;pim_catalog_date;attr_gr_2;0;date blanditiis commodi;date dolore voluptate;date placeat expedita;date ut adipisci;0;0;;;;;
attr_10;pim_catalog_price_collection;attr_gr_11;0;price_collection autem omnis;price_collection magni animi;price_collection sed sequi;price_collection asperiores consectetur;0;0;;;;1;
attr_100;pim_catalog_metric;attr_gr_10;0;metric ab eos;metric assumenda a;metric alias dignissimos;metric sed asperiores;0;0;;Length;METER;1;1
attr_101;pim_catalog_number;attr_gr_13;0;number quasi quo;number eum ea;number quibusdam veniam;number sit ad;0;0;;;;1;1
attr_102;pim_catalog_file;attr_gr_6;0;file et ullam;file minus est;file a minima;file quaerat repellendus;0;0;pdf,doc;;;;
attr_103;pim_catalog_boolean;attr_gr_6;0;boolean ut vero;boolean quam distinctio;boolean corporis quidem;boolean vitae est;0;0;;;;;
attr_104;pim_catalog_price_collection;attr_gr_0;0;price_collection quidem cumque;price_collection sit qui;price_collection tempora sapiente;price_collection a libero;0;0;;;;1;
attr_105;pim_catalog_number;attr_gr_14;0;number dolorem quasi;number quasi laudantium;number necessitatibus quae;number repellendus vel;0;0;;;;1;1
attr_106;pim_catalog_boolean;attr_gr_13;0;boolean quisquam animi;boolean maiores ea;boolean nihil aut;boolean dolorum et;0;0;;;;;
attr_107;pim_catalog_price_collection;attr_gr_5;1;price_collection asperiores voluptas;price_collection illum aut;price_collection aliquam aspernatur;price_collection odio cupiditate;0;0;;;;1;
attr_108;pim_catalog_date;attr_gr_7;0;date qui consequuntur;date voluptatem ut;date consequatur non;date in quis;0;0;;;;;
attr_109;pim_catalog_date;attr_gr_5;0;date nemo esse;date ut minima;date ea recusandae;date adipisci consequatur;0;0;;;;;
attr_11;pim_catalog_file;attr_gr_2;0;file possimus omnis;file ut voluptates;file qui natus;file ex aspernatur;0;0;pdf,doc;;;;
attr_110;pim_catalog_simpleselect;attr_gr_5;0;simpleselect eaque quo;simpleselect quis natus;simpleselect voluptatem consequatur;simpleselect laborum et;0;0;;;;;
attr_111;pim_catalog_date;attr_gr_11;0;date aliquam aut;date nesciunt et;date corporis suscipit;date nam nostrum;0;0;;;;;
attr_112;pim_catalog_date;attr_gr_9;0;date velit saepe;date at et;date in in;date omnis animi;0;0;;;;;
attr_113;pim_catalog_date;attr_gr_6;0;date amet qui;date sed impedit;date aut rerum;date nesciunt non;0;0;;;;;
attr_114;pim_catalog_number;attr_gr_0;0;number nobis commodi;number maiores quia;number quo voluptatem;number quia optio;0;0;;;;1;1
attr_115;pim_catalog_price_collection;attr_gr_13;0;price_collection laborum laudantium;price_collection qui esse;price_collection ut asperiores;price_collection et beatae;0;0;;;;1;
