code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit;decimals_allowed;negative_allowed
sku;pim_catalog_identifier;attr_gr_3;1;identifier et corrupti;identifier eos deleniti;identifier ut autem;identifier fugiat nulla;;;;;;;
name;pim_catalog_text;attr_gr_2;0;text dolorem porro;text aliquam accusamus;text delectus aut;text quia asperiores;0;0;;;;;
attr_0;pim_catalog_text;attr_gr_16;0;text ea eligendi;text quaerat commodi;text quaerat reiciendis;text in laboriosam;0;0;;;;;
attr_1;pim_catalog_date;attr_gr_3;0;date consectetur aut;date doloribus eaque;date ab facere;date amet laboriosam;0;0;;;;;
attr_2;pim_catalog_multiselect;attr_gr_6;0;multiselect tenetur doloribus;multiselect eos et;multiselect vitae dolore;multiselect repudiandae pariatur;0;0;;;;;
attr_3;pim_catalog_text;attr_gr_6;0;text quo esse;text maiores sit;text mollitia commodi;text quaerat accusantium;0;0;;;;;
attr_4;pim_catalog_number;attr_gr_19;0;number saepe sit;number et sit;number perspiciatis eius;number nihil suscipit;0;0;;;;1;1
attr_5;pim_catalog_date;attr_gr_15;0;date et modi;date illo et;date sed numquam;date doloribus quia;0;0;;;;;
attr_6;pim_catalog_file;attr_gr_19;0;file dolore nihil;file minima asperiores;file voluptas velit;file dolore id;0;0;pdf;;;;
attr_7;pim_catalog_simpleselect;attr_gr_5;0;simpleselect ut similique;simpleselect itaque sequi;simpleselect dicta sint;simpleselect nostrum necessitatibus;0;0;;;;;
attr_8;pim_catalog_simpleselect;attr_gr_6;0;simpleselect cupiditate non;simpleselect quo nihil;simpleselect maxime atque;simpleselect quia eveniet;0;0;;;;;
attr_9;pim_catalog_file;attr_gr_0;0;file repellat expedita;file iusto molestiae;file impedit dolore;file quas dolorem;0;0;pdf;;;;
attr_10;pim_catalog_price_collection;attr_gr_14;1;price_collection nostrum et;price_collection ullam incidunt;price_collection quaerat ea;price_collection nihil mollitia;0;0;;;;1;
attr_11;pim_catalog_file;attr_gr_3;0;file eum aut;file quas consectetur;file quis ducimus;file ut hic;0;0;pdf;;;;
attr_12;pim_catalog_simpleselect;attr_gr_11;1;simpleselect unde iusto;simpleselect aut eum;simpleselect tempora earum;simpleselect quam cumque;0;0;;;;;
attr_13;pim_catalog_date;attr_gr_13;0;date occaecati iure;date qui facilis;date inventore ut;date qui id;0;0;;;;;
attr_14;pim_catalog_multiselect;attr_gr_0;0;multiselect assumenda laboriosam;multiselect voluptas facere;multiselect totam vel;multiselect voluptatibus voluptatem;0;0;;;;;
attr_15;pim_catalog_textarea;attr_gr_14;0;textarea tempore et;textarea autem consequuntur;textarea similique est;textarea nisi velit;0;0;;;;;
attr_16;pim_catalog_number;attr_gr_18;0;number distinctio voluptatem;number repudiandae voluptates;number et omnis;number voluptatum ut;0;0;;;;1;1
attr_17;pim_catalog_price_collection;attr_gr_19;1;price_collection qui voluptatem;price_collection maxime voluptatem;price_collection illo ut;price_collection ad hic;0;0;;;;1;
attr_18;pim_catalog_multiselect;attr_gr_6;0;multiselect qui consequatur;multiselect et animi;multiselect voluptas quidem;multiselect in consequatur;0;0;;;;;
attr_19;pim_catalog_number;attr_gr_9;0;number quia voluptatum;number doloribus voluptas;number qui et;number consequuntur aut;0;0;;;;1;1
attr_20;pim_catalog_file;attr_gr_14;0;file quia sunt;file voluptas adipisci;file nam doloribus;file ut laboriosam;0;0;pdf;;;;
attr_21;pim_catalog_text;attr_gr_7;1;text repellendus porro;text quas deleniti;text rerum debitis;text animi suscipit;0;0;;;;;
attr_22;pim_catalog_file;attr_gr_11;0;file sit deleniti;file repudiandae ad;file facilis quibusdam;file sequi occaecati;0;0;pdf;;;;
attr_23;pim_catalog_file;attr_gr_19;0;file eius adipisci;file enim iusto;file hic architecto;file quia enim;0;0;pdf;;;;
attr_24;pim_catalog_file;attr_gr_16;0;file ut iusto;file sint distinctio;file aut ut;file blanditiis eaque;0;0;pdf;;;;
attr_25;pim_catalog_date;attr_gr_7;0;date tempora atque;date vitae consequatur;date perspiciatis sunt;date minima ut;0;0;;;;;
attr_26;pim_catalog_simpleselect;attr_gr_13;0;simpleselect voluptas quos;simpleselect nostrum eos;simpleselect ut aliquam;simpleselect ipsa quibusdam;0;0;;;;;
attr_27;pim_catalog_price_collection;attr_gr_12;0;price_collection tempora id;price_collection ex et;price_collection earum adipisci;price_collection aut ad;0;0;;;;1;
attr_28;pim_catalog_image;attr_gr_19;0;image autem dolore;image quae sit;image culpa consectetur;image est nihil;0;0;pdf,png;;;;
attr_29;pim_catalog_boolean;attr_gr_0;0;boolean ipsam consequuntur;boolean officia reprehenderit;boolean ipsa dolor;boolean aut omnis;0;0;;;;;
attr_30;pim_catalog_text;attr_gr_11;0;text doloribus voluptas;text et consequuntur;text tempora quod;text ex assumenda;0;0;;;;;
attr_31;pim_catalog_boolean;attr_gr_13;0;boolean eveniet voluptate;boolean perspiciatis id;boolean voluptas impedit;boolean eveniet maxime;0;0;;;;;
attr_32;pim_catalog_multiselect;attr_gr_7;0;multiselect nam ut;multiselect officia in;multiselect iusto quia;multiselect repellendus natus;0;0;;;;;
attr_33;pim_catalog_date;attr_gr_16;0;date et incidunt;date ut neque;date non repellendus;date aliquam rem;0;0;;;;;
attr_34;pim_catalog_image;attr_gr_6;0;image voluptas dicta;image cum voluptatem;image autem voluptatibus;image voluptatum facere;0;0;jpg,pdf;;;;
attr_35;pim_catalog_multiselect;attr_gr_11;0;multiselect officiis sint;multiselect beatae esse;multiselect magni voluptatem;multiselect quia facere;0;0;;;;;
attr_36;pim_catalog_boolean;attr_gr_9;0;boolean aut commodi;boolean quo rerum;boolean eum excepturi;boolean consectetur eos;0;0;;;;;
attr_37;pim_catalog_number;attr_gr_19;0;number aut sequi;number aut laudantium;number quae doloribus;number et aliquid;0;0;;;;1;1
attr_38;pim_catalog_simpleselect;attr_gr_11;0;simpleselect laboriosam molestiae;simpleselect deleniti minus;simpleselect exercitationem sint;simpleselect facilis rerum;0;0;;;;;
attr_39;pim_catalog_date;attr_gr_0;0;date aut facere;date voluptatem voluptatum;date odio quasi;date qui ratione;0;0;;;;;
attr_40;pim_catalog_text;attr_gr_12;0;text necessitatibus autem;text dolore incidunt;text nesciunt cumque;text et dolorem;0;0;;;;;
attr_41;pim_catalog_image;attr_gr_14;0;image doloribus libero;image dolor distinctio;image at fuga;image alias sed;0;0;jpg,png;;;;
attr_42;pim_catalog_simpleselect;attr_gr_16;0;simpleselect architecto alias;simpleselect et at;simpleselect perferendis voluptas;simpleselect qui id;0;0;;;;;
attr_43;pim_catalog_file;attr_gr_19;0;file eveniet qui;file odio non;file et amet;file tenetur et;0;0;pdf;;;;
attr_44;pim_catalog_simpleselect;attr_gr_7;0;simpleselect ut deleniti;simpleselect nostrum odit;simpleselect quae officiis;simpleselect odio numquam;0;0;;;;;
attr_45;pim_catalog_multiselect;attr_gr_7;0;multiselect odit dolor;multiselect et ut;multiselect quod est;multiselect soluta laudantium;0;0;;;;;
attr_46;pim_catalog_image;attr_gr_8;0;image et sapiente;image dolores delectus;image illo ipsum;image officiis amet;0;0;jpg,png;;;;
attr_47;pim_catalog_image;attr_gr_10;0;image quod iure;image praesentium dicta;image dolorem occaecati;image et quo;0;0;jpg,png;;;;
attr_48;pim_catalog_boolean;attr_gr_17;0;boolean ratione sunt;boolean totam ipsum;boolean doloremque omnis;boolean et molestias;0;0;;;;;
attr_49;pim_catalog_textarea;attr_gr_8;0;textarea dolorem laudantium;textarea sunt molestiae;textarea nulla at;textarea eos cum;0;0;;;;;
attr_50;pim_catalog_multiselect;attr_gr_5;0;multiselect accusantium et;multiselect architecto enim;multiselect quod corporis;multiselect sed voluptas;0;0;;;;;
attr_51;pim_catalog_boolean;attr_gr_9;0;boolean aperiam libero;boolean accusantium dolor;boolean natus aut;boolean occaecati mollitia;0;0;;;;;
attr_52;pim_catalog_file;attr_gr_14;0;file ab ea;file aut facere;file et omnis;file voluptatem est;0;0;pdf;;;;
attr_53;pim_catalog_multiselect;attr_gr_12;1;multiselect consequatur ut;multiselect mollitia corrupti;multiselect veritatis dignissimos;multiselect fugit est;0;0;;;;;
attr_54;pim_catalog_price_collection;attr_gr_6;1;price_collection aut doloremque;price_collection quae et;price_collection et vel;price_collection quas temporibus;0;0;;;;1;
attr_55;pim_catalog_simpleselect;attr_gr_10;0;simpleselect hic ab;simpleselect aliquam voluptate;simpleselect aut provident;simpleselect magni omnis;0;0;;;;;
attr_56;pim_catalog_textarea;attr_gr_1;0;textarea numquam magnam;textarea praesentium quaerat;textarea veniam qui;textarea tempora et;0;0;;;;;
attr_57;pim_catalog_simpleselect;attr_gr_9;1;simpleselect et voluptatum;simpleselect sapiente assumenda;simpleselect occaecati quis;simpleselect cupiditate aut;0;0;;;;;
attr_58;pim_catalog_multiselect;attr_gr_17;1;multiselect est culpa;multiselect modi aspernatur;multiselect unde cumque;multiselect est et;0;0;;;;;
attr_59;pim_catalog_text;attr_gr_6;0;text non non;text doloribus nobis;text itaque quaerat;text magnam praesentium;0;0;;;;;
attr_60;pim_catalog_boolean;attr_gr_6;0;boolean qui est;boolean et aliquam;boolean hic earum;boolean ut fugiat;0;0;;;;;
attr_61;pim_catalog_boolean;attr_gr_17;0;boolean et perferendis;boolean rem omnis;boolean quia asperiores;boolean aut et;0;0;;;;;
attr_62;pim_catalog_textarea;attr_gr_11;1;textarea veniam cumque;textarea enim est;textarea laboriosam aut;textarea accusantium placeat;0;0;;;;;
attr_63;pim_catalog_boolean;attr_gr_12;0;boolean possimus impedit;boolean hic perferendis;boolean quo adipisci;boolean sed recusandae;0;0;;;;;
attr_64;pim_catalog_multiselect;attr_gr_8;1;multiselect optio qui;multiselect illo occaecati;multiselect laborum consectetur;multiselect corporis sequi;0;0;;;;;
attr_65;pim_catalog_date;attr_gr_0;0;date aliquid dolores;date non quia;date expedita sit;date modi velit;0;0;;;;;
attr_66;pim_catalog_multiselect;attr_gr_8;0;multiselect dolores placeat;multiselect eveniet voluptas;multiselect dolorem et;multiselect iusto sint;0;0;;;;;
attr_67;pim_catalog_text;attr_gr_9;0;text optio nisi;text necessitatibus deleniti;text et sed;text quasi mollitia;0;0;;;;;
attr_68;pim_catalog_image;attr_gr_5;0;image non doloribus;image qui minima;image ut reiciendis;image architecto fugiat;0;0;png,pdf;;;;
attr_69;pim_catalog_price_collection;attr_gr_13;0;price_collection ea quis;price_collection et nihil;price_collection ut temporibus;price_collection officiis fuga;0;0;;;;1;
attr_70;pim_catalog_price_collection;attr_gr_17;0;price_collection aspernatur exercitationem;price_collection quos nisi;price_collection est quaerat;price_collection dolor ut;0;0;;;;1;
attr_71;pim_catalog_date;attr_gr_6;0;date eum laudantium;date asperiores quos;date recusandae labore;date non reprehenderit;0;0;;;;;
attr_72;pim_catalog_price_collection;attr_gr_14;0;price_collection excepturi officia;price_collection quis adipisci;price_collection dolorem delectus;price_collection veritatis possimus;0;0;;;;1;
attr_73;pim_catalog_textarea;attr_gr_8;0;textarea saepe deserunt;textarea sed suscipit;textarea ut nam;textarea sit architecto;0;0;;;;;
attr_74;pim_catalog_date;attr_gr_6;0;date nobis minima;date sequi provident;date ratione consequatur;date qui consequatur;0;0;;;;;
