job_profile;execute_job_profile;edit_job_profile
csv_footwear_product_import;IT support,Manager;IT support,Manager
csv_footwear_product_export;IT support,Manager;IT support,Manager
csv_footwear_category_import;IT support,Manager;IT support,Manager
csv_footwear_category_export;IT support,Manager;IT support,Manager
csv_footwear_association_type_import;IT support,Manager;IT support,Manager
csv_footwear_association_type_export;IT support,Manager;IT support,Manager
csv_footwear_group_import;IT support,Manager;IT support,Manager
csv_footwear_group_export;IT support,Manager;IT support,Manager
csv_footwear_attribute_import;IT support,Manager;IT support,Manager
csv_footwear_attribute_export;IT support,Manager;IT support,Manager
csv_footwear_option_import;IT support,Manager;IT support,Manager
csv_footwear_option_export;IT support,Manager;IT support,Manager
csv_footwear_family_export;IT support,Manager;IT support,Manager
csv_footwear_channel_export;IT support,Manager;IT support,Manager
csv_footwear_currency_export;IT support,Manager;IT support,Manager
csv_footwear_locale_export;IT support,Manager;IT support,Manager
csv_footwear_group_type_export;IT support,Manager;IT support,Manager
csv_footwear_attribute_group_export;IT support,Manager;IT support,Manager
csv_footwear_family_import;IT support,Manager;IT support,Manager
csv_footwear_currency_import;IT support,Manager;IT support,Manager
csv_footwear_channel_import;IT support,Manager;IT support,Manager
csv_footwear_locale_import;IT support,Manager;IT support,Manager
csv_footwear_group_type_import;IT support,Manager;IT support,Manager
csv_footwear_attribute_group_import;IT support,Manager;IT support,Manager
xlsx_footwear_product_import_fr;IT support,Manager;IT support,Manager
xlsx_footwear_product_import;IT support,Manager;IT support,Manager
xlsx_footwear_category_import;IT support,Manager;IT support,Manager
xlsx_footwear_association_type_import;IT support,Manager;IT support,Manager
xlsx_footwear_group_import;IT support,Manager;IT support,Manager
xlsx_footwear_attribute_import;IT support,Manager;IT support,Manager
xlsx_footwear_option_import;IT support,Manager;IT support,Manager
xlsx_footwear_family_import;IT support,Manager;IT support,Manager
xlsx_footwear_currency_import;IT support,Manager;IT support,Manager
xlsx_footwear_channel_import;IT support,Manager;IT support,Manager
xlsx_footwear_locale_import;IT support,Manager;IT support,Manager
xlsx_footwear_group_type_import;IT support,Manager;IT support,Manager
xlsx_footwear_attribute_group_import;IT support,Manager;IT support,Manager
xlsx_footwear_family_export;IT support,Manager;IT support,Manager
xlsx_footwear_category_export;IT support,Manager;IT support,Manager
xlsx_footwear_attribute_export;IT support,Manager;IT support,Manager
xlsx_footwear_option_export;IT support,Manager;IT support,Manager
xlsx_footwear_association_type_export;IT support,Manager;IT support,Manager
xlsx_footwear_channel_export;IT support,Manager;IT support,Manager
xlsx_footwear_currency_export;IT support,Manager;IT support,Manager
xlsx_footwear_locale_export;IT support,Manager;IT support,Manager
xlsx_footwear_group_type_export;IT support,Manager;IT support,Manager
xlsx_footwear_attribute_group_export;IT support,Manager;IT support,Manager
update_product_value;IT support,Manager;IT support,Manager
add_product_value;IT support,Manager;IT support,Manager
remove_product_value;IT support,Manager;IT support,Manager
edit_common_attributes;IT support,Manager;IT support,Manager
set_attribute_requirements;IT support,Manager;IT support,Manager
csv_product_quick_export;IT support,Manager;IT support,Manager
xlsx_product_quick_export;IT support,Manager;IT support,Manager
csv_product_grid_context_quick_export;IT support,Manager;IT support,Manager
xlsx_product_grid_context_quick_export;IT support,Manager;IT support,Manager
publish_product;IT support,Manager;IT support,Manager
unpublish_product;IT support,Manager;IT support,Manager
csv_published_product_quick_export;IT support,Manager;IT support,Manager
csv_published_product_grid_context_quick_export;IT support,Manager;IT support,Manager
xlsx_published_product_quick_export;IT support,Manager;IT support,Manager
xlsx_published_product_grid_context_quick_export;IT support,Manager;IT support,Manager
rule_impacted_product_count;IT support,Manager;IT support,Manager
classify_assets;IT support,Manager;IT support,Manager
add_tags_to_assets;IT support,Manager;IT support,Manager
project_calculation;IT support,Manager;IT support,Manager
refresh_project_completeness_calculation;IT support,Manager;IT support,Manager
