code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_10;1;"pim_catalog_text quae porro";"pim_catalog_text et possimus";"pim_catalog_text omnis sit";"pim_catalog_text eos rem";;;;;
name;pim_catalog_text;attr_gr_11;0;"pim_catalog_text fuga ea";"pim_catalog_text magnam maiores";"pim_catalog_text quo ad";"pim_catalog_text ducimus modi";;;;;
attr_0;pim_catalog_multiselect;attr_gr_8;0;"pim_catalog_text animi molestias";"pim_catalog_text distinctio expedita";"pim_catalog_text aut quam";"pim_catalog_text quisquam nisi";0;0;;;
attr_1;pim_catalog_image;attr_gr_11;0;"pim_catalog_text non voluptas";"pim_catalog_text quaerat eaque";"pim_catalog_text nihil asperiores";"pim_catalog_text sed temporibus";0;0;pdf,jpg;;
attr_2;pim_catalog_number;attr_gr_6;0;"pim_catalog_text rerum facere";"pim_catalog_text suscipit iusto";"pim_catalog_text sequi quia";"pim_catalog_text esse molestiae";0;0;;;
attr_3;pim_catalog_date;attr_gr_10;0;"pim_catalog_text animi hic";"pim_catalog_text vel esse";"pim_catalog_text unde tenetur";"pim_catalog_text fuga aperiam";0;0;;;
attr_4;pim_catalog_textarea;attr_gr_4;0;"pim_catalog_text aut maxime";"pim_catalog_text rerum placeat";"pim_catalog_text perferendis odit";"pim_catalog_text veritatis et";0;0;;;
attr_5;pim_catalog_number;attr_gr_5;0;"pim_catalog_text atque omnis";"pim_catalog_text ex officia";"pim_catalog_text eius ullam";"pim_catalog_text et perspiciatis";0;0;;;
attr_6;pim_catalog_simpleselect;attr_gr_6;0;"pim_catalog_text eaque sed";"pim_catalog_text qui ut";"pim_catalog_text fugit sit";"pim_catalog_text id sed";0;0;;;
attr_7;pim_catalog_text;attr_gr_1;0;"pim_catalog_text libero neque";"pim_catalog_text dicta explicabo";"pim_catalog_text nostrum harum";"pim_catalog_text quo iusto";0;0;;;
attr_8;pim_catalog_file;attr_gr_12;0;"pim_catalog_text aut molestias";"pim_catalog_text est velit";"pim_catalog_text ut dolores";"pim_catalog_text temporibus cumque";0;0;pdf,jpg;;
attr_9;pim_catalog_boolean;attr_gr_13;0;"pim_catalog_text et quis";"pim_catalog_text voluptatibus eaque";"pim_catalog_text eveniet quasi";"pim_catalog_text est odio";0;1;;;
attr_10;pim_catalog_price_collection;attr_gr_14;0;"pim_catalog_text omnis deserunt";"pim_catalog_text omnis explicabo";"pim_catalog_text aspernatur enim";"pim_catalog_text eius quis";0;0;;;
attr_11;pim_catalog_price_collection;attr_gr_6;0;"pim_catalog_text delectus rerum";"pim_catalog_text natus et";"pim_catalog_text dolor quaerat";"pim_catalog_text esse qui";0;0;;;
attr_12;pim_catalog_textarea;attr_gr_14;0;"pim_catalog_text sed omnis";"pim_catalog_text ea possimus";"pim_catalog_text eius reprehenderit";"pim_catalog_text esse qui";0;0;;;
attr_13;pim_catalog_boolean;attr_gr_10;0;"pim_catalog_text sed vitae";"pim_catalog_text suscipit rerum";"pim_catalog_text earum fugit";"pim_catalog_text ipsam quos";0;0;;;
attr_14;pim_catalog_number;attr_gr_13;1;"pim_catalog_text ut eos";"pim_catalog_text ut eligendi";"pim_catalog_text mollitia suscipit";"pim_catalog_text incidunt ab";0;0;;;
attr_15;pim_catalog_simpleselect;attr_gr_5;0;"pim_catalog_text minima pariatur";"pim_catalog_text praesentium voluptas";"pim_catalog_text maxime molestiae";"pim_catalog_text consequatur est";0;0;;;
attr_16;pim_catalog_file;attr_gr_2;0;"pim_catalog_text accusantium rerum";"pim_catalog_text iste eveniet";"pim_catalog_text a voluptatum";"pim_catalog_text sit suscipit";0;0;jpg,png;;
attr_17;pim_catalog_text;attr_gr_1;0;"pim_catalog_text voluptatem voluptatum";"pim_catalog_text est nulla";"pim_catalog_text assumenda quia";"pim_catalog_text iusto voluptate";0;0;;;
attr_18;pim_catalog_image;attr_gr_14;0;"pim_catalog_text inventore dolores";"pim_catalog_text earum repellendus";"pim_catalog_text id minus";"pim_catalog_text rerum non";0;0;jpg,pdf;;
attr_19;pim_catalog_price_collection;attr_gr_3;0;"pim_catalog_text cupiditate eaque";"pim_catalog_text voluptate dolorem";"pim_catalog_text architecto non";"pim_catalog_text esse aut";0;0;;;
attr_20;pim_catalog_date;attr_gr_10;0;"pim_catalog_text sed soluta";"pim_catalog_text omnis magni";"pim_catalog_text voluptas accusamus";"pim_catalog_text aut minima";0;0;;;
attr_21;pim_catalog_simpleselect;attr_gr_6;0;"pim_catalog_text quo ex";"pim_catalog_text molestiae nobis";"pim_catalog_text laudantium ea";"pim_catalog_text sit et";0;0;;;
attr_22;pim_catalog_image;attr_gr_5;0;"pim_catalog_text veniam repellat";"pim_catalog_text eum animi";"pim_catalog_text eius dolores";"pim_catalog_text provident non";0;0;pdf,png;;
attr_23;pim_catalog_price_collection;attr_gr_3;1;"pim_catalog_text quia consequuntur";"pim_catalog_text alias qui";"pim_catalog_text exercitationem amet";"pim_catalog_text qui id";0;0;;;
attr_24;pim_catalog_price_collection;attr_gr_6;0;"pim_catalog_text voluptatibus deserunt";"pim_catalog_text nemo dolor";"pim_catalog_text eum odit";"pim_catalog_text velit asperiores";0;0;;;
attr_25;pim_catalog_price_collection;attr_gr_3;0;"pim_catalog_text earum eum";"pim_catalog_text corporis cupiditate";"pim_catalog_text et ut";"pim_catalog_text aut dolores";0;0;;;
attr_26;pim_catalog_number;attr_gr_10;0;"pim_catalog_text voluptatem nisi";"pim_catalog_text et illo";"pim_catalog_text maiores et";"pim_catalog_text ut quasi";0;0;;;
attr_27;pim_catalog_text;attr_gr_2;0;"pim_catalog_text recusandae autem";"pim_catalog_text et ullam";"pim_catalog_text est omnis";"pim_catalog_text deserunt dolorem";0;0;;;
attr_28;pim_catalog_image;attr_gr_6;1;"pim_catalog_text consequatur consectetur";"pim_catalog_text dignissimos temporibus";"pim_catalog_text quo excepturi";"pim_catalog_text numquam nobis";0;0;png,jpg;;
attr_29;pim_catalog_multiselect;attr_gr_7;0;"pim_catalog_text facilis est";"pim_catalog_text omnis animi";"pim_catalog_text voluptatem quo";"pim_catalog_text debitis nisi";0;0;;;
attr_30;pim_catalog_textarea;attr_gr_14;1;"pim_catalog_text dolores est";"pim_catalog_text non velit";"pim_catalog_text debitis asperiores";"pim_catalog_text doloribus impedit";0;0;;;
attr_31;pim_catalog_metric;attr_gr_11;0;"pim_catalog_text saepe quas";"pim_catalog_text quo aut";"pim_catalog_text ut voluptas";"pim_catalog_text voluptate sunt";0;0;;Length;METER
attr_32;pim_catalog_simpleselect;attr_gr_2;0;"pim_catalog_text suscipit non";"pim_catalog_text culpa omnis";"pim_catalog_text beatae consequuntur";"pim_catalog_text reiciendis sequi";0;0;;;
attr_33;pim_catalog_image;attr_gr_12;0;"pim_catalog_text similique ut";"pim_catalog_text amet sed";"pim_catalog_text necessitatibus natus";"pim_catalog_text quisquam distinctio";0;0;pdf,jpg;;
attr_34;pim_catalog_text;attr_gr_3;0;"pim_catalog_text voluptatem laborum";"pim_catalog_text nulla voluptatem";"pim_catalog_text nulla consectetur";"pim_catalog_text placeat accusamus";0;0;;;
attr_35;pim_catalog_textarea;attr_gr_7;0;"pim_catalog_text dolore porro";"pim_catalog_text cumque quis";"pim_catalog_text officiis aspernatur";"pim_catalog_text sunt consequuntur";0;0;;;
attr_36;pim_catalog_file;attr_gr_3;0;"pim_catalog_text amet id";"pim_catalog_text vel itaque";"pim_catalog_text reiciendis sed";"pim_catalog_text quibusdam perferendis";0;0;pdf,png;;
attr_37;pim_catalog_date;attr_gr_9;0;"pim_catalog_text itaque aut";"pim_catalog_text quae aliquid";"pim_catalog_text beatae quidem";"pim_catalog_text officiis id";0;0;;;
attr_38;pim_catalog_textarea;attr_gr_8;0;"pim_catalog_text ut qui";"pim_catalog_text excepturi dolore";"pim_catalog_text architecto aperiam";"pim_catalog_text omnis nihil";0;0;;;
attr_39;pim_catalog_textarea;attr_gr_13;0;"pim_catalog_text culpa aliquid";"pim_catalog_text et sit";"pim_catalog_text animi reprehenderit";"pim_catalog_text quia dolores";0;0;;;
attr_40;pim_catalog_date;attr_gr_3;0;"pim_catalog_text earum perspiciatis";"pim_catalog_text maxime ad";"pim_catalog_text a omnis";"pim_catalog_text ducimus in";0;0;;;
attr_41;pim_catalog_date;attr_gr_7;0;"pim_catalog_text omnis cumque";"pim_catalog_text necessitatibus aspernatur";"pim_catalog_text et quia";"pim_catalog_text ea qui";0;0;;;
attr_42;pim_catalog_date;attr_gr_2;0;"pim_catalog_text necessitatibus vel";"pim_catalog_text quo mollitia";"pim_catalog_text saepe consequatur";"pim_catalog_text sit nam";0;0;;;
attr_43;pim_catalog_file;attr_gr_5;0;"pim_catalog_text quas deleniti";"pim_catalog_text dolor est";"pim_catalog_text labore minus";"pim_catalog_text dolorem sunt";0;0;pdf,jpg;;
attr_44;pim_catalog_file;attr_gr_7;0;"pim_catalog_text et reiciendis";"pim_catalog_text facere nam";"pim_catalog_text omnis sed";"pim_catalog_text dicta modi";0;0;pdf,png;;
attr_45;pim_catalog_metric;attr_gr_1;0;"pim_catalog_text distinctio vel";"pim_catalog_text consequatur delectus";"pim_catalog_text distinctio illum";"pim_catalog_text in doloremque";0;0;;Length;METER
attr_46;pim_catalog_date;attr_gr_5;0;"pim_catalog_text dolorem molestiae";"pim_catalog_text quia dicta";"pim_catalog_text qui quis";"pim_catalog_text culpa et";0;0;;;
attr_47;pim_catalog_number;attr_gr_7;0;"pim_catalog_text voluptatibus aut";"pim_catalog_text vel porro";"pim_catalog_text repellendus molestiae";"pim_catalog_text magnam quo";0;0;;;
attr_48;pim_catalog_boolean;attr_gr_0;1;"pim_catalog_text vitae alias";"pim_catalog_text quas magni";"pim_catalog_text est consectetur";"pim_catalog_text aut enim";0;0;;;
attr_49;pim_catalog_date;attr_gr_4;0;"pim_catalog_text repellendus debitis";"pim_catalog_text tempora et";"pim_catalog_text et facere";"pim_catalog_text praesentium nostrum";0;0;;;
