code;axis;type;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;attr_59;attr_332;attr_262;attr_129;attr_3;attr_67;attr_89;attr_323;attr_239;attr_317;attr_396;attr_143;name;attr_123;attr_340;attr_217;attr_358;attr_182;attr_243;attr_40;attr_21;attr_139;attr_342;attr_374;attr_331;attr_187;attr_0;attr_299;attr_227;attr_272;attr_30;attr_246;attr_233;attr_304;attr_253
variant_group_0;attr_55,attr_42,attr_7;VARIANT;quas;iste;ipsum;deserunt;"sed perferendis dicta";"recusandae saepe rerum";"dicta est voluptatem";"sint exercitationem illum";"enim blanditiis asperiores";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_86,attr_276,attr_160;VARIANT;qui;id;in;perferendis;"repellendus omnis ut";;;;;"et ea laborum";"sed voluptatem accusantium";"est repudiandae quia";"dolor consequuntur possimus";;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_2;attr_55,attr_160,attr_264;VARIANT;praesentium;eligendi;quasi;aliquid;"qui harum in";;;;;;;;;"ex dolorem qui";"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;;;;;;;;;;;;;;;;;;
variant_group_3;attr_95,attr_377,attr_127;VARIANT;temporibus;saepe;esse;culpa;;;;;;;"possimus ipsa aut";"iste at aut";;;;;;"saepe nisi a";"voluptatibus asperiores repellendus";"voluptatum quidem quia";;;;;;;;;;;;;;;;;;;
variant_group_4;attr_195,attr_42,attr_168;VARIANT;cum;quis;odio;iusto;;;;;;"numquam aut nemo";;;"at beatae rerum";;;;;;;"fugit et dolorum";"animi molestiae aut";"et numquam veritatis";;;;;;;;;;;;;;;;;
variant_group_5;attr_236,attr_168,attr_8;VARIANT;porro;esse;est;maxime;;;;;;;;;;;;;"nostrum culpa et";;;;;;"molestiae quae totam";"natus aut quaerat";"ea autem eos";"exercitationem mollitia qui";;;;;;;;;;;;;
variant_group_6;attr_377,attr_7,attr_257;VARIANT;dolores;vitae;rerum;velit;;"ad cumque sequi";;;;;;;"et asperiores corrupti";;;;;;;;;;;;;"accusamus dolor inventore";"voluptatem qui adipisci";"facere nihil asperiores";;;;;;;;;;;
variant_group_7;attr_95,attr_285,attr_42;VARIANT;voluptate;ut;qui;minima;;;;;;;;;;;;;;"nihil consequuntur est";;;;"vel facilis iusto";;;;;;;"omnis omnis rerum";"enim autem cupiditate";"quia voluptatem perspiciatis";;;;;;;;
variant_group_8;attr_281,attr_12,attr_213;VARIANT;soluta;ut;aut;placeat;;;"dolor error enim";;;;;;"qui ea autem";"ducimus eos deleniti";;;"quasi expedita est";;;;;;;;;;;;;;;"et et est";;;;;;;
variant_group_9;attr_345,attr_387,attr_285;VARIANT;voluptatum;reprehenderit;est;cumque;;;;;;;;;;;;;;;;;"ex beatae rem";"aspernatur quibusdam sequi";;"quidem quo aut";;;;;"ut quo libero";;;;"eos tenetur sunt";;;;;;
variant_group_10;attr_281,attr_309,attr_133;VARIANT;suscipit;quisquam;iure;quia;;;"minima in labore";;;;;;"ipsam rerum quia";;"et qui autem";;;;;;;"eos dolor molestiae";;;;;;;;;;;;"facere commodi iure";;;;;
variant_group_11;attr_42,attr_8,attr_387;VARIANT;laudantium;rem;quaerat;et;;;;;;;;;;;;;;;"aliquid voluptas quo";;"qui quaerat occaecati";;;;;;;"sint sapiente consectetur";;;;;;;"ipsa sapiente unde";"molestiae id architecto";;;
variant_group_12;attr_86,attr_356,attr_81;VARIANT;accusamus;voluptate;nulla;sapiente;;;;;;;"fugiat sed quisquam";;;;"neque ut voluptatem";"officia non magni";;;;;;;;;;;;"nihil omnis aliquam";;;;;;"reprehenderit esse sunt";;;;;
variant_group_13;attr_257,attr_297,attr_133;VARIANT;sapiente;sunt;sunt;molestiae;;;;;;;;;;"distinctio aspernatur non";;;;;;;;;;;;"est aut tempora";;;"repudiandae placeat autem";;;;;"voluptas exercitationem ad";;"qui est quis";;;
variant_group_14;attr_12,attr_236,attr_86;VARIANT;et;iste;recusandae;non;;;;"ut et assumenda";"error veritatis dolore";;;;;;"harum esse dolorum";;;;;;;;;;;"sint eius sequi";;;"iste error qui";;;;;;;;;;
variant_group_15;attr_213,attr_309,attr_81;VARIANT;aliquam;et;ut;numquam;"temporibus tempore vel";;;;;;;;;;;;;;;"dolores voluptate sit";;"eum esse inventore";;;;;;;;;;;"est numquam dicta";;;;"sit voluptatem exercitationem";;
variant_group_16;attr_377,attr_297,attr_387;VARIANT;dolor;reprehenderit;occaecati;non;;;;"iste sunt sed";;;;;;;;;;;"unde voluptates quos";;;;;;;;"id sapiente mollitia";;;;;"unde beatae in";;"et aperiam voluptatem";;;;;
variant_group_17;attr_214,attr_86,attr_387;VARIANT;quis;incidunt;id;ut;;;;;"ut quibusdam vel";;"vel hic saepe";;;;;;;;;;;;;;;;;;;;;;;"neque aut amet";;"qui voluptas sit";"tempora tenetur libero";;
variant_group_18;attr_7,attr_281,attr_309;VARIANT;dolore;et;labore;quos;;;;;;;;;;"itaque qui enim";;;"nobis voluptas nisi";"qui et deleniti";;;;;;"autem quidem corporis";;;;;;;;;;;;;;"et animi voluptatem";
variant_group_19;attr_377,attr_133,attr_55;VARIANT;officia;consequuntur;consequatur;sit;;;;;;;;;;;;;;;;;;;"non est animi";"maiores autem dolorum";;;"consequatur ipsum veniam";;;;;;"nemo ut odit";;;;"non ut voluptas";;
variant_group_20;attr_168,attr_216,attr_42;VARIANT;harum;temporibus;necessitatibus;doloremque;;;;"optio sunt quaerat";;;;;;;"sit deleniti esse";;;;"ab eaque aut";;;;;;;;;;;"molestiae perspiciatis magni";;;;;;;;"quis asperiores enim";
