attribute;code;sort_order;label-en_US
attr_2;attr_opt_attr_20;2;"Perferendis dicta."
attr_2;attr_opt_attr_21;9;"Saepe rerum adipisci."
attr_2;attr_opt_attr_22;7;"Est voluptatem."
attr_2;attr_opt_attr_23;4;"Exercitationem illum beatae."
attr_2;attr_opt_attr_24;4;"Asperiores quas."
attr_2;attr_opt_attr_25;6;"Deserunt possimus."
attr_2;attr_opt_attr_26;4;"Quos nam."
attr_2;attr_opt_attr_27;10;"Aspernatur recusandae dolor."
attr_2;attr_opt_attr_28;7;"Quis voluptatem."
attr_2;attr_opt_attr_29;4;"Aperiam rerum ipsam."
attr_7;attr_opt_attr_70;10;"Voluptatem voluptatum."
attr_7;attr_opt_attr_71;4;"Mollitia sit sunt."
attr_7;attr_opt_attr_72;7;"Qui repudiandae."
attr_7;attr_opt_attr_73;6;"Est exercitationem culpa."
attr_7;attr_opt_attr_74;1;"Eligendi mollitia blanditiis."
attr_7;attr_opt_attr_75;8;"Incidunt quae rerum."
attr_7;attr_opt_attr_76;2;"Numquam quo ad."
attr_7;attr_opt_attr_77;3;"Voluptatum earum illum."
attr_7;attr_opt_attr_78;6;"Eaque voluptate ut."
attr_7;attr_opt_attr_79;7;"Ipsum tempora."
attr_8;attr_opt_attr_80;4;"Eveniet sequi qui."
attr_8;attr_opt_attr_81;5;"Consequatur necessitatibus quo."
attr_8;attr_opt_attr_82;8;"Rerum incidunt."
attr_8;attr_opt_attr_83;7;"Impedit qui."
attr_8;attr_opt_attr_84;4;"Libero officia rerum."
attr_8;attr_opt_attr_85;6;"Reprehenderit qui."
attr_8;attr_opt_attr_86;8;"Voluptas dicta quisquam."
attr_8;attr_opt_attr_87;7;"Libero voluptas ut."
attr_8;attr_opt_attr_88;5;"Rerum quo perferendis."
attr_8;attr_opt_attr_89;6;"Accusamus dolorem."
attr_12;attr_opt_attr_120;1;"Soluta modi."
attr_12;attr_opt_attr_121;10;"Consequatur facilis tempore."
attr_12;attr_opt_attr_122;4;"Est tenetur."
attr_12;attr_opt_attr_123;4;"Omnis voluptatibus earum."
attr_12;attr_opt_attr_124;4;"Perspiciatis quae vero."
attr_12;attr_opt_attr_125;1;"Beatae omnis."
