code;label-fr_FR;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_0;"Sed perferendis.";"Eum recusandae.";name;sku,name,attr_894,attr_641,attr_194,attr_649,attr_87,attr_687,attr_264,attr_311,attr_516,attr_293,attr_817,attr_78,attr_455,attr_994,attr_502,attr_557,attr_170,attr_591,attr_757,attr_321,attr_402,attr_491,attr_664,attr_995,attr_843,attr_100,attr_933,attr_780,attr_631,attr_331,attr_288,attr_318,attr_302,attr_644,attr_35,attr_944,attr_314,attr_979,attr_18,attr_20,attr_475,attr_393,attr_747,attr_598,attr_182,attr_570,attr_668,attr_174,attr_585,attr_912,attr_553,attr_527,attr_772,attr_294,attr_580,attr_24,attr_694,attr_597,attr_454,attr_738,attr_975,attr_232,attr_46,attr_642,attr_130,attr_940,attr_212,attr_713,attr_274,attr_253,attr_474,attr_941,attr_819,attr_574,attr_654,attr_37,attr_409,attr_967,attr_692,attr_60,attr_226,attr_309,attr_653,attr_896,attr_155,attr_451,attr_477,attr_674,attr_810,attr_889,attr_711,attr_716,attr_135,attr_230,attr_424,attr_708,attr_142,attr_392,attr_963;sku,attr_212,attr_454,attr_810,attr_694;sku,attr_641,attr_979,attr_994,attr_819
fam_1;"Voluptas dicta quisquam.";"Error libero voluptas.";name;sku,name,attr_900,attr_441,attr_982,attr_946,attr_711,attr_14,attr_597,attr_375,attr_867,attr_166,attr_23,attr_355,attr_679,attr_221,attr_954,attr_964,attr_367,attr_645,attr_671,attr_321,attr_437,attr_726,attr_955,attr_963,attr_760,attr_980,attr_940,attr_320,attr_545,attr_45,attr_857,attr_79,attr_213,attr_552,attr_512,attr_687,attr_507,attr_324,attr_231,attr_394,attr_392,attr_122,attr_229,attr_574,attr_805,attr_892,attr_469,attr_161,attr_722,attr_303,attr_150,attr_767,attr_193,attr_473,attr_707,attr_257,attr_588,attr_567,attr_40,attr_728,attr_526,attr_478,attr_168,attr_239,attr_584,attr_495,attr_966,attr_803,attr_829,attr_831,attr_325,attr_593,attr_798,attr_37,attr_913,attr_990,attr_619,attr_30,attr_398,attr_541,attr_268,attr_100,attr_638,attr_737,attr_747,attr_968,attr_631,attr_520,attr_608,attr_143,attr_347,attr_538,attr_607,attr_416,attr_648,attr_979,attr_745,attr_276,attr_514;sku,attr_507,attr_473,attr_964,attr_552;sku,attr_552,attr_631,attr_213,attr_392
fam_2;"Ea ut.";"Fugit ab.";name;sku,name,attr_735,attr_445,attr_553,attr_934,attr_564,attr_527,attr_272,attr_718,attr_511,attr_818,attr_879,attr_856,attr_416,attr_542,attr_16,attr_561,attr_863,attr_689,attr_940,attr_969,attr_198,attr_441,attr_177,attr_675,attr_933,attr_235,attr_261,attr_724,attr_753,attr_128,attr_11,attr_508,attr_485,attr_819,attr_898,attr_748,attr_681,attr_216,attr_268,attr_513,attr_4,attr_385,attr_273,attr_647,attr_770,attr_801,attr_795,attr_406,attr_317,attr_998,attr_246,attr_357,attr_308,attr_534,attr_850,attr_484,attr_672,attr_193,attr_57,attr_907,attr_163,attr_293,attr_454,attr_551,attr_43,attr_281,attr_418,attr_34,attr_459,attr_91,attr_318,attr_30,attr_185,attr_873,attr_566,attr_348,attr_221,attr_399,attr_955,attr_892,attr_605,attr_946,attr_110,attr_174,attr_563,attr_328,attr_636,attr_659,attr_645,attr_997,attr_143,attr_954,attr_51,attr_3,attr_247,attr_405,attr_794,attr_635,attr_376;sku,attr_445,attr_484,sku,attr_551;sku,attr_418,attr_561,attr_675,attr_4
fam_3;"Repellendus accusamus explicabo.";"Dolorem eum.";name;sku,name,attr_873,attr_765,attr_266,attr_58,attr_741,attr_943,attr_217,attr_837,attr_8,attr_973,attr_397,attr_685,attr_889,attr_74,attr_345,attr_373,attr_852,attr_611,attr_408,attr_562,attr_589,attr_318,attr_191,attr_196,attr_784,attr_881,attr_391,attr_745,attr_342,attr_48,attr_516,attr_25,attr_209,attr_426,attr_344,attr_452,attr_740,attr_34,attr_633,attr_300,attr_350,attr_491,attr_213,attr_617,attr_475,attr_423,attr_673,attr_424,attr_537,attr_326,attr_540,attr_545,attr_247,attr_742,attr_162,attr_780,attr_252,attr_430,attr_218,attr_137,attr_222,attr_934,attr_443,attr_396,attr_681,attr_978,attr_133,attr_496,attr_201,attr_660,attr_415,attr_684,attr_284,attr_593,attr_859,attr_208,attr_786,attr_510,attr_319,attr_686,attr_285,attr_242,attr_866,attr_366,attr_456,attr_849,attr_100,attr_145,attr_827,attr_796,attr_259,attr_71,attr_383,attr_688,attr_502,attr_478,attr_269,attr_69,attr_790;sku,attr_589,attr_934,attr_342,attr_408;sku,attr_873,attr_426,attr_269,attr_266
fam_4;"Minus omnis.";"Fugit eligendi laudantium.";name;sku,name,attr_637,attr_851,attr_315,attr_100,attr_481,attr_104,attr_888,attr_594,attr_598,attr_281,attr_197,attr_91,attr_765,attr_770,attr_820,attr_989,attr_219,attr_113,attr_591,attr_158,attr_705,attr_825,attr_340,attr_695,attr_847,attr_684,attr_468,attr_270,attr_563,attr_843,attr_686,attr_209,attr_23,attr_374,attr_612,attr_319,attr_111,attr_300,attr_56,attr_581,attr_275,attr_402,attr_470,attr_644,attr_305,attr_46,attr_877,attr_328,attr_676,attr_962,attr_359,attr_75,attr_383,attr_391,attr_404,attr_952,attr_68,attr_583,attr_27,attr_303,attr_96,attr_442,attr_823,attr_81,attr_109,attr_662,attr_477,attr_922,attr_816,attr_465,attr_345,attr_970,attr_901,attr_986,attr_664,attr_413,attr_369,attr_629,attr_321,attr_223,attr_708,attr_955,attr_542,attr_447,attr_500,attr_438,attr_475,attr_384,attr_8,attr_332,attr_718,attr_435,attr_948,attr_188,attr_167,attr_106,attr_554,attr_903,attr_212;sku,attr_542,attr_158,attr_209,attr_686;sku,attr_413,attr_113,attr_952,attr_391
fam_5;"Velit sed cupiditate.";"Et quis occaecati.";name;sku,name,attr_282,attr_335,attr_343,attr_392,attr_369,attr_913,attr_661,attr_623,attr_791,attr_252,attr_373,attr_634,attr_612,attr_611,attr_202,attr_489,attr_401,attr_952,attr_640,attr_447,attr_605,attr_720,attr_931,attr_443,attr_39,attr_41,attr_455,attr_432,attr_404,attr_883,attr_65,attr_765,attr_816,attr_960,attr_505,attr_653,attr_400,attr_336,attr_553,attr_537,attr_514,attr_424,attr_963,attr_808,attr_209,attr_828,attr_245,attr_866,attr_318,attr_368,attr_632,attr_156,attr_621,attr_769,attr_892,attr_464,attr_811,attr_920,attr_867,attr_91,attr_698,attr_406,attr_593,attr_3,attr_274,attr_557,attr_830,attr_825,attr_768,attr_649,attr_719,attr_863,attr_79,attr_169,attr_923,attr_935,attr_271,attr_771,attr_689,attr_266,attr_347,attr_544,attr_143,attr_185,attr_797,attr_4,attr_358,attr_520,attr_701,attr_676,attr_709,attr_517,attr_529,attr_510,attr_51,attr_170,attr_295,attr_662,attr_435;sku,attr_923,attr_185,attr_866,attr_335;sku,attr_866,sku,attr_274,attr_634
fam_6;"Enim vel voluptatum.";"Ut explicabo.";name;sku,name,attr_294,attr_428,attr_792,attr_326,attr_810,attr_317,attr_236,attr_379,attr_972,attr_43,attr_594,attr_316,attr_292,attr_691,attr_689,attr_419,attr_234,attr_493,attr_536,attr_110,attr_168,attr_7,attr_161,attr_18,attr_898,attr_267,attr_876,attr_611,attr_587,attr_159,attr_761,attr_740,attr_550,attr_372,attr_687,attr_579,attr_341,attr_672,attr_202,attr_164,attr_573,attr_890,attr_74,attr_922,attr_519,attr_377,attr_592,attr_175,attr_923,attr_347,attr_718,attr_729,attr_192,attr_250,attr_668,attr_21,attr_48,attr_907,attr_625,attr_777,attr_932,attr_771,attr_751,attr_120,attr_1,attr_485,attr_287,attr_824,attr_391,attr_537,attr_138,attr_348,attr_781,attr_570,attr_269,attr_86,attr_189,attr_427,attr_155,attr_472,attr_678,attr_682,attr_444,attr_331,attr_402,attr_51,attr_349,attr_697,attr_467,attr_653,attr_826,attr_187,attr_139,attr_873,attr_473,attr_884,attr_976,attr_769,attr_702;sku,attr_691,attr_884,attr_161,attr_672;sku,attr_317,attr_570,attr_7,attr_391
fam_7;"Fuga omnis.";"Aliquam sunt qui.";name;sku,name,attr_605,attr_40,attr_503,attr_541,attr_93,attr_44,attr_613,attr_200,attr_922,attr_554,attr_410,attr_566,attr_606,attr_222,attr_962,attr_555,attr_744,attr_584,attr_117,attr_937,attr_199,attr_106,attr_661,attr_884,attr_488,attr_31,attr_231,attr_551,attr_361,attr_223,attr_517,attr_108,attr_335,attr_741,attr_56,attr_787,attr_481,attr_256,attr_975,attr_901,attr_882,attr_0,attr_344,attr_750,attr_345,attr_248,attr_834,attr_285,attr_659,attr_252,attr_219,attr_3,attr_757,attr_20,attr_48,attr_161,attr_197,attr_443,attr_919,attr_640,attr_819,attr_795,attr_76,attr_788,attr_869,attr_956,attr_462,attr_725,attr_194,attr_942,attr_326,attr_459,attr_30,attr_527,attr_129,attr_711,attr_641,attr_105,attr_944,attr_183,attr_762,attr_770,attr_236,attr_973,attr_611,attr_690,attr_427,attr_833,attr_341,attr_150,attr_43,attr_995,attr_302,attr_994,attr_394,attr_473,attr_509,attr_60,attr_993;sku,attr_43,attr_788,attr_884,attr_106;sku,attr_219,attr_527,attr_105,attr_473
fam_8;"Est aut.";"Minima et odio.";name;sku,name,attr_878,attr_913,attr_510,attr_659,attr_32,attr_282,attr_403,attr_833,attr_907,attr_751,attr_970,attr_853,attr_619,attr_41,attr_64,attr_450,attr_741,attr_414,attr_806,attr_683,attr_774,attr_491,attr_989,attr_262,attr_574,attr_106,attr_896,attr_710,attr_43,attr_686,attr_579,attr_982,attr_762,attr_442,attr_497,attr_671,attr_607,attr_79,attr_950,attr_405,attr_617,attr_213,attr_625,attr_241,attr_692,attr_943,attr_431,attr_595,attr_113,attr_506,attr_432,attr_473,attr_750,attr_480,attr_875,attr_117,attr_385,attr_604,attr_295,attr_891,attr_123,attr_192,attr_245,attr_426,attr_3,attr_827,attr_179,attr_44,attr_57,attr_621,attr_267,attr_351,attr_449,attr_335,attr_740,attr_493,attr_756,attr_898,attr_679,attr_110,attr_134,attr_433,attr_297,attr_909,attr_808,attr_864,attr_942,attr_747,attr_260,attr_533,attr_489,attr_198,attr_718,attr_792,attr_551,attr_72,attr_508,attr_708,attr_929;sku,attr_621,attr_683,attr_267,attr_192;sku,attr_213,attr_198,attr_708,attr_351
fam_9;"Occaecati ut.";"Facilis cupiditate.";name;sku,name,attr_156,attr_693,attr_150,attr_989,attr_406,attr_41,attr_149,attr_553,attr_85,attr_949,attr_77,attr_347,attr_713,attr_433,attr_66,attr_181,attr_888,attr_286,attr_370,attr_419,attr_975,attr_340,attr_375,attr_569,attr_576,attr_392,attr_654,attr_356,attr_964,attr_365,attr_420,attr_525,attr_837,attr_202,attr_907,attr_512,attr_811,attr_959,attr_979,attr_556,attr_376,attr_249,attr_781,attr_972,attr_402,attr_668,attr_429,attr_682,attr_13,attr_506,attr_817,attr_973,attr_123,attr_121,attr_285,attr_567,attr_643,attr_859,attr_545,attr_637,attr_315,attr_46,attr_909,attr_689,attr_7,attr_848,attr_665,attr_925,attr_314,attr_45,attr_493,attr_215,attr_657,attr_688,attr_840,attr_171,attr_880,attr_845,attr_703,attr_321,attr_924,attr_412,attr_28,attr_327,attr_768,attr_557,attr_204,attr_500,attr_432,attr_243,attr_442,attr_357,attr_225,attr_634,attr_620,attr_459,attr_595,attr_330,attr_238;sku,attr_506,attr_365,attr_327,attr_419;sku,attr_412,attr_13,attr_964,attr_703
