code;axis;type;label-fr_FR;label-en_US;attr_183;attr_831;attr_222;attr_298;attr_825;attr_238;attr_259;attr_794;attr_592;attr_784;attr_966;attr_332;attr_0;attr_847;attr_392;attr_411;attr_228;attr_880;attr_374;attr_597;name;attr_163;attr_99;attr_330;attr_865;attr_320;attr_905;attr_836;attr_311;attr_819;attr_383;attr_3;attr_700;attr_668;attr_444;attr_682;attr_529;attr_996;attr_142;attr_601;attr_851;attr_887;attr_292;attr_340;attr_608;attr_779;attr_58;attr_29;attr_632;attr_478;attr_317;attr_720;attr_513;attr_609;attr_757;attr_161;attr_594;attr_177;attr_425;attr_391;attr_66;attr_837;attr_352;attr_673;attr_925;attr_807;attr_234;attr_331;attr_22;attr_634;attr_726;attr_943;attr_589;attr_770;attr_620;attr_318;attr_766;attr_868;attr_61;attr_89;attr_375
variant_group_0;attr_95,attr_57,attr_7;VARIANT;asperiores;quas;"sed perferendis dicta";"recusandae saepe rerum";"est dicta est";"enim sint exercitationem";"beatae enim blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_140,attr_581,attr_305;VARIANT;qui;id;"repellendus omnis ut";;;;;"et ea laborum";"sed voluptatem accusantium";"est repudiandae quia";"dolor consequuntur possimus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_2;attr_95,attr_296,attr_570;VARIANT;praesentium;eligendi;"qui harum in";;;;;;;;;"ex dolorem qui";"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_3;attr_170,attr_786,attr_244;VARIANT;temporibus;saepe;;;;"saepe nisi a";;"possimus ipsa aut";;"iste at aut";;;;;;"voluptatibus asperiores repellendus";"voluptatum quidem quia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_4;attr_334,attr_57,attr_325;VARIANT;cum;quis;;;;;;;;;"at beatae rerum";;;;;;;"fugit et dolorum";"numquam aut nemo";"animi molestiae aut";"et numquam veritatis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_5;attr_464,attr_325,attr_12;VARIANT;porro;esse;;;;;;;;;;;;;;;;;;;;"molestiae quae totam";"nostrum culpa et";"natus aut quaerat";"ea autem eos";"exercitationem mollitia qui";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_6;attr_786,attr_7,attr_533;VARIANT;dolores;vitae;;;;;;;;;"et asperiores corrupti";;;;;;;;;;;;;;;;"voluptatem qui adipisci";"accusamus dolor inventore";"facere nihil asperiores";"ad cumque sequi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_7;attr_181,attr_612,attr_65;VARIANT;voluptate;ut;;;;;;;;;;;;;;;;;;;"vel facilis iusto";;;;;;;;;;"nihil consequuntur est";"omnis omnis rerum";"enim autem cupiditate";"quia voluptatem perspiciatis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_8;attr_591,attr_37,attr_394;VARIANT;soluta;ut;;;;;;;;;"qui ea autem";"ducimus eos deleniti";;;;;;;;;;;"quasi expedita est";;;;;;;;;;;;"et et est";"dolor error enim";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_9;attr_734,attr_971,attr_642;VARIANT;voluptatum;reprehenderit;;;;;;;;;;;;;;;;;;"ex beatae rem";"aspernatur quibusdam sequi";;;"quidem quo aut";;;;;;;;"ut quo libero";;;;;"eos tenetur sunt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_10;attr_582,attr_657,attr_246;VARIANT;suscipit;quisquam;;;;;;;;;;;;;;;;;;;"eos dolor molestiae";;;;;;;;;;;;;;;"minima in labore";;"facere commodi iure";"ipsam rerum quia";"et qui autem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_11;attr_65,attr_12,attr_963;VARIANT;laudantium;rem;;;;;;;;;;;;;;;;;;;;;;;;;;;"sint sapiente consectetur";;;;;;;;;;;;"ipsa sapiente unde";"molestiae id architecto";"aliquid voluptas quo";"qui quaerat occaecati";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_12;attr_166,attr_747,attr_125;VARIANT;accusamus;voluptate;;;;;;;;;;;"neque ut voluptatem";;;;;;;;;;;;;;;;"nihil omnis aliquam";;;;;;;;;"reprehenderit esse sunt";;;;;;;"fugiat sed quisquam";"officia non magni";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_13;attr_533,attr_644,attr_255;VARIANT;autem;sapiente;;;;;;;;;;;;;;;;;;;;;;;;"est aut tempora";;;;;;;;;"voluptas exercitationem ad";;;"consequatur repudiandae placeat";;;;;;;;;"qui est quis";"distinctio aspernatur non";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_14;attr_37,attr_506,attr_26;VARIANT;qui;et;;;;;;;;;;"qui iste error";;;;;;;;;;;;;;"sint eius sequi";;;;;;;;;;;;;;;;;;;;;;;"error veritatis dolore";"voluptatibus harum esse";"corporis ut et";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_15;attr_370,attr_684,attr_131;VARIANT;aliquam;et;;;"temporibus tempore vel";;;;;;;;;;;;"dolores voluptate sit";;;;"eum esse inventore";;;;;;;;;;;;;;;;;;"sit voluptatem exercitationem";;;;;;;;;;;;;"est numquam dicta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_16;attr_786,attr_650,attr_971;VARIANT;dolor;reprehenderit;;;;;;;;;;;;;;"unde voluptates quos";;;;;;;;;;;"id sapiente mollitia";;;;;;;;;;;"et aperiam voluptatem";;;;;;;;;;;;;;;"iste sunt sed";"unde beatae in";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_17;attr_417,attr_140,attr_963;VARIANT;quis;incidunt;;;;;;"vel hic saepe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"neque aut amet";;;;;;;;;;;;"ut quibusdam vel";;;;;"tempora tenetur libero";"qui voluptas sit";;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_18;attr_7,attr_591,attr_674;VARIANT;dolore;et;;;;"qui et deleniti";;;;;;;;;"nobis voluptas nisi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"itaque qui enim";;;;;;;;;"et animi voluptatem";"autem quidem corporis";;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_19;attr_786,attr_255,attr_93;VARIANT;officia;consequuntur;;;;;;;;;;;;;;;;;;;;;;;;;"consequatur ipsum veniam";;;;;;;;;;;;;;;;;;;;;;;;;"non ut voluptas";;;;;;;"non est animi";"maiores autem dolorum";"nemo ut odit";;;;;;;;;;;;;;;;;;;;;;
variant_group_20;attr_315,attr_460,attr_65;VARIANT;harum;temporibus;;;;;;;;;;;;;;"ab eaque aut";;;;;;;;;;;;;;;;;"molestiae perspiciatis magni";;;;;;;;;;;;;;;;;;;;"optio sunt quaerat";;;;"quis asperiores enim";;;;;"voluptatibus sit deleniti";;;;;;;;;;;;;;;;;;;;;
variant_group_21;attr_54,attr_644,attr_57;VARIANT;reiciendis;qui;;;;;;;;;;;;;;;;;;;"eum veniam ad";;;;;;;;;;;;;;;;;;;;;"in modi repudiandae";;;;;;;;;;;;;;;;"soluta rerum aut";;;;"non totam excepturi";"est aut nulla";;;;;;;;;;;;;;;;;;;;
variant_group_22;attr_769,attr_582,attr_255;VARIANT;dignissimos;iure;"ab voluptatem soluta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"ipsum magni mollitia";;;;;;;;;;;;;;;;;;;;;;;"est et sit";;"dolore officiis aut";;;;"libero quis consequatur";;;;;;;;;;;;;;;;;;;
variant_group_23;attr_65,attr_8,attr_860;VARIANT;accusantium;animi;;;;;;;;;;;;;;;;;;;;;;;"doloremque molestiae cumque";;;;;;;;;;;"sed culpa dolorum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"sed odio aut";"necessitatibus rem eos";"culpa aut non";;;;;;;;;;;;;;;;
variant_group_24;attr_57,attr_570,attr_208;VARIANT;voluptas;asperiores;;;"quo qui quae";;"qui rerum aut";;"cupiditate facere ut";;;;;;;;;;;;;;;;"harum corporis vitae";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"voluptatibus quibusdam et";;;;;;;;;;;;;;;;;;;
variant_group_25;attr_144,attr_52,attr_215;VARIANT;veritatis;et;;;;;;;"dicta voluptas voluptatem";;;;;;;;;"reiciendis earum qui";;;;;;;;;;;;;;;;;;"neque ad blanditiis";;;;;;;;;;;;;"deleniti sunt qui";;;;;;;;;;;;;;;;;;"distinctio sint voluptatem";;;;;;;;;;;;;;;;
variant_group_26;attr_694,attr_938,attr_170;VARIANT;qui;maiores;;;;;;;;;"magni voluptatibus deserunt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"possimus quos possimus";;;;;;;;;;;;;;;;;;;;;;;;;;"perspiciatis est cupiditate";"rerum voluptatem quo";"unde occaecati quod";;;;;;;;;;;;;;
variant_group_27;attr_181,attr_583,attr_325;VARIANT;delectus;doloribus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"soluta iusto repudiandae";;;;;;;;;;;;;;;;;"eum expedita placeat";;;"dolore facilis facere";;;;;;;;;;"repudiandae esse aut";;;;;;;"quo illum numquam";;;;;;;;;;;;;;;
variant_group_28;attr_95,attr_56,attr_215;VARIANT;animi;qui;"aut voluptatem sit";;;;;;;"id reprehenderit et";;;;;;;;;;;;;;;;;;;;;"tempore soluta qui";"hic eaque assumenda";;;;;;;;;;;;;;;;;;;;;;;;;;;;"non et explicabo";;;;;;;;;;;;;;;;;;;;;;;
variant_group_29;attr_674,attr_131,attr_334;VARIANT;vel;cum;;;;;;;;;;"numquam laudantium quo";;;;;;"voluptatum reiciendis ipsum";;;;;;;;;;;;"asperiores impedit voluptatem";;;;;;;;;;;;;;;;;;;;;"enim voluptas nisi";;;;;;;"dolor vel voluptatem";;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_30;attr_860,attr_87,attr_747;VARIANT;harum;expedita;;;;;;;;;;;;;;;;;;"sequi fugiat occaecati";;;;;;;;;;;;;;;;;;;;;"repellat excepturi aperiam";;;;;;;;;;;;;;;"sit ducimus aut";;;;"sit vitae eos";;;;;;;;;;"minus porro assumenda";;;;;;;;;;;;;
variant_group_31;attr_747,attr_734,attr_2;VARIANT;ut;nihil;;"consequatur aut ducimus";;;;;;;;;;"consectetur sint possimus";;;;;;;;;;;;"harum neque molestiae";;;;;;;;;;;;;;;;;;;;;;;;;"consectetur sapiente veniam";;;;;;;;;;;;;;;;;;;;"culpa facilis dolorem";;;;;;;;;;;;
variant_group_32;attr_570,attr_208,attr_93;VARIANT;placeat;aliquam;;;;;;"voluptatibus et temporibus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"non ea sit";;;;;;;;;;;;"ullam dolorem sit";"qui recusandae asperiores";"dolorem ducimus officiis";;;;;;;;;
variant_group_33;attr_684,attr_460,attr_125;VARIANT;pariatur;hic;;;;;;"doloremque velit deserunt";"similique aperiam reprehenderit";;"quas minima sed";"perspiciatis sed omnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"et dolore dolores";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_34;attr_95,attr_657,attr_93;VARIANT;excepturi;ad;"facere nesciunt harum";;;;;;"cupiditate culpa totam";;;;;;;;;;;;;;;"eum quidem voluptatem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"quia voluptatibus optio";;;;;;;;;;;;;;;;;;"et porro eos";;;;;;;;;;;
variant_group_35;attr_12,attr_583,attr_572;VARIANT;eligendi;illum;;;;;"sequi adipisci nihil";;;;;;;;"ducimus dolorem sed";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"est eligendi impedit";;;;;;;;;;;;;;;;;;;;;;;;;"omnis temporibus eaque";"cum quidem non";;;;;;;;;;;;
variant_group_36;attr_97,attr_734,attr_773;VARIANT;esse;et;;;"illum debitis voluptatem";"adipisci est molestias";;;;;;;;;"ut recusandae eligendi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"distinctio excepturi cupiditate";;;;;;;;;;;;;;;;;;;;;;;;;;"non blanditiis assumenda";;;;;;;;
variant_group_37;attr_650,attr_735,attr_797;VARIANT;incidunt;omnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"qui est dolor";;;;;"sint vitae iusto";;"ea modi ea";;;;;;;;;;;;;;;;;;;"fugiat ut consequatur";;;;;;"dolorem voluptates omnis";;;;;;;
variant_group_38;attr_981,attr_296,attr_8;VARIANT;consequatur;labore;;;;;;;;;;;"ea aperiam laborum";;;;;;;"nemo eaque ab";;;;;;;;;;;"autem error distinctio";;;;"consequuntur saepe nemo";;;;;;;;;;;;;;;;"non quibusdam ipsa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_39;attr_274,attr_644,attr_749;VARIANT;corporis;repudiandae;;;;;;;;;;;;;;;;;;;"qui pariatur praesentium";;;;;;;;;;;;;;;;;"ut aliquam nemo";;"at neque veritatis";;;;;;"officia fugit quasi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"quisquam eos sit";;;;;;
variant_group_40;attr_240,attr_65,attr_37;VARIANT;placeat;necessitatibus;;;;;;;;;;;;;;;;;;"eos aspernatur esse";;;;;;"magni et officiis";;;;;;;;;;;;;;;;;;;;;;;;;"illo omnis minus";;;;;;;;;;;;;;;"vero vel est";;;;;;;;;;"illo architecto doloremque";;;;;;;
variant_group_41;attr_8,attr_7,attr_296;VARIANT;earum;ipsa;;;;;"fugit et et";;;;;"pariatur deleniti fugiat";;;;;;;;;;;;;;;;;;;;;;"sit accusantium qui";;;;;;;;"reprehenderit ipsam est";;;;;;;;;;;;"sint recusandae voluptates";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_42;attr_12,attr_735,attr_981;VARIANT;in;ullam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"doloribus nostrum est";;;;;;;;;"quo et quos";;;;;"at quos tempora";;;;;;;;;;;;;;"maxime illum omnis";;;;;;;;;;"illum reiciendis accusantium";;;;;;;;;;;;
variant_group_43;attr_37,attr_305,attr_431;VARIANT;veniam;aperiam;"similique quaerat sunt";;;;;;;;"consequatur facere ullam";;;;;;;"numquam et eos";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"velit cupiditate deserunt";;;;;;;;;;"adipisci sunt nostrum";;;;;;;;;;;;;;;;;;;;;;;;
variant_group_44;attr_8,attr_26,attr_215;VARIANT;quisquam;tempore;;;;;;;;;;;;;;;;;;;"quia reiciendis nesciunt";;;;;;;;;;;;;"veritatis voluptatem similique";;;;"ex qui quis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"exercitationem eum earum";;;;;;"cum aperiam voluptatem";;;;;
variant_group_45;attr_581,attr_533,attr_7;VARIANT;explicabo;assumenda;;;;;;;;;;;;;;"rerum aut fuga";;;;;;;;;;;;;;;;;;"asperiores dolorem et";;"officia sit similique";;;;;;;;;;"quidem perferendis corporis";;;;;;;;;;;;;;;;;;;"suscipit saepe perspiciatis";;;;;;;;;;;;;;;;;;
variant_group_46;attr_938,attr_37,attr_747;VARIANT;nisi;qui;;;;;;;;;;;;;;;;;;;"ducimus quam ex";;;;;;;"quia ipsa in";"et fugiat voluptas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"perspiciatis distinctio ullam";;;;;;;;;;;"et autem dicta";;;;;;
variant_group_47;attr_208,attr_963,attr_95;VARIANT;voluptates;aut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"distinctio numquam voluptatem";;;;;;;;;;;;;;;;;;;"aut odio eaque";;"tenetur quia vel";;;;;;;;;;;;"ratione est cumque";;;;;;;"autem aut magni";;;;;;;;;;;
variant_group_48;attr_328,attr_95,attr_246;VARIANT;et;quis;;;;;;;"vel voluptates vel";;;;;;;;"quia ex veritatis";;;;;;;;;;;;;;;;;;;;;"quo omnis accusamus";"delectus facilis est";;;;;;;;;;;;;;;;;;;;;"ea tenetur facere";;;;;;;;;;;;;;;;;;;;;;;
variant_group_49;attr_328,attr_394,attr_65;VARIANT;et;vel;;;;;;;;"sint et expedita";;;;;;;"dolores consequuntur quidem";;;;"eligendi et dolor";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"cum beatae eligendi";;;;;;;;;;;;;;;;;"est accusantium dolorem";;;;
variant_group_50;attr_650,attr_200,attr_166;VARIANT;rem;et;;;;;;;;;;;;;;;;;;"laborum voluptatem aliquid";;;;"pariatur est et";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"voluptate odio reprehenderit";;;;;;"qui ipsum aut";;;;;;"quis magnam est";;;;;;;
variant_group_51;attr_460,attr_181,attr_52;VARIANT;harum;ea;;;;;;;;;"enim architecto autem";;;;;;;;;;;;;;;;"accusantium neque quibusdam";"vel rerum deleniti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"consequatur error veritatis";;"numquam officiis delectus";;;;;;;;;;;;;;;
variant_group_52;attr_144,attr_200,attr_274;VARIANT;voluptatem;necessitatibus;;;;;;;"nostrum vel repudiandae";"natus voluptatum assumenda";;;;;;;;;;"sed dolor facilis";;;;;"possimus autem aut";;;;;;;;"amet facere et";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_53;attr_551,attr_612,attr_215;VARIANT;perferendis;adipisci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"eum quisquam quidem";;;"ut qui ducimus";;;;;;;;;;;"nihil quia quisquam";;;;;;;;;;;;;;;;"modi quo quod";;;;;;;;"sed quos aperiam";;;
