category;view_items;edit_items;own_items
master;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_0_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_1_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_2_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_3_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_4_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_4;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_5;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_7;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_8;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_9;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_10;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_5_11;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_6;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_6_0;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_6_1;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_6_2;"IT support,Manager";"IT support,Manager";"IT support,Manager"
master_0_6_3;"IT support,Manager";"IT support,Manager";"IT support,Manager"
