code;axis;type;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;attr_61;attr_340;attr_317;attr_161;attr_3;attr_89;attr_259;attr_332;attr_318;attr_29;attr_331;attr_392;attr_163;name;attr_99;attr_374;attr_222;attr_228;attr_66;attr_375;attr_177;attr_292;attr_58;attr_391;attr_352;attr_0;attr_183;attr_234;attr_238;attr_383;attr_298;attr_142;attr_320;attr_330;attr_22;attr_311
variant_group_0;attr_54,attr_26,attr_2;VARIANT;quas;iste;ipsum;deserunt;possimus;"sed perferendis dicta";"recusandae saepe rerum";"dicta est voluptatem";"sint exercitationem illum";"enim blanditiis asperiores";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_81,attr_244,attr_131;VARIANT;in;perferendis;autem;sapiente;enim;;;;;;"et ea laborum";"voluptatem accusantium sit";"omnis ut temporibus";"repudiandae quia sed";"possimus qui id";;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_2;attr_54,attr_131,attr_215;VARIANT;praesentium;eligendi;quasi;aliquid;in;"qui harum in";;;;;;;;;;"ex dolorem qui";"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;;;;;;;;;;;;;;;;;;
variant_group_3;attr_87,attr_334,attr_97;VARIANT;temporibus;saepe;esse;culpa;praesentium;;;;;;"possimus ipsa aut";;"iste at aut";;;;;;;"saepe nisi a";"voluptatibus asperiores repellendus";"voluptatum quidem quia";;;;;;;;;;;;;;;;;;;
variant_group_4;attr_144,attr_26,attr_140;VARIANT;cum;quis;odio;iusto;corporis;;;;;;;"at beatae rerum";;;;;;;;;;;"fugit et dolorum";"numquam aut nemo";"animi molestiae aut";"et numquam veritatis";;;;;;;;;;;;;;;
variant_group_5;attr_200,attr_140,attr_7;VARIANT;porro;esse;est;maxime;ex;;;;"exercitationem mollitia qui";;;;;;"ea autem eos";;;;"nostrum culpa et";;;;;;;;"molestiae quae totam";"natus aut quaerat";;;;;;;;;;;;;
variant_group_6;attr_334,attr_2,attr_208;VARIANT;dolores;vitae;rerum;velit;exercitationem;;;;"accusamus dolor inventore";;;"et asperiores corrupti";;;;;;;;;;;;;"voluptatem qui adipisci";;;;"facere nihil asperiores";"ad cumque sequi";;;;;;;;;;;
variant_group_7;attr_93,attr_255,attr_26;VARIANT;voluptate;ut;qui;minima;consequatur;;;;;;;;"omnis omnis rerum";;;;;;;"nihil consequuntur est";;"enim autem cupiditate";;;;;;;;;"quia voluptatem perspiciatis";"vel facilis iusto";;;;;;;;;
variant_group_8;attr_246,attr_8,attr_170;VARIANT;soluta;ut;aut;placeat;omnis;;;"dolor error enim";;;;"qui ea autem";;"et et est";;"ducimus eos deleniti";;;"quasi expedita est";;;;;;;;;;;;;;;;;;;;;;
variant_group_9;attr_315,attr_370,attr_255;VARIANT;voluptatum;reprehenderit;est;cumque;numquam;;"ut quo libero";;;;;;;;;;;;;;;;;;"ex beatae rem";;;"quidem quo aut";;;;"aspernatur quibusdam sequi";"eos tenetur sunt";;;;;;;;
