code;type;group;useable_as_grid_filter;label-en_US;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_1;1;"identifier dignissimos qui";;;;;
name;pim_catalog_text;attr_gr_0;0;"text nobis vitae";;;;;
attr_0;pim_catalog_text;attr_gr_6;0;"text distinctio voluptatum";0;0;;;
attr_1;pim_catalog_file;attr_gr_1;0;"file illum laudantium";1;0;png,jpg;;
attr_2;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect ut ut";0;0;;;
attr_3;pim_catalog_text;attr_gr_2;0;"text nam velit";0;0;;;
attr_4;pim_catalog_number;attr_gr_7;0;"number et quia";0;0;;;
attr_5;pim_catalog_date;attr_gr_6;0;"date impedit tenetur";0;0;;;
attr_6;pim_catalog_file;attr_gr_7;0;"file ducimus et";0;0;pdf,jpg;;
attr_7;pim_catalog_simpleselect;attr_gr_2;1;"simpleselect voluptatum eum";0;0;;;
attr_8;pim_catalog_simpleselect;attr_gr_2;0;"simpleselect sit nobis";1;0;;;
attr_9;pim_catalog_simpleselect;attr_gr_7;0;"simpleselect iusto hic";1;1;;;
attr_10;pim_catalog_boolean;attr_gr_3;0;"boolean dolorem odit";0;0;;;
attr_11;pim_catalog_date;attr_gr_5;0;"date et non";0;0;;;
attr_12;pim_catalog_date;attr_gr_4;0;"date modi ea";0;0;;;
attr_13;pim_catalog_date;attr_gr_5;0;"date est velit";0;0;;;
attr_14;pim_catalog_multiselect;attr_gr_0;0;"multiselect qui quas";0;0;;;
attr_15;pim_catalog_multiselect;attr_gr_5;0;"multiselect sed cupiditate";0;0;;;
attr_16;pim_catalog_boolean;attr_gr_7;0;"boolean et quis";0;0;;;
attr_17;pim_catalog_number;attr_gr_7;0;"number veniam suscipit";1;0;;;
attr_18;pim_catalog_multiselect;attr_gr_2;0;"multiselect reprehenderit consequatur";0;0;;;
attr_19;pim_catalog_number;attr_gr_3;0;"number distinctio fuga";0;0;;;
attr_20;pim_catalog_image;attr_gr_5;0;"image magnam autem";0;0;jpg,pdf;;
attr_21;pim_catalog_textarea;attr_gr_3;0;"textarea laborum laborum";0;0;;;
attr_22;pim_catalog_date;attr_gr_0;0;"date corrupti ea";0;0;;;
attr_23;pim_catalog_text;attr_gr_5;0;"text rerum ducimus";0;0;;;
attr_24;pim_catalog_image;attr_gr_4;0;"image quisquam non";0;0;jpg,pdf;;
attr_25;pim_catalog_image;attr_gr_0;0;"image eaque ipsa";0;0;png,jpg;;
attr_26;pim_catalog_image;attr_gr_1;0;"image et ea";0;0;jpg,pdf;;
attr_27;pim_catalog_simpleselect;attr_gr_3;0;"simpleselect et voluptas";0;0;;;
attr_28;pim_catalog_metric;attr_gr_7;0;"metric sapiente quas";0;0;;Length;METER
attr_29;pim_catalog_date;attr_gr_0;0;"date in suscipit";1;0;;;
attr_30;pim_catalog_text;attr_gr_4;0;"text sed sint";0;0;;;
attr_31;pim_catalog_simpleselect;attr_gr_1;0;"simpleselect delectus consequatur";0;0;;;
attr_32;pim_catalog_multiselect;attr_gr_4;0;"multiselect eum dolore";0;0;;;
attr_33;pim_catalog_textarea;attr_gr_5;0;"textarea voluptatem consequatur";0;0;;;
attr_34;pim_catalog_textarea;attr_gr_3;0;"textarea sequi dolorum";0;0;;;
attr_35;pim_catalog_date;attr_gr_0;0;"date saepe laudantium";0;0;;;
attr_36;pim_catalog_textarea;attr_gr_1;1;"textarea et accusamus";0;0;;;
attr_37;pim_catalog_simpleselect;attr_gr_4;0;"simpleselect optio voluptate";1;0;;;
attr_38;pim_catalog_file;attr_gr_0;0;"file alias ad";0;0;png,jpg;;
attr_39;pim_catalog_metric;attr_gr_5;0;"metric eum dolorem";0;0;;Length;METER
attr_40;pim_catalog_file;attr_gr_1;0;"file est quisquam";0;0;jpg,pdf;;
attr_41;pim_catalog_metric;attr_gr_2;0;"metric beatae ipsum";0;0;;Length;METER
attr_42;pim_catalog_date;attr_gr_1;0;"date itaque enim";0;0;;;
attr_43;pim_catalog_price_collection;attr_gr_3;0;"price_collection est ut";0;0;;;
attr_44;pim_catalog_multiselect;attr_gr_0;0;"multiselect perspiciatis qui";0;0;;;
attr_45;pim_catalog_date;attr_gr_7;0;"date quibusdam consequatur";0;0;;;
attr_46;pim_catalog_image;attr_gr_4;0;"image occaecati cumque";0;0;jpg,png;;
attr_47;pim_catalog_date;attr_gr_6;0;"date impedit sint";0;0;;;
attr_48;pim_catalog_textarea;attr_gr_3;0;"textarea excepturi ab";0;0;;;
attr_49;pim_catalog_multiselect;attr_gr_2;0;"multiselect exercitationem nam";0;0;;;
attr_50;pim_catalog_boolean;attr_gr_3;0;"boolean iusto est";0;0;;;
attr_51;pim_catalog_image;attr_gr_5;0;"image totam eaque";0;0;png,jpg;;
attr_52;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect consequatur libero";0;0;;;
attr_53;pim_catalog_number;attr_gr_2;0;"number id enim";0;0;;;
attr_54;pim_catalog_simpleselect;attr_gr_4;0;"simpleselect voluptatum aliquam";0;0;;;
attr_55;pim_catalog_textarea;attr_gr_0;0;"textarea explicabo exercitationem";0;0;;;
attr_56;pim_catalog_simpleselect;attr_gr_3;0;"simpleselect autem voluptas";1;0;;;
attr_57;pim_catalog_simpleselect;attr_gr_7;0;"simpleselect voluptatem ut";1;0;;;
attr_58;pim_catalog_text;attr_gr_2;0;"text aut ipsa";0;0;;;
attr_59;pim_catalog_date;attr_gr_2;0;"date ipsam nostrum";0;0;;;
attr_60;pim_catalog_boolean;attr_gr_7;0;"boolean est quam";0;0;;;
attr_61;pim_catalog_textarea;attr_gr_4;0;"textarea quos sed";0;0;;;
attr_62;pim_catalog_date;attr_gr_5;0;"date dolorem consequatur";0;0;;;
attr_63;pim_catalog_multiselect;attr_gr_3;0;"multiselect sit eveniet";0;0;;;
attr_64;pim_catalog_date;attr_gr_0;0;"date debitis laborum";0;0;;;
attr_65;pim_catalog_simpleselect;attr_gr_3;0;"simpleselect nesciunt omnis";0;0;;;
attr_66;pim_catalog_text;attr_gr_3;0;"text unde quis";0;0;;;
attr_67;pim_catalog_metric;attr_gr_2;0;"metric culpa laboriosam";0;0;;Length;METER
attr_68;pim_catalog_multiselect;attr_gr_6;0;"multiselect sed neque";1;1;;;
attr_69;pim_catalog_price_collection;attr_gr_5;1;"price_collection sunt necessitatibus";1;0;;;
attr_70;pim_catalog_price_collection;attr_gr_6;0;"price_collection architecto et";0;0;;;
attr_71;pim_catalog_date;attr_gr_2;0;"date vel deserunt";0;0;;;
attr_72;pim_catalog_price_collection;attr_gr_5;0;"price_collection molestiae ut";1;0;;;
attr_73;pim_catalog_multiselect;attr_gr_3;0;"multiselect qui adipisci";0;0;;;
attr_74;pim_catalog_file;attr_gr_2;1;"file libero voluptatem";0;0;jpg,pdf;;
attr_75;pim_catalog_number;attr_gr_4;0;"number et fuga";0;0;;;
attr_76;pim_catalog_multiselect;attr_gr_5;0;"multiselect recusandae est";0;0;;;
attr_77;pim_catalog_number;attr_gr_1;0;"number sed alias";0;0;;;
attr_78;pim_catalog_number;attr_gr_3;0;"number quis quam";0;0;;;
attr_79;pim_catalog_boolean;attr_gr_1;0;"boolean reprehenderit sed";0;0;;;
attr_80;pim_catalog_image;attr_gr_2;0;"image ut dolor";0;0;pdf,jpg;;
attr_81;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect enim dicta";0;0;;;
attr_82;pim_catalog_price_collection;attr_gr_3;0;"price_collection eligendi molestiae";0;0;;;
attr_83;pim_catalog_metric;attr_gr_2;0;"metric vel rem";0;0;;Length;METER
attr_84;pim_catalog_boolean;attr_gr_3;0;"boolean soluta dignissimos";1;1;;;
attr_85;pim_catalog_multiselect;attr_gr_6;0;"multiselect ea ab";0;0;;;
attr_86;pim_catalog_textarea;attr_gr_0;0;"textarea optio totam";0;0;;;
attr_87;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect dolorem amet";0;0;;;
attr_88;pim_catalog_image;attr_gr_3;0;"image officiis rem";0;0;png,jpg;;
attr_89;pim_catalog_text;attr_gr_7;0;"text reiciendis assumenda";0;0;;;
attr_90;pim_catalog_textarea;attr_gr_0;0;"textarea ipsum delectus";0;0;;;
attr_91;pim_catalog_multiselect;attr_gr_0;0;"multiselect nihil vitae";0;0;;;
attr_92;pim_catalog_price_collection;attr_gr_5;0;"price_collection quaerat nobis";0;0;;;
attr_93;pim_catalog_simpleselect;attr_gr_4;0;"simpleselect fuga omnis";0;0;;;
attr_94;pim_catalog_price_collection;attr_gr_6;0;"price_collection aliquam sunt";0;0;;;
