code;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_0;"Sed perferendis.";name;sku,name,attr_8,attr_82,attr_93,attr_89,attr_64,attr_19,attr_68,attr_26,attr_31,attr_51,attr_29,attr_81,attr_7,attr_45,attr_99,attr_50,attr_55,attr_17,attr_59,attr_75,attr_32,attr_40,attr_49,attr_66,attr_84,attr_10,attr_78,attr_63,attr_33,attr_28,attr_30,attr_3,attr_94,attr_97,attr_1,attr_2,attr_47,attr_39,attr_74,attr_18,attr_57,attr_58,attr_91,attr_52,attr_77,attr_69,attr_73,attr_23,attr_4;sku,attr_30,attr_64,attr_73,attr_31;sku,attr_97,attr_7,attr_81,attr_39
fam_1;"Earum illum.";name;sku,name,attr_57,attr_65,attr_3,attr_40,attr_96,attr_69,attr_6,attr_17,attr_22,attr_30,attr_89,attr_15,attr_45,attr_47,attr_67,attr_81,attr_88,attr_71,attr_13,attr_64,attr_23,attr_66,attr_42,attr_70,attr_14,attr_39,attr_58,attr_56,attr_98,attr_84,attr_8,attr_72,attr_68,attr_90,attr_44,attr_94,attr_1,attr_59,attr_37,attr_86,attr_16,attr_2,attr_35,attr_95,attr_36,attr_32,attr_43,attr_76,attr_54;sku,attr_57,attr_35,attr_65,attr_89;sku,attr_65,attr_58,attr_39,attr_90
fam_2;"Voluptatem quia incidunt.";name;sku,name,attr_39,attr_12,attr_22,attr_57,attr_80,attr_89,attr_46,attr_16,attr_72,attr_30,attr_15,attr_76,attr_19,attr_47,attr_70,attr_25,attr_58,attr_56,attr_4,attr_52,attr_23,attr_49,attr_96,attr_82,attr_83,attr_32,attr_59,attr_79,attr_3,attr_91,attr_99,attr_61,attr_54,attr_26,attr_10,attr_63,attr_73,attr_74,attr_60,attr_14,attr_34,attr_53,attr_41,attr_64,attr_97,attr_27,attr_51,attr_35,attr_88;sku,attr_70,attr_23,attr_19,attr_58;sku,attr_15,attr_30,attr_57,attr_39
fam_3;"Dignissimos omnis recusandae.";name;sku,name,attr_56,attr_52,attr_27,attr_71,attr_51,attr_81,attr_87,attr_85,attr_41,attr_54,attr_1,attr_86,attr_68,attr_94,attr_96,attr_19,attr_44,attr_17,attr_67,attr_93,attr_23,attr_26,attr_72,attr_75,attr_12,attr_50,attr_48,attr_89,attr_74,attr_21,attr_0,attr_38,attr_64,attr_77,attr_80,attr_79,attr_40,attr_31,attr_99,attr_24,attr_35,attr_30,attr_53,attr_5,attr_90,attr_16,attr_29,attr_45,attr_55;sku,name,attr_64,attr_68,attr_90;sku,attr_67,name,attr_93,attr_52
fam_4;"Doloremque amet.";name;sku,name,attr_87,attr_56,attr_34,attr_22,attr_39,attr_95,attr_51,attr_89,attr_60,attr_94,attr_11,attr_17,attr_32,attr_63,attr_65,attr_64,attr_99,attr_14,attr_5,attr_0,attr_24,attr_40,attr_79,attr_37,attr_3,attr_58,attr_67,attr_70,attr_19,attr_27,attr_43,attr_78,attr_9,attr_48,attr_16,attr_82,attr_76,attr_26,attr_74,attr_21,attr_83,attr_97,attr_68,attr_88,attr_7,attr_85,attr_61,attr_31,attr_4;sku,attr_3,name,attr_60,attr_5;sku,attr_65,attr_0,attr_16,name
fam_5;"Ullam aliquid quos.";name;sku,name,attr_21,attr_61,attr_47,attr_42,attr_67,attr_53,attr_32,attr_54,attr_24,attr_74,attr_16,attr_78,attr_25,attr_43,attr_13,attr_22,attr_93,attr_44,attr_39,attr_68,attr_97,attr_49,attr_20,attr_76,attr_66,attr_41,attr_28,attr_59,attr_85,attr_51,attr_31,attr_86,attr_36,attr_45,attr_84,attr_10,attr_14,attr_82,attr_79,attr_7,attr_38,attr_50,attr_26,attr_6,attr_0,attr_62,attr_18,attr_2,attr_34;sku,attr_34,attr_21,attr_22,attr_84;sku,attr_41,attr_79,attr_47,attr_36
fam_6;"Quidem at.";name;sku,name,attr_31,attr_10,attr_48,attr_88,attr_59,attr_28,attr_19,attr_9,attr_76,attr_77,attr_82,attr_98,attr_21,attr_11,attr_15,attr_70,attr_34,attr_69,attr_84,attr_68,attr_46,attr_27,attr_56,attr_20,attr_2,attr_37,attr_61,attr_30,attr_5,attr_58,attr_40,attr_47,attr_64,attr_4,attr_87,attr_32,attr_67,attr_96,attr_35,attr_7,attr_38,attr_39,attr_95,attr_6,attr_44,attr_8,attr_66,attr_92,attr_81;sku,attr_68,attr_15,attr_92,attr_44;sku,attr_81,attr_47,attr_69,attr_70
fam_7;"Quia modi impedit.";name;sku,name,attr_95,attr_54,attr_44,attr_50,attr_43,attr_47,attr_38,attr_0,attr_33,attr_68,attr_71,attr_94,attr_18,attr_16,attr_10,attr_55,attr_90,attr_21,attr_85,attr_22,attr_35,attr_34,attr_77,attr_19,attr_59,attr_58,attr_20,attr_52,attr_97,attr_61,attr_37,attr_28,attr_39,attr_36,attr_91,attr_66,attr_62,attr_79,attr_25,attr_63,attr_48,attr_40,attr_64,attr_60,attr_72,attr_93,attr_3,attr_4,attr_45;sku,attr_22,attr_85,attr_60,attr_54;sku,attr_66,attr_63,attr_4,attr_77
fam_8;"In suscipit omnis.";name;sku,name,attr_53,attr_51,attr_42,attr_96,attr_80,attr_20,attr_82,attr_24,attr_86,attr_31,attr_36,attr_63,attr_15,attr_62,attr_76,attr_89,attr_46,attr_81,attr_92,attr_9,attr_69,attr_40,attr_59,attr_0,attr_27,attr_55,attr_83,attr_64,attr_71,attr_7,attr_16,attr_93,attr_77,attr_68,attr_26,attr_34,attr_54,attr_14,attr_18,attr_79,attr_35,attr_52,attr_70,attr_67,attr_5,attr_17,attr_29,attr_66,attr_65;sku,attr_0,attr_18,attr_70,attr_27;sku,name,attr_27,sku,attr_68
fam_9;"Id enim.";name;sku,name,attr_38,attr_47,attr_25,attr_34,attr_9,attr_29,attr_42,attr_79,attr_32,attr_81,attr_31,attr_23,attr_37,attr_97,attr_4,attr_59,attr_69,attr_68,attr_41,attr_49,attr_53,attr_11,attr_16,attr_0,attr_1,attr_89,attr_26,attr_87,attr_61,attr_58,attr_15,attr_76,attr_74,attr_55,attr_57,attr_67,attr_20,attr_7,attr_92,attr_51,attr_17,attr_71,attr_72,attr_19,attr_66,attr_2,attr_90,attr_62,attr_77;sku,attr_90,attr_7,attr_29,sku;sku,attr_11,attr_37,attr_41,attr_71
fam_10;"Sed eos.";name;sku,name,attr_34,attr_78,attr_57,attr_26,attr_8,attr_18,attr_69,attr_42,attr_15,attr_37,attr_47,attr_67,attr_68,attr_44,attr_33,attr_40,attr_5,attr_46,attr_65,attr_82,attr_13,attr_87,attr_88,attr_97,attr_76,attr_70,attr_17,attr_96,attr_72,attr_30,attr_62,attr_77,attr_58,attr_25,attr_73,attr_60,attr_4,attr_50,attr_54,attr_9,attr_61,attr_20,attr_92,attr_55,attr_41,attr_56,attr_22,attr_74,attr_11;sku,attr_56,attr_42,attr_57,attr_77;sku,attr_92,attr_22,attr_97,name
