code;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_0;"Labore dolores.";sku;sku,attr_56,attr_58,attr_71,attr_2,attr_23,attr_54,attr_12,attr_88,attr_85,attr_50,attr_79,attr_18,attr_67,attr_57,attr_35,attr_37,attr_63,attr_94,attr_61,attr_34,attr_7,attr_53,attr_89,attr_51,attr_99,attr_20,attr_11,attr_70,attr_46,attr_66,attr_1,attr_76,attr_83,attr_29,attr_39,attr_64,attr_86,attr_31,attr_36,attr_55,attr_92,attr_52,attr_15,attr_21,attr_62,attr_87,attr_69,attr_73,attr_74;sku,attr_86,attr_55,attr_19,attr_60;sku,attr_92,attr_73,attr_62,attr_80
fam_1;"Est assumenda et.";sku;sku,attr_5,attr_28,attr_86,attr_68,attr_45,attr_25,attr_19,attr_88,attr_89,attr_15,attr_40,attr_35,attr_57,attr_72,attr_17,attr_75,attr_80,attr_78,attr_99,attr_9,attr_26,attr_47,attr_4,attr_83,attr_10,attr_92,attr_32,attr_14,attr_60,attr_90,attr_16,attr_87,attr_61,attr_24,attr_71,attr_94,attr_81,attr_37,attr_51,attr_13,attr_6,attr_30,attr_76,attr_82,attr_97,attr_39,attr_1,attr_85,attr_50;sku,attr_38,attr_35,attr_79,attr_27;sku,attr_69,attr_96,attr_67,attr_29
fam_2;"Dolor et.";sku;sku,attr_31,attr_9,attr_49,attr_65,attr_42,attr_87,attr_29,attr_24,attr_56,attr_90,attr_61,attr_81,attr_48,attr_30,attr_36,attr_7,attr_25,attr_97,attr_88,attr_50,attr_80,attr_37,attr_83,attr_4,attr_6,attr_27,attr_52,attr_96,attr_41,attr_11,attr_84,attr_92,attr_47,attr_46,attr_64,attr_8,attr_1,attr_67,attr_40,attr_43,attr_14,attr_59,attr_45,attr_93,attr_3,attr_57,attr_63,attr_73,attr_18;sku,attr_80,attr_97,attr_17,attr_81;sku,attr_39,attr_88,attr_97,attr_83
fam_3;"Beatae incidunt.";sku;sku,attr_22,attr_69,attr_82,attr_35,attr_66,attr_55,attr_90,attr_10,attr_60,attr_79,attr_68,attr_3,attr_77,attr_99,attr_42,attr_17,attr_6,attr_32,attr_64,attr_27,attr_94,attr_58,attr_15,attr_46,attr_67,attr_49,attr_25,attr_14,attr_48,attr_57,attr_39,attr_65,attr_28,attr_43,attr_81,attr_91,attr_44,attr_7,attr_37,attr_23,attr_50,attr_61,attr_92,attr_24,attr_2,attr_30,attr_38,attr_5,attr_33;sku,attr_56,attr_66,attr_90,attr_95;sku,attr_65,attr_2,attr_64,attr_42
fam_4;"Nisi ipsam.";sku;sku,attr_13,attr_85,attr_59,attr_26,attr_5,attr_89,attr_93,attr_32,attr_70,attr_18,attr_50,attr_56,attr_22,attr_87,attr_96,attr_45,attr_53,attr_83,attr_79,attr_72,attr_82,attr_64,attr_30,attr_25,attr_35,attr_42,attr_41,attr_81,attr_9,attr_4,attr_14,attr_39,attr_7,attr_34,attr_20,attr_11,attr_91,attr_71,attr_69,attr_1,attr_23,attr_33,attr_88,attr_86,attr_75,attr_37,attr_94,attr_90,attr_38;sku,attr_52,attr_99,attr_58,attr_19;sku,attr_35,attr_97,attr_32,attr_36
fam_5;"Nulla quia rerum.";sku;sku,attr_39,attr_47,attr_29,attr_35,attr_92,attr_58,attr_49,attr_55,attr_27,attr_11,attr_64,attr_40,attr_71,attr_20,attr_22,attr_9,attr_19,attr_30,attr_38,attr_4,attr_61,attr_53,attr_84,attr_90,attr_17,attr_89,attr_45,attr_54,attr_59,attr_88,attr_97,attr_44,attr_8,attr_12,attr_96,attr_51,attr_77,attr_65,attr_56,attr_31,attr_91,attr_13,attr_57,attr_48,attr_7,attr_50,attr_82,attr_46,attr_24;sku,attr_55,attr_79,attr_86,attr_41;sku,attr_37,attr_98,attr_83,attr_61
fam_6;"Nihil dolorum.";sku;sku,attr_23,attr_56,attr_27,attr_38,attr_96,attr_65,attr_17,attr_72,attr_24,attr_52,attr_13,attr_62,attr_44,attr_1,attr_86,attr_82,attr_70,attr_6,attr_92,attr_79,attr_61,attr_37,attr_8,attr_10,attr_47,attr_81,attr_90,attr_55,attr_66,attr_40,attr_41,attr_50,attr_5,attr_83,attr_64,attr_49,attr_80,attr_89,attr_68,attr_99,attr_0,attr_93,attr_21,attr_22,attr_12,attr_69,attr_20,attr_78,attr_16;sku,attr_74,attr_80,attr_16,attr_5;sku,attr_40,attr_79,attr_33,attr_41
fam_7;"Adipisci nulla.";sku;sku,attr_7,attr_5,attr_30,attr_49,attr_77,attr_8,attr_57,attr_88,attr_50,attr_68,attr_27,attr_32,attr_6,attr_41,attr_63,attr_94,attr_24,attr_87,attr_42,attr_92,attr_9,attr_43,attr_22,attr_82,attr_17,attr_44,attr_3,attr_15,attr_46,attr_2,attr_96,attr_47,attr_40,attr_95,attr_20,attr_53,attr_71,attr_73,attr_25,attr_21,attr_31,attr_89,attr_66,attr_98,attr_74,attr_78,attr_10,attr_13,attr_26;sku,attr_10,attr_43,attr_19,attr_66;sku,attr_14,attr_82,attr_10,attr_17
fam_8;"Minus et vitae.";sku;sku,attr_26,attr_80,attr_6,attr_22,attr_90,attr_25,attr_40,attr_4,attr_10,attr_8,attr_54,attr_76,attr_84,attr_86,attr_67,attr_21,attr_31,attr_16,attr_85,attr_92,attr_15,attr_28,attr_1,attr_24,attr_50,attr_13,attr_99,attr_32,attr_78,attr_34,attr_95,attr_49,attr_19,attr_60,attr_11,attr_14,attr_89,attr_62,attr_33,attr_38,attr_39,attr_71,attr_17,attr_30,attr_65,attr_75,attr_7,attr_36,attr_97;sku,attr_54,attr_31,attr_89,attr_95;sku,attr_90,attr_8,attr_94,attr_25
fam_9;"Quasi et optio.";sku;sku,attr_68,attr_92,attr_38,attr_63,attr_45,attr_98,attr_81,attr_95,attr_70,attr_77,attr_47,attr_23,attr_21,attr_71,attr_35,attr_88,attr_15,attr_29,attr_46,attr_12,attr_44,attr_3,attr_7,attr_94,attr_59,attr_84,attr_41,attr_57,attr_39,attr_65,attr_30,attr_32,attr_8,attr_34,attr_37,attr_53,attr_89,attr_1,attr_93,attr_48,attr_73,attr_79,attr_74,attr_50,attr_99,attr_43,attr_62,attr_56,attr_2;sku,attr_47,attr_45,attr_52,attr_64;sku,attr_57,attr_89,attr_68,attr_35
