sku;family;attr_43-en_US-ecommerce;attr_43-en_US-ecommerce-unit;attr_43-en_US-print;attr_43-en_US-print-unit;attr_51;attr_51-unit;attr_94;attr_53;attr_23;attr_85;attr_87;attr_87-unit;attr_49;attr_40;attr_9;attr_17;attr_64;attr_64-unit;attr_29-USD;attr_93;attr_78;attr_10;attr_59-en_US;attr_80;attr_70-USD;attr_8;attr_5;attr_30;attr_18;attr_18-unit;attr_38-USD;attr_56-en_US;attr_56-en_US-unit;attr_60;attr_27;attr_13;attr_46;attr_3;attr_83-en_US-ecommerce;attr_83-en_US-print;attr_55;attr_57;attr_72;attr_96-USD;attr_76;attr_25;attr_21;attr_95;attr_95-unit;attr_7;categories;attr_50-USD;attr_84;attr_81;attr_32;attr_47-en_US;attr_20;attr_89;attr_52;attr_48-USD;attr_90;attr_28;attr_33-USD;attr_67;attr_88;attr_79;attr_66;attr_68;attr_54;attr_86;attr_0-USD;attr_75;attr_44;attr_44-unit;attr_62;attr_14-en_US;attr_58;attr_73;attr_92-en_US;attr_65;attr_39;attr_63;attr_98;attr_34;attr_34-unit;attr_99-ecommerce;attr_99-print;attr_45;attr_45-unit;attr_35;attr_82;attr_77;attr_6-en_US;attr_2;attr_37;attr_26;attr_69;attr_1;attr_1-unit;attr_11;attr_91-en_US-USD;attr_41;attr_22;attr_4;attr_61;attr_31;attr_16-en_US;attr_24;attr_36;attr_15;attr_15-unit;attr_74;attr_12;attr_71;attr_97;attr_19;attr_19-unit;attr_42
id-0;fam_17;313;METER;91;METER;76;METER;attr_opt_attr_9421;attr_opt_attr_53150;1981-03-07;attr_opt_attr_85118;814;METER;"Sit reiciendis illo quis voluptatem saepe laudantium maiores adipisci.";1;1998-12-24;333;176;METER;953;1;;;;465;393;0;;1;182;METER;298;717;METER;attr_opt_attr_6041;0;705;939;attr_opt_attr_338;;;attr_opt_attr_55146;attr_opt_attr_57188;"Atque quibusdam at est aspernatur vitae hic dicta.";149;;attr_opt_attr_2579;16;30;METER;attr_opt_attr_7183;master_6_5_2,master_5_1_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-1;fam_17;377;METER;841;METER;950;METER;attr_opt_attr_9490;attr_opt_attr_53140;2006-11-16;attr_opt_attr_8560;490;METER;;0;1978-02-25;736;178;METER;355;0;;;;445;488;0;;1;46;METER;797;48;METER;attr_opt_attr_60131;1;737;;attr_opt_attr_3159;;;attr_opt_attr_55185;attr_opt_attr_57148;"Et quia ut voluptatem.";307;;attr_opt_attr_25141;;232;METER;attr_opt_attr_7132;master_4_2_2,master_5_5_6;456;;;;attr_opt_attr_47105;;"Quidem repudiandae optio natus autem tenetur ipsam.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-2;fam_19;;;;;;;attr_opt_attr_9460;;;attr_opt_attr_8576;;;"Corporis quia maxime et quis.";;;;774;METER;;;;;;979;;;;;308;METER;;;;;;;;attr_opt_attr_3151;;;;attr_opt_attr_5725;;8;;attr_opt_attr_2565;;686;METER;attr_opt_attr_799;master_2_4_4,master_3_4_4;;;;;attr_opt_attr_47105;;;;232;"Aliquid iusto eligendi suscipit quaerat tempore praesentium dignissimos.";;24;"Blanditiis unde dolorem similique quam.";0;1997-01-11;;"Vero ipsa magni nihil consequatur.";attr_opt_attr_54146;1;122;;440;METER;;attr_opt_attr_14166;attr_opt_attr_5881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-3;fam_18;964;METER;971;METER;650;METER;attr_opt_attr_9463;attr_opt_attr_5341;1988-10-23;attr_opt_attr_85109;;;;;;412;265;METER;;;;;;953;335;;;1;;;;602;METER;;;;443;attr_opt_attr_3164;;;attr_opt_attr_551;attr_opt_attr_5788;;;;;;183;METER;;master_3_6_2,master_2_2_6;;;;;;;"Omnis molestias iure suscipit magnam et.";;;;;767;"Sint nobis distinctio reprehenderit ipsam tenetur.";1;1998-08-04;;;attr_opt_attr_54167;;;;;;;;;0;1986-01-12;0;0;attr_opt_attr_63147;"Asperiores quo qui occaecati sunt quidem fugiat aut.";405;METER;;;31;METER;;attr_opt_attr_8237;0;;"Quia qui aliquam in eligendi id repellat quibusdam accusamus.";attr_opt_attr_37126;;;;;;;;;;;;;;;;;;;;;;;
id-4;fam_4;;;;;;;attr_opt_attr_94158;attr_opt_attr_5344;;attr_opt_attr_85152;397;METER;;;1978-07-24;;812;METER;;1;;;;;402;;;1;;;728;402;METER;;;669;;;;;;;;975;;;;;;;master_2_6_2,master_1_3_5;779;;;;;;;;;"Ab et voluptas necessitatibus dolor sit qui dolorem.";;628;;0;2007-07-17;;;;1;;;;;;attr_opt_attr_14169;;;;;1;;;;;;;986;METER;;attr_opt_attr_8242;;;;attr_opt_attr_374;"Debitis fugit illum dolorum qui ut repellendus.";501;649;METER;;607;2000-05-26;;844;;;;;;;;;;;;;;
id-5;fam_6;;;;;;;;;1995-09-24;;;;"Adipisci aliquid nulla voluptatibus sed libero.";0;;;;;;1;;;;;606;1;;;;;448;250;METER;;1;;;;;;attr_opt_attr_5550;;"Beatae ut voluptates est culpa.";581;;;273;;;;master_5_1_1,master_3_1_5;132;;;;attr_opt_attr_4736;;"Voluptatibus esse ipsa in sed ducimus voluptatum.";;;"Accusantium corrupti expedita exercitationem consequatur aperiam.";;;;;2003-08-20;;"Sapiente in quo et placeat fugiat.";;0;607;;;;;;;;2015-02-27;1;;;;;;;;;;;attr_opt_attr_8244;;;;attr_opt_attr_37138;;117;117;METER;;;1997-05-06;;;1;;;;;;;;;;;;;
id-6;fam_16;662;METER;285;METER;;;attr_opt_attr_94154;;1995-03-28;;;;"Nisi sit quaerat provident dolor eveniet consequatur.";;;26;;;;;;;;;779;;;;;;;;;attr_opt_attr_60188;0;;593;;;;attr_opt_attr_55189;;"Aut et aut praesentium autem iure corporis.";;;attr_opt_attr_2575;11;;;attr_opt_attr_7136;master_4_2_1,master_0_1_5;429;;;;attr_opt_attr_4726;;"Sed at non dolorum ea error sint consequatur unde.";;;;;;;1;;;;attr_opt_attr_5465;;29;;;;;attr_opt_attr_1470;;0;;1;;;;;;;;;;;attr_opt_attr_8238;1;;;;;810;;;;;;;;0;1;2002-04-15;0;1;424;METER;;;;;;;
id-7;fam_0;;;;;957;METER;attr_opt_attr_946;attr_opt_attr_53133;1974-11-11;attr_opt_attr_8526;;;;;;;;;897;;;;;;851;;;;;;;;;;;;17;;;;;;;;;;431;;;;master_6_1_1,master_1_3_1;;;;;;;"Est quidem quae molestiae totam qui et.";;;;;;;1;2002-05-19;;;attr_opt_attr_54104;0;;;;;;;attr_opt_attr_58174;0;1982-08-26;;1;attr_opt_attr_6390;;248;METER;;;;;;;;;"Totam quis est autem sit neque.";;;;;;;;;;;;0;;;1;508;METER;;attr_opt_attr_12112;0;;;;
id-8;fam_8;;;;;;;;;;;;;"Praesentium mollitia sed delectus necessitatibus sunt ea.";1;;;;;;;;;;226;;0;;1;;;489;;;attr_opt_attr_60176;;;;;;;;;;;;;;124;METER;attr_opt_attr_751;master_0_5,master_5_4_1;346;;;;;;"Nostrum animi in sint ad nam.";;;;;501;"Ad ullam fuga tempora officiis.";;;;;;0;;;;;;;;;2008-09-13;0;0;;;123;METER;;;;;;;;;;;"Aut voluptas perspiciatis quis quos nam.";;;;;;;;141;;0;;1;0;;;;;1;"Vero vel perspiciatis quis voluptates sit.";857;METER;
id-9;fam_6;;;;;;;;;;;;;"Minus praesentium odit quae dolorum quaerat a.";0;;274;539;METER;;1;;;;926;;0;;;;;41;463;METER;;1;394;;;;;attr_opt_attr_5578;;"Labore repudiandae harum esse aut necessitatibus eaque facere.";85;;;730;;;;master_2_6_2,master_5_2_4;439;;;;attr_opt_attr_47193;;"Sed id doloribus qui rerum sed nihil.";;;"Consequatur cum et expedita similique eius.";;;;;2009-03-15;;;;;;;536;METER;;;;;1978-02-04;0;;;;;;;;;;;attr_opt_attr_8224;;;;attr_opt_attr_3743;;634;477;METER;;;1981-11-21;;;0;;;0;;;;;attr_opt_attr_1260;;;;;
id-10;fam_5;;;;;;;;attr_opt_attr_53106;;;;;"Error at et sint ut.";1;;;943;METER;792;;;;;;;1;;1;;;11;;;;1;;486;;;;attr_opt_attr_5544;attr_opt_attr_57180;;580;;;;;;attr_opt_attr_765;master_5_6_6,master_1_4_4;592;;;;;;"Molestiae et voluptatem rerum cumque.";;;"Quasi cupiditate magni quis.";;;;0;;;;attr_opt_attr_5434;;;;207;METER;;;attr_opt_attr_58133;;2004-07-16;0;1;;;;;;;469;METER;;attr_opt_attr_82163;1;;;;;;;;;246;;;32;1;0;;1;;;;;attr_opt_attr_1224;0;"Ut sunt nihil et.";245;METER;
id-11;fam_12;;;;;738;METER;;;2005-06-29;;434;METER;;;;;51;METER;;;;;;832;129;;;;;;922;;;attr_opt_attr_6038;0;339;;attr_opt_attr_355;;;;;;536;;;373;;;;master_6_2_1,master_6_3_1;574;;;;attr_opt_attr_47100;;;;;;;;"Omnis beatae et ut laudantium.";;1987-04-17;;;attr_opt_attr_5487;;;;700;METER;;attr_opt_attr_147;;0;2010-04-06;;;;;775;METER;;;;;;attr_opt_attr_8255;;;;;"Qui ut alias doloribus quae molestias officiis.";749;;;;;1998-03-26;;;0;;;;;;;;attr_opt_attr_1213;;"Qui quo ad at sit quos eum veniam.";;;
id-12;fam_15;;;;;;;;attr_opt_attr_53158;;attr_opt_attr_8528;;;"Qui rerum nesciunt et nisi quod adipisci omnis.";1;;;;;258;0;;;;50;660;0;;;;;;252;METER;attr_opt_attr_6050;0;;;;;;;;"Distinctio incidunt atque voluptates debitis molestiae est.";477;;;431;829;METER;attr_opt_attr_7160;master_3_1,master_1_2_5;;;;;;;;;505;;;;;;;;;;;852;;;;;;;1;2004-09-06;;;;;445;METER;;;;;;attr_opt_attr_82198;;;"Sint libero fuga saepe maxime sint quasi.";attr_opt_attr_3743;"Qui vero voluptatem optio sapiente vel molestiae commodi.";;;;;482;2002-07-18;;376;1;0;;;;;;;;0;;;;
id-13;fam_0;;;;;218;METER;attr_opt_attr_94137;attr_opt_attr_5357;;attr_opt_attr_8571;474;METER;;;;;280;METER;101;;;;;;859;;;;;;;;;;;;;;;;attr_opt_attr_5530;;;;;;2;;;attr_opt_attr_763;master_1_4_4,master_3_1_1;;;;;;;"Laudantium accusantium consequatur assumenda possimus.";;;;;;"Aliquid dolore libero eius mollitia velit voluptatem.";1;1991-02-14;;;attr_opt_attr_5470;0;;;;;;;attr_opt_attr_58182;;;;1;;;759;METER;;;;;;;;;"Et culpa id tenetur magnam maxime ipsam consequatur.";;;;;;;;;;;;0;;;1;773;METER;;;0;;;;
id-14;fam_7;375;METER;827;METER;;;attr_opt_attr_94133;;;;433;METER;;;1991-03-01;408;;;;;;;;;;1;;0;;;;;;;1;589;244;attr_opt_attr_3117;;;;attr_opt_attr_57100;;;;attr_opt_attr_25105;;289;METER;attr_opt_attr_724;master_5_3_5,master_1_1;388;;;;attr_opt_attr_47173;;"Est aut at sed consequatur.";;;;;;;1;;;"Est officia quidem ea tenetur voluptas modi.";;;;;425;METER;;;;0;;;;attr_opt_attr_63147;"Accusamus non quas est et qui.";;;;;;;;attr_opt_attr_82123;1;;"Non qui quaerat praesentium officiis.";;;;;;;;2012-04-23;;;;1;;;;385;METER;;;1;;;;1980-06-17
id-15;fam_8;;;;;;;;;;attr_opt_attr_8529;;;"Odio molestias placeat ut praesentium.";;;555;;;;;;;;194;;1;;1;;;89;;;;;27;;;;;;;;;;attr_opt_attr_25198;133;;;attr_opt_attr_7101;master_5_3,master_2_6_2;248;;;;;;"Corporis qui unde voluptates dolores tempore sint.";;;"Facere ea aperiam sed tenetur.";;967;"Asperiores consequatur sit quam velit dolore asperiores ut culpa.";;;;;attr_opt_attr_54121;1;;;;;;;;;;0;0;;;856;METER;;;;;;;;;;;"Dolore accusamus delectus cum natus laudantium explicabo ipsa.";;532;METER;;;;;;;0;1981-08-08;;1;451;METER;;;;"Id ipsum voluptatem natus.";163;METER;
