code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
sku;pim_catalog_identifier;attr_gr_2;1;"identifier maxime officia";"identifier culpa reiciendis";"identifier temporibus cupiditate";"identifier consequatur est";"identifier dignissimos ad";;;;;
name;pim_catalog_text;attr_gr_1;0;"text voluptatem natus";"text et aut";"text id consequatur";"text excepturi deserunt";"text placeat dolorem";;;;;
attr_0;pim_catalog_text;attr_gr_12;1;"text sed occaecati";"text maiores et";"text qui iusto";"text qui blanditiis";"text id sed";0;0;;;
attr_1;pim_catalog_date;attr_gr_2;0;"date nemo sint";"date iste autem";"date nesciunt et";"date soluta facere";"date ut sed";1;0;;;
attr_2;pim_catalog_multiselect;attr_gr_4;0;"multiselect consequuntur dolorem";"multiselect facere labore";"multiselect magni vel";"multiselect et velit";"multiselect inventore in";0;0;;;
attr_3;pim_catalog_text;attr_gr_4;0;"text eum quod";"text omnis dolore";"text natus quaerat";"text necessitatibus sit";"text repudiandae at";0;0;;;
attr_4;pim_catalog_number;attr_gr_14;0;"number quam reprehenderit";"number nobis eos";"number sed quaerat";"number est perferendis";"number voluptate voluptatum";0;0;;;
attr_5;pim_catalog_date;attr_gr_11;0;"date et nisi";"date eum quis";"date vel omnis";"date hic est";"date dolorem ullam";0;0;;;
attr_6;pim_catalog_file;attr_gr_14;0;"file odio error";"file et illum";"file sit ab";"file ut expedita";"file non quod";1;0;pdf,jpg;;
attr_7;pim_catalog_simpleselect;attr_gr_4;1;"simpleselect voluptas eos";"simpleselect aut animi";"simpleselect voluptatem accusantium";"simpleselect incidunt consequuntur";"simpleselect ut molestiae";0;0;;;
attr_8;pim_catalog_simpleselect;attr_gr_4;0;"simpleselect dolorem molestiae";"simpleselect et quis";"simpleselect deserunt assumenda";"simpleselect fuga sunt";"simpleselect odit voluptatum";0;0;;;
attr_9;pim_catalog_file;attr_gr_0;0;"file possimus voluptatibus";"file omnis odit";"file est beatae";"file impedit omnis";"file nulla exercitationem";0;0;png,jpg;;
attr_10;pim_catalog_price_collection;attr_gr_11;1;"price_collection dolores sed";"price_collection quo officia";"price_collection enim cupiditate";"price_collection dolorem et";"price_collection culpa laudantium";0;0;;;
attr_11;pim_catalog_file;attr_gr_2;1;"file sed et";"file ut quae";"file possimus expedita";"file aperiam dolorum";"file non aut";0;0;jpg,pdf;;
attr_12;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect amet explicabo";"simpleselect dolorum est";"simpleselect suscipit neque";"simpleselect sed error";"simpleselect qui maxime";0;0;;;
attr_13;pim_catalog_date;attr_gr_10;1;"date sed dolores";"date ipsam non";"date eaque voluptatum";"date libero quo";"date veritatis ut";0;0;;;
attr_14;pim_catalog_multiselect;attr_gr_0;0;"multiselect molestias fuga";"multiselect aut quia";"multiselect ea aut";"multiselect exercitationem quo";"multiselect est fuga";1;0;;;
attr_15;pim_catalog_textarea;attr_gr_10;1;"textarea molestiae nemo";"textarea error est";"textarea sequi ut";"textarea accusantium ut";"textarea debitis harum";0;0;;;
attr_16;pim_catalog_number;attr_gr_14;1;"number aut sunt";"number ducimus dignissimos";"number qui consequuntur";"number quaerat non";"number autem eligendi";0;0;;;
attr_17;pim_catalog_price_collection;attr_gr_14;1;"price_collection est sit";"price_collection commodi ea";"price_collection explicabo temporibus";"price_collection nam consequatur";"price_collection totam voluptatem";1;0;;;
attr_18;pim_catalog_multiselect;attr_gr_4;0;"multiselect consectetur eaque";"multiselect est itaque";"multiselect voluptatem necessitatibus";"multiselect neque ipsum";"multiselect consequatur est";0;0;;;
attr_19;pim_catalog_number;attr_gr_7;1;"number fugiat iste";"number consequuntur vitae";"number molestiae tempore";"number voluptatem aut";"number quo velit";0;0;;;
attr_20;pim_catalog_file;attr_gr_10;1;"file omnis aut";"file ipsam doloremque";"file dolores officia";"file autem omnis";"file recusandae dignissimos";1;1;jpg,png;;
attr_21;pim_catalog_file;attr_gr_6;1;"file in quia";"file neque occaecati";"file voluptatem nihil";"file eum ex";"file aperiam voluptatem";1;0;pdf,jpg;;
attr_22;pim_catalog_boolean;attr_gr_0;0;"boolean commodi delectus";"boolean et aut";"boolean alias ut";"boolean fuga minima";"boolean nostrum architecto";1;0;;;
attr_23;pim_catalog_metric;attr_gr_1;0;"metric accusamus sequi";"metric sint inventore";"metric qui adipisci";"metric in quas";"metric labore excepturi";0;0;;Length;METER
attr_24;pim_catalog_file;attr_gr_12;0;"file consequuntur explicabo";"file velit porro";"file quod animi";"file dolores deserunt";"file fugiat alias";0;0;pdf,png;;
attr_25;pim_catalog_date;attr_gr_5;0;"date sunt assumenda";"date voluptatem quasi";"date nihil deleniti";"date doloremque doloribus";"date debitis neque";0;1;;;
attr_26;pim_catalog_simpleselect;attr_gr_10;0;"simpleselect quo id";"simpleselect accusantium earum";"simpleselect ut ea";"simpleselect et velit";"simpleselect quae vitae";0;0;;;
attr_27;pim_catalog_price_collection;attr_gr_9;0;"price_collection eum rerum";"price_collection voluptatem corporis";"price_collection sunt voluptas";"price_collection error sit";"price_collection iste nam";0;0;;;
attr_28;pim_catalog_image;attr_gr_14;0;"image velit eveniet";"image suscipit et";"image recusandae libero";"image doloribus quis";"image alias eos";0;0;pdf,png;;
attr_29;pim_catalog_boolean;attr_gr_0;0;"boolean nemo et";"boolean perspiciatis repellendus";"boolean illum expedita";"boolean consectetur velit";"boolean dolorum qui";1;0;;;
attr_30;pim_catalog_text;attr_gr_8;0;"text maiores est";"text enim temporibus";"text eos repudiandae";"text beatae ut";"text architecto adipisci";0;0;;;
attr_31;pim_catalog_boolean;attr_gr_10;0;"boolean fugit modi";"boolean et non";"boolean debitis ratione";"boolean consequuntur possimus";"boolean nulla qui";1;0;;;
attr_32;pim_catalog_multiselect;attr_gr_5;1;"multiselect omnis ab";"multiselect esse tenetur";"multiselect id ipsa";"multiselect ipsa rerum";"multiselect nihil doloribus";1;0;;;
attr_33;pim_catalog_date;attr_gr_12;1;"date consequatur neque";"date aut et";"date laboriosam maiores";"date molestiae voluptatem";"date corporis natus";0;0;;;
attr_34;pim_catalog_image;attr_gr_4;0;"image suscipit corporis";"image debitis dignissimos";"image alias eum";"image est facilis";"image consequuntur natus";0;0;jpg,pdf;;
attr_35;pim_catalog_multiselect;attr_gr_8;1;"multiselect dolorem et";"multiselect praesentium est";"multiselect itaque autem";"multiselect omnis consectetur";"multiselect sit aliquam";1;0;;;
attr_36;pim_catalog_boolean;attr_gr_7;0;"boolean voluptatem atque";"boolean itaque esse";"boolean ut exercitationem";"boolean itaque ex";"boolean similique minus";0;0;;;
attr_37;pim_catalog_number;attr_gr_14;1;"number et quis";"number laboriosam omnis";"number et iure";"number eos dolorem";"number omnis et";0;0;;;
attr_38;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect reprehenderit sapiente";"simpleselect quis commodi";"simpleselect ut saepe";"simpleselect molestiae eum";"simpleselect qui enim";1;0;;;
attr_39;pim_catalog_date;attr_gr_0;0;"date suscipit dolor";"date facilis cum";"date aut iure";"date laborum aut";"date nihil natus";0;0;;;
attr_40;pim_catalog_text;attr_gr_9;0;"text voluptatem odio";"text et animi";"text sed aut";"text officiis ullam";"text commodi odio";0;0;;;
attr_41;pim_catalog_image;attr_gr_11;0;"image veniam occaecati";"image accusantium voluptas";"image ex error";"image aut quia";"image aut autem";0;0;jpg,png;;
attr_42;pim_catalog_simpleselect;attr_gr_12;0;"simpleselect odio eveniet";"simpleselect est maxime";"simpleselect corporis sit";"simpleselect ut odit";"simpleselect deserunt totam";0;0;;;
attr_43;pim_catalog_file;attr_gr_14;0;"file quos aliquid";"file soluta amet";"file quos pariatur";"file sunt error";"file quas commodi";0;0;jpg,png;;
attr_44;pim_catalog_simpleselect;attr_gr_5;0;"simpleselect quo enim";"simpleselect omnis vero";"simpleselect velit et";"simpleselect est voluptatum";"simpleselect odio voluptatum";0;0;;;
attr_45;pim_catalog_multiselect;attr_gr_5;0;"multiselect voluptatem eius";"multiselect et vero";"multiselect sed et";"multiselect laudantium minus";"multiselect dicta dolores";0;1;;;
attr_46;pim_catalog_image;attr_gr_6;0;"image ipsum beatae";"image ea aperiam";"image autem placeat";"image tempore voluptate";"image dolorem fuga";0;0;jpg,png;;
attr_47;pim_catalog_image;attr_gr_7;0;"image dolor fugit";"image suscipit corrupti";"image ea rerum";"image minus illo";"image voluptatem voluptatum";0;0;jpg,png;;
attr_48;pim_catalog_boolean;attr_gr_12;0;"boolean minima aut";"boolean ea deleniti";"boolean voluptatem non";"boolean sed expedita";"boolean eos veritatis";0;0;;;
attr_49;pim_catalog_textarea;attr_gr_6;0;"textarea quas reprehenderit";"textarea totam ipsum";"textarea enim recusandae";"textarea cumque autem";"textarea animi iste";0;0;;;
attr_50;pim_catalog_multiselect;attr_gr_3;0;"multiselect sit sunt";"multiselect nesciunt quibusdam";"multiselect dicta incidunt";"multiselect in enim";"multiselect voluptas veritatis";0;1;;;
attr_51;pim_catalog_boolean;attr_gr_7;0;"boolean dolor eaque";"boolean non molestiae";"boolean quae quisquam";"boolean consequatur accusamus";"boolean debitis minima";0;0;;;
attr_52;pim_catalog_file;attr_gr_10;0;"file et necessitatibus";"file iste perferendis";"file sunt alias";"file soluta temporibus";"file possimus sunt";0;0;png,jpg;;
attr_53;pim_catalog_multiselect;attr_gr_9;1;"multiselect impedit maxime";"multiselect unde optio";"multiselect molestiae eum";"multiselect distinctio voluptatem";"multiselect impedit maiores";0;0;;;
attr_54;pim_catalog_price_collection;attr_gr_4;0;"price_collection aliquam ratione";"price_collection eum quia";"price_collection itaque dolorem";"price_collection sint optio";"price_collection ut voluptatem";0;0;;;
attr_55;pim_catalog_simpleselect;attr_gr_8;1;"simpleselect temporibus perferendis";"simpleselect quibusdam eos";"simpleselect expedita voluptas";"simpleselect ab ad";"simpleselect expedita eius";0;0;;;
attr_56;pim_catalog_textarea;attr_gr_0;0;"textarea perspiciatis asperiores";"textarea sit vitae";"textarea harum quia";"textarea eaque officiis";"textarea ullam vel";0;0;;;
attr_57;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect consequuntur iusto";"simpleselect quaerat repudiandae";"simpleselect et aliquid";"simpleselect consequuntur excepturi";"simpleselect dolorem inventore";1;0;;;
