code;axis;type;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;attr_668;attr_4017;attr_760;attr_1068;attr_3918;attr_837;attr_900;attr_677;attr_3788;attr_2315;attr_3714;attr_4845;attr_1507;attr_59;attr_1075;attr_4284;attr_1862;attr_3778;attr_1092;attr_1907;attr_790;attr_2343;attr_4498;attr_1628;attr_2479;attr_0;attr_555;attr_370;attr_1448;attr_4390;attr_1391;attr_4657;attr_2304;attr_4085;attr_1125;attr_3864;attr_1740;attr_90;attr_1665;attr_3192;attr_3646;attr_2986;attr_3;attr_3902;attr_2089;attr_1651;attr_3073;attr_2240;attr_4926;attr_2999;attr_486;attr_2553;attr_4300;attr_4643;attr_4621;attr_923;attr_3092;attr_1561;attr_4843;attr_2644;attr_3134;attr_1394;attr_3545;attr_3085;attr_197;attr_1434;attr_183;attr_2876;attr_2097;attr_2154;attr_1833;attr_1619;attr_1242;attr_4262;attr_3210;attr_891;attr_2738;attr_3543;attr_3475;attr_540;attr_2405;attr_643;attr_2116;attr_1979;attr_1771;attr_3482;attr_1283;attr_336;attr_526;attr_1812;attr_2494;attr_4175;attr_530;attr_628;attr_3171;attr_443;attr_3019;attr_4759;attr_901;attr_4158;attr_3956;attr_731;attr_4684;attr_2974;attr_189;attr_1903;attr_3796;attr_485;attr_806;attr_2901;attr_1933;attr_3612;attr_3878;attr_1188;attr_1874;attr_4114;attr_4536;attr_1474;attr_502;attr_2881;attr_130;attr_1506;attr_2928;attr_3351;attr_4775;attr_2388;attr_827;attr_563;attr_2963;attr_3206;attr_124;attr_1486;attr_3940;attr_937;attr_2256;attr_3498;attr_3174;attr_2836;attr_1539;attr_2895;attr_3018;attr_67;attr_3736;attr_4493;attr_2633;attr_1709;attr_236;attr_1924;attr_2463;attr_2379;attr_102;attr_1364;attr_1512;attr_1606;attr_4244;attr_70;attr_1378;attr_2872;attr_2165;attr_626;attr_3771;attr_3483;attr_3535;attr_4184;attr_601;attr_3801;attr_4384;attr_1708;attr_4523;attr_2787;attr_1789;attr_879;attr_277;attr_2741;attr_785;attr_2057;attr_4629;attr_2658;attr_144;attr_4488;attr_337;attr_4323;attr_2486;attr_4822;attr_2153;attr_3542;attr_2445;attr_3270;attr_250;attr_1309;attr_2273;attr_158;attr_1374;attr_345;attr_267;attr_4590;attr_1598;attr_4387;attr_1699;attr_2015;attr_3297;attr_3195;attr_1292;attr_649;attr_347;attr_1612;attr_819;attr_2107;attr_3867;attr_2755;attr_4152;attr_2991;name;attr_340;attr_761;attr_1569;attr_4213;attr_2519;attr_4592;attr_481;attr_3643;attr_2048;attr_4805;attr_1218;attr_1056;attr_4072;attr_373;attr_4597;attr_1384;attr_4476;attr_3807;attr_2948;attr_929;attr_1826;attr_3295;attr_3491;attr_3488;attr_698;attr_3744;attr_303;attr_4344;attr_1462;attr_4930;attr_30;attr_4475;attr_230;attr_3379;attr_2607;attr_822;attr_140;attr_915;attr_1503;attr_1697;attr_3430;attr_2797;attr_4764;attr_2132;attr_4093;attr_2221;attr_246;attr_367;attr_4990;attr_1852;attr_40;attr_762;attr_2196;attr_1405;attr_62;attr_720;attr_1737;attr_605;attr_3038;attr_4842;attr_3747;attr_1162;attr_1171;attr_2487;attr_4543;attr_4074;attr_1674;attr_4697;attr_2130;attr_2022;attr_4861
variant_group_0;attr_776,attr_445,attr_26;VARIANT;asperiores;quas;iste;ipsum;deserunt;"sed perferendis dicta";"recusandae saepe rerum";"est dicta est";"enim sint exercitationem";"beatae enim blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_1;attr_1030,attr_3302,attr_1738;VARIANT;qui;id;in;perferendis;autem;;;;;;"et ea laborum";"sed voluptatem accusantium";"repellendus omnis ut";"est repudiandae quia";"dolor consequuntur possimus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_2;attr_814,attr_1694,attr_3117;VARIANT;praesentium;eligendi;quasi;aliquid;in;;;;;;;;"qui harum in";;;"ex dolorem qui";"voluptas eum deleniti";"amet ducimus neque";"suscipit adipisci blanditiis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_3;attr_1237,attr_4518,attr_1476;VARIANT;aut;temporibus;saepe;esse;culpa;;;;;;;;;;;;;;;"saepe nisi a";"voluptatibus asperiores repellendus";"voluptatum quidem quia";"iste at aut";"ut possimus ipsa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_4;attr_2003,attr_445,attr_1853;VARIANT;cum;quis;odio;iusto;corporis;;;;;;;;;;;;;;;;;;;;"fugit et dolorum";"numquam aut nemo";"at beatae rerum";"animi molestiae aut";"et numquam veritatis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_5;attr_2737,attr_1836,attr_162;VARIANT;porro;esse;est;maxime;ex;;;;;;;;;;;;;;;;;;;;;;;;;"molestiae quae totam";"nostrum culpa et";"natus aut quaerat";"ea autem eos";"exercitationem mollitia qui";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_6;attr_4575,attr_55,attr_2950;VARIANT;dolores;vitae;rerum;velit;exercitationem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"voluptatem qui adipisci";"accusamus dolor inventore";"facere nihil asperiores";"et asperiores corrupti";"ad cumque sequi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_7;attr_1254,attr_3517,attr_516;VARIANT;voluptate;ut;qui;minima;consequatur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"nihil consequuntur est";"omnis omnis rerum";"enim autem cupiditate";"quia voluptatem perspiciatis";"vel facilis iusto";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_8;attr_3471,attr_258,attr_2281;VARIANT;soluta;ut;aut;placeat;omnis;;;;;;;;;;"qui ea autem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"et et est";"ducimus eos deleniti";"dolor error enim";"quasi expedita est";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_9;attr_4267,attr_4897,attr_3582;VARIANT;voluptatum;reprehenderit;est;cumque;numquam;;;;;;;;;;;;;;;;;;;;;;;"ex beatae rem";;;;"quidem quo aut";;;;;;;;;;;;;;;;;"ut quo libero";"eos tenetur sunt";"aspernatur quibusdam sequi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
